date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.8718,0.8718,0.0,0.484,1.0,0.4164,0.5459,10.0,16.0,-0.0552,0.484,0.484,0.484,0.0,0.0
2023-01-24,0.9299,0.9299,0.0,-0.1837,0.0,0.1313,0.1925,17.0,15.0,-0.0985,0.3003,0.3003,0.3003,0.0,0.0
2023-01-25,0.8194,0.8194,0.0,0.2371,1.0,0.2119,0.3226,11.0,14.0,0.0,0.5374,0.5374,0.5374,0.0,0.0
2023-01-26,0.7419,0.7419,0.0,0.1302,1.0,0.3781,0.4349,11.0,10.0,0.4349,0.6676,0.6676,0.6676,0.0,0.0
2023-01-29,0.8393,0.8393,0.0,0.1421,1.0,0.2128,0.2247,12.0,17.0,-0.1048,0.8097,0.8097,0.8097,0.0,0.0
2023-01-30,0.5746,0.5746,0.0,0.1713,1.0,0.2226,0.2068,11.0,12.0,0.1477,0.497,0.981,0.981,0.0,0.0
2023-01-31,0.8363,0.8363,0.0,-0.0891,0.0,0.1717,0.1961,8.0,18.0,-0.0324,0.5916,0.8919,0.8919,0.0,0.0
2023-02-01,0.8538,0.8538,0.0,-0.079,0.0,0.1575,0.2616,12.0,20.0,-0.0908,0.2755,0.8129,0.8129,0.0,0.0
2023-02-02,0.7464,0.7464,0.0,0.1694,1.0,0.1333,0.2103,23.0,6.0,-0.021,0.3147,0.9823,0.9823,0.0,0.0
2023-02-05,0.7964,0.7964,0.0,0.2715,1.0,0.1155,0.1552,17.0,18.0,0.0097,0.44410000000000005,1.2538,1.2538,0.0,0.0
2023-02-06,0.6434,0.6434,0.0,-0.2867,0.0,0.1716,0.1487,10.0,15.0,-0.1022,-0.013899999999999968,0.9671000000000001,0.9671000000000001,0.0,1.0
2023-02-07,0.7484,0.7484,0.0,-0.0435,0.0,0.2042,0.2412,10.0,17.0,-0.1491,0.031700000000000034,0.9236,0.9236,0.0,0.0
2023-02-08,0.812,0.812,0.0,0.0421,1.0,0.1967,0.2642,10.0,14.0,-0.0373,0.15280000000000005,0.9657,0.9657,0.0,0.0
2023-02-09,0.8118,0.8118,0.0,-0.1206,0.0,0.2072,0.2941,11.0,8.0,-0.1706,-0.13719999999999996,0.8451,0.8451,0.0,1.0
2023-02-12,0.6748,0.6748,0.0,0.2467,1.0,0.1718,0.1794,13.0,12.0,0.0981,-0.16199999999999995,1.0918,1.0918,0.0,1.0
2023-02-14,0.8768,0.8768,0.0,-0.0963,0.0,0.1707,0.228,11.0,12.0,0.1098,0.02840000000000001,0.9955,0.9955,0.0,0.0
2023-02-15,0.7671,0.7671,0.0,-0.1271,0.0,0.1285,0.1469,14.0,14.0,0.0122,-0.055199999999999985,0.8684000000000001,0.8684000000000001,0.0,1.0
2023-02-16,0.9093,0.9093,0.0,0.1748,1.0,0.2036,0.3167,14.0,13.0,-0.0171,0.07750000000000003,1.0432000000000001,1.0432000000000001,0.0,0.0
2023-02-20,0.9003,0.9003,0.0,-0.189,0.0,0.1951,0.3423,13.0,16.0,0.0446,0.009100000000000025,0.8542000000000001,0.8542000000000001,0.0,0.0
2023-02-22,0.8443,0.8443,0.0,-0.0943,0.0,0.0797,0.1008,19.0,17.0,0.041,-0.3319,0.7599,0.7599,0.0,1.0
2023-02-23,0.7222,0.7243,-0.002,0.2143,1.0,0.1026,0.1563,20.0,20.0,0.0668,-0.021299999999999986,0.4902000000000001,0.9742000000000001,-0.0001,1.0
2023-02-26,0.7181,0.7127,0.0054,0.491,1.0,0.162,0.1937,15.0,25.0,0.1561,0.5968,1.1649,1.4652,0.00017,0.0
2023-02-27,0.8572,0.8572,0.0,-0.0302,0.0,0.1295,0.2078,13.0,15.0,0.0456,0.3918,0.8976000000000001,1.435,0.00017,0.0
