date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,60135.0,58461.0,0.0073,-7528.0,0.0,0.1124,0.0606,20.0,20.0,1141.0,-7528.0,-7528.0,-7528.0,0.0073,1.0
2023-01-24,24258.0,24109.0,0.001,9403.0,1.0,0.1158,0.0401,20.0,20.0,545.0,1875.0,1875.0,1875.0,0.00415,0.0
2023-01-25,15376.0,15173.0,0.003,6483.0,1.0,0.165,0.0798,20.0,20.0,1645.0,8358.0,8358.0,8358.0,0.003766666666666667,0.0
2023-01-26,21719.0,22891.0,-0.0193,-3201.0,0.0,0.0743,0.0502,22.0,18.0,-411.0,5157.0,5157.0,5157.0,-0.002,0.0
2023-01-29,20776.0,20561.0,0.003,2017.0,1.0,0.1879,0.1158,20.0,20.0,-239.0,7174.0,7174.0,7174.0,-0.001,0.0
2023-01-30,47853.0,47448.0,0.0031,-24376.0,0.0,0.2104,0.1502,20.0,20.0,-3406.0,-9674.0,-17202.0,-17202.0,-0.0003166666666666667,1.0
2023-01-31,17727.0,19008.0,-0.0216,-6960.0,0.0,0.0693,0.0434,20.0,19.0,782.0,-26037.0,-24162.0,-24162.0,-0.003357142857142857,1.0
2023-02-01,24670.0,26835.0,-0.025,-8872.0,0.0,0.0759,0.042,23.0,16.0,486.0,-41392.0,-33034.0,-33034.0,-0.0060625,1.0
2023-02-02,21134.0,21522.0,-0.0063,5327.0,1.0,0.1524,0.0921,20.0,20.0,-1150.0,-32864.0,-27707.0,-27707.0,-0.006088888888888889,1.0
2023-02-05,21523.0,21791.0,-0.004,563.0,1.0,0.1013,0.0605,20.0,20.0,421.0,-34318.0,-27144.0,-27144.0,-0.005880000000000001,1.0
2023-02-06,11616.0,11649.0,-0.0008,-2239.0,0.0,0.0928,0.0512,20.0,20.0,-440.0,-12181.0,-29383.0,-29383.0,-0.0054181818181818185,1.0
2023-02-07,20789.0,20667.0,0.0016,-328.0,0.0,0.1097,0.0572,20.0,20.0,733.0,-5549.0,-29711.0,-29711.0,-0.004833333333333334,1.0
2023-02-08,45446.0,43049.0,0.0187,-6132.0,0.0,0.1663,0.1122,17.0,23.0,-1073.0,-2809.0,-35843.0,-35843.0,-0.003023076923076923,1.0
2023-02-09,19716.0,19489.0,0.0038,-1874.0,0.0,0.2244,0.1119,15.0,25.0,-1342.0,-10010.0,-37717.0,-37717.0,-0.002535714285714286,1.0
2023-02-12,18697.0,18687.0,0.0002,414.0,1.0,0.1162,0.0674,20.0,20.0,-2949.0,-10159.0,-37303.0,-37303.0,-0.0023533333333333336,1.0
2023-02-14,13823.0,13969.0,-0.0033,1108.0,1.0,0.08,0.0488,20.0,20.0,496.0,-6812.0,-36195.0,-36195.0,-0.0024125,1.0
2023-02-15,25780.0,26833.0,-0.0148,6099.0,1.0,0.1103,0.088,24.0,15.0,1177.0,-385.0,-30096.0,-30096.0,-0.0031411764705882353,1.0
2023-02-16,14024.0,14337.0,-0.0069,129.0,1.0,0.0723,0.0443,20.0,20.0,-740.0,5876.0,-29967.0,-29967.0,-0.0033500000000000005,0.0
2023-02-20,12690.0,13321.0,-0.0127,-7946.0,0.0,0.1009,0.059,24.0,16.0,-1128.0,-196.0,-37913.0,-37913.0,-0.0038421052631578954,1.0
2023-02-22,18461.0,18406.0,0.0011,9194.0,1.0,0.265,0.1752,20.0,20.0,292.0,8584.0,-28719.0,-28719.0,-0.003595,0.0
2023-02-23,24986.0,25726.0,-0.009,1320.0,1.0,0.0879,0.0605,20.0,20.0,-1794.0,8796.0,-19871.0,-27399.0,-0.00441,0.0
2023-02-26,15349.0,16371.0,-0.017,-7266.0,0.0,0.0642,0.0284,21.0,19.0,-36.0,-4569.0,-36540.0,-34665.0,-0.0053100000000000005,1.0
2023-02-27,14594.0,14774.0,-0.0038,1911.0,1.0,0.0781,0.0416,20.0,20.0,-1524.0,-2787.0,-41112.0,-32754.0,-0.0056500000000000005,1.0
2023-02-28,15467.0,15518.0,-0.0014,-2218.0,0.0,0.1112,0.0816,22.0,17.0,849.0,2941.0,-40129.0,-34972.0,-0.0047550000000000005,0.0
2023-03-01,14430.0,15129.0,-0.0192,3039.0,1.0,0.0855,0.0727,26.0,14.0,-337.0,-3214.0,-39107.0,-31933.0,-0.0058649999999999996,1.0
2023-03-02,12580.0,12778.0,-0.0058,-1743.0,0.0,0.073,0.0505,20.0,18.0,628.0,-6277.0,-16474.0,-33676.0,-0.0063100000000000005,1.0
2023-03-05,20302.0,19516.0,0.0108,-338.0,0.0,0.1178,0.0563,20.0,20.0,2473.0,651.0,-9852.0,-34014.0,-0.00469,0.0
2023-03-07,28383.0,27862.0,0.0076,9005.0,1.0,0.2135,0.1456,17.0,23.0,10003.0,7745.0,8025.0,-25009.0,-0.00306,0.0
2023-03-09,33270.0,32584.0,0.0076,-857.0,0.0,0.243,0.1528,18.0,22.0,7431.0,9106.0,1841.0,-25866.0,-0.002365,0.0
2023-03-12,27895.0,28208.0,-0.0036,-2528.0,0.0,0.1118,0.0813,21.0,19.0,-2768.0,3539.0,-1250.0,-28394.0,-0.0023449999999999994,0.0
2023-03-13,40522.0,43207.0,-0.0199,14588.0,1.0,0.0722,0.037,21.0,19.0,617.0,19870.0,15577.0,-13806.0,-0.0033,0.0
2023-03-14,16089.0,16152.0,-0.0009,5592.0,1.0,0.0969,0.0499,20.0,20.0,1249.0,25800.0,21497.0,-8214.0,-0.003425,0.0
2023-03-15,20170.0,20858.0,-0.0098,706.0,1.0,0.1025,0.0722,22.0,18.0,-171.0,17501.0,28335.0,-7508.0,-0.00485,0.0
2023-03-16,27543.0,28717.0,-0.0105,3849.0,1.0,0.0959,0.0546,21.0,19.0,-3513.0,22207.0,34058.0,-3659.0,-0.005565,0.0
2023-03-19,11343.0,11930.0,-0.0144,-155.0,0.0,0.0745,0.0415,22.0,18.0,1693.0,24580.0,33489.0,-3814.0,-0.006295,0.0
2023-03-20,8280.0,8669.0,-0.0144,-1768.0,0.0,0.0803,0.0507,22.0,18.0,-128.0,8224.0,30613.0,-5582.0,-0.00685,0.0
2023-03-22,12153.0,12115.0,0.0009,3060.0,1.0,0.1023,0.0507,20.0,20.0,790.0,5692.0,27574.0,-2522.0,-0.006064999999999999,0.0
2023-03-23,11630.0,11837.0,-0.0061,97.0,1.0,0.1101,0.0888,20.0,20.0,-1456.0,5083.0,27542.0,-2425.0,-0.006025,0.0
2023-03-26,16634.0,17507.0,-0.0147,-9858.0,0.0,0.0898,0.0472,24.0,16.0,-3846.0,-8624.0,25630.0,-12283.0,-0.006125,1.0
2023-03-27,16933.0,17899.0,-0.0127,-3648.0,0.0,0.0636,0.0212,25.0,15.0,-500.0,-12117.0,12788.0,-15931.0,-0.006815,1.0
2023-03-28,15576.0,15596.0,-0.0005,32.0,1.0,0.0994,0.0697,20.0,20.0,607.0,-10317.0,11500.0,-15899.0,-0.00639,1.0
2023-03-29,8125.0,8348.0,-0.0106,-1355.0,0.0,0.0832,0.0666,23.0,17.0,1395.0,-14732.0,17411.0,-17254.0,-0.00607,1.0
2023-03-30,9326.0,9326.0,0.0,1288.0,1.0,0.1006,0.0731,24.0,14.0,731.0,-13541.0,16788.0,-15966.0,-0.00588,1.0
2023-04-02,10298.0,10236.0,0.0022,-293.0,0.0,0.1415,0.0877,20.0,20.0,408.0,-3976.0,18713.0,-16259.0,-0.0057,1.0
2023-04-03,8224.0,8233.0,-0.0003,2122.0,1.0,0.0945,0.0459,21.0,19.0,401.0,1794.0,17796.0,-14137.0,-0.004755,0.0
