date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-03-23,3100.0,3100.0,0.0,1183.0,1.0,0.2868,0.1941,7.0,18.0,-80.0,1183.0,1183.0,1183.0,0.0,0.0
2023-03-26,950.0,950.0,0.0,10.0,1.0,0.5679,0.3316,2.0,33.0,-120.0,1193.0,1193.0,1193.0,0.0,0.0
2023-03-27,6050.0,5610.0,0.0355,-2640.0,0.0,0.1796,0.1454,8.0,32.0,-440.0,-1447.0,-1447.0,-1447.0,0.011833333333333333,1.0
2023-03-28,4740.0,4100.0,0.0627,110.0,1.0,0.4569,0.2294,4.0,36.0,-640.0,-1337.0,-1337.0,-1337.0,0.024550000000000002,1.0
2023-03-29,20948.0,20878.0,0.0007,615.0,1.0,0.0837,0.0316,20.0,20.0,333.0,-722.0,-722.0,-722.0,0.019780000000000002,1.0
2023-03-30,13820.0,12840.0,0.0226,-2420.0,0.0,0.2662,0.1561,18.0,22.0,220.0,-4325.0,-3142.0,-3142.0,0.02025,1.0
2023-04-02,9516.0,8796.0,0.0195,680.0,1.0,0.4105,0.1624,17.0,23.0,5986.0,-3655.0,-2462.0,-2462.0,0.020142857142857146,1.0
2023-04-03,9414.0,9259.0,0.0048,-4259.0,0.0,0.0995,0.0472,20.0,20.0,1540.0,-5274.0,-6721.0,-6721.0,0.018225,1.0
2023-04-04,3327.0,3157.0,0.0156,550.0,1.0,0.3897,0.1823,11.0,26.0,-320.0,-4834.0,-6171.0,-6171.0,0.017933333333333336,1.0
2023-04-05,4042.0,3872.0,0.0115,972.0,1.0,0.3557,0.1528,13.0,27.0,2260.0,-4477.0,-5199.0,-5199.0,0.01729,1.0
2023-04-06,3831.0,3611.0,0.0206,153.0,1.0,0.2985,0.1739,12.0,28.0,1854.0,-1904.0,-5046.0,-5046.0,0.01759090909090909,1.0
2023-04-09,3732.0,3602.0,0.0116,1548.0,1.0,0.2256,0.1407,13.0,25.0,-60.0,-1036.0,-3498.0,-3498.0,0.017091666666666668,1.0
