date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,40136.0,39985.0,0.0011,8438.0,1.0,0.096,0.0576,20.0,20.0,7850.0,8438.0,8438.0,8438.0,0.0011,0.0
2023-01-24,36730.0,34314.0,0.02,5470.0,1.0,0.0959,0.0455,20.0,20.0,3843.0,13908.0,13908.0,13908.0,0.01055,0.0
2023-01-25,45173.0,39528.0,0.0321,8235.0,1.0,0.1261,0.0549,16.0,24.0,0.0,22143.0,22143.0,22143.0,0.017733333333333334,0.0
2023-01-26,83308.0,84820.0,-0.0071,-34262.0,0.0,0.1135,0.0907,20.0,20.0,-6188.0,-12119.0,-12119.0,-12119.0,0.011524999999999999,1.0
2023-01-29,48763.0,46960.0,0.0125,-4802.0,0.0,0.1549,0.112,20.0,20.0,-5433.0,-16921.0,-16921.0,-16921.0,0.01172,1.0
2023-01-30,54774.0,53539.0,0.0071,-12303.0,0.0,0.1417,0.0931,20.0,20.0,-18072.0,-37662.0,-29224.0,-29224.0,0.01095,1.0
2023-01-31,38063.0,37479.0,0.0043,-9898.0,0.0,0.09,0.054,20.0,20.0,-4137.0,-53030.0,-39122.0,-39122.0,0.009999999999999998,1.0
2023-02-01,15760.0,15649.0,0.0025,-6583.0,0.0,0.1038,0.0704,20.0,20.0,-909.0,-67848.0,-45705.0,-45705.0,0.0090625,1.0
2023-02-02,41091.0,41765.0,-0.0054,1665.0,1.0,0.1137,0.0893,20.0,20.0,1971.0,-31921.0,-44040.0,-44040.0,0.007455555555555555,1.0
2023-02-05,34353.0,33554.0,0.0078,-12776.0,0.0,0.115,0.0772,20.0,20.0,4267.0,-39895.0,-56816.0,-56816.0,0.007489999999999999,1.0
2023-02-06,18943.0,18947.0,-0.0001,-8299.0,0.0,0.1175,0.0984,20.0,20.0,-1217.0,-35891.0,-65115.0,-65115.0,0.0068,1.0
2023-02-07,57068.0,59873.0,-0.0135,-31424.0,0.0,0.0837,0.0519,20.0,20.0,-7463.0,-57417.0,-96539.0,-96539.0,0.005108333333333334,1.0
2023-02-08,55395.0,52436.0,0.0175,20354.0,1.0,0.1138,0.0685,20.0,20.0,3268.0,-30480.0,-76185.0,-76185.0,0.006061538461538462,1.0
2023-02-09,37455.0,37830.0,-0.0033,1623.0,1.0,0.1054,0.0833,20.0,20.0,309.0,-30522.0,-74562.0,-74562.0,0.005392857142857143,1.0
2023-02-12,38872.0,38886.0,-0.0001,4932.0,1.0,0.0976,0.0563,20.0,20.0,-454.0,-12814.0,-69630.0,-69630.0,0.005026666666666667,1.0
2023-02-14,35258.0,35018.0,0.0022,-1786.0,0.0,0.1799,0.1261,20.0,20.0,-1263.0,-6301.0,-71416.0,-71416.0,0.00485,1.0
2023-02-15,70235.0,66206.0,0.016,-4042.0,0.0,0.2924,0.1333,15.0,24.0,-1602.0,21081.0,-75458.0,-75458.0,0.005505882352941176,0.0
2023-02-16,29070.0,29294.0,-0.0025,8445.0,1.0,0.1033,0.0631,20.0,20.0,1593.0,9172.0,-67013.0,-67013.0,0.005061111111111111,0.0
2023-02-20,29954.0,29970.0,-0.0002,10600.0,1.0,0.1472,0.1009,20.0,20.0,9794.0,18149.0,-56413.0,-56413.0,0.00478421052631579,0.0
2023-02-22,27974.0,26852.0,0.014,3990.0,1.0,0.1596,0.1139,17.0,23.0,-2174.0,17207.0,-52423.0,-52423.0,0.0052450000000000005,0.0
