date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,23210.0,22927.0,0.004,2141.0,1.0,0.0958,0.0561,19.0,21.0,-3137.0,2141.0,2141.0,2141.0,0.004,0.0
2023-01-24,31271.0,30437.0,0.0076,-4994.0,0.0,0.1331,0.0623,17.0,22.0,-1218.0,-2853.0,-2853.0,-2853.0,0.0058,1.0
2023-01-25,19112.0,18886.0,0.0037,5264.0,1.0,0.2462,0.1352,17.0,23.0,-1504.0,2411.0,2411.0,2411.0,0.0051,0.0
2023-01-26,16471.0,16984.0,-0.0091,814.0,1.0,0.0875,0.0484,24.0,16.0,1001.0,3225.0,3225.0,3225.0,0.0015500000000000002,0.0
2023-01-29,32459.0,32341.0,0.0014,-3668.0,0.0,0.1533,0.0977,19.0,20.0,6056.0,-443.0,-443.0,-443.0,0.00152,1.0
2023-01-30,31614.0,31417.0,0.0023,-1236.0,0.0,0.1057,0.0704,20.0,20.0,1424.0,-3820.0,-1679.0,-1679.0,0.0016500000000000002,1.0
2023-01-31,35239.0,35674.0,-0.0046,8906.0,1.0,0.1072,0.0749,23.0,17.0,7087.0,10080.0,7227.0,7227.0,0.0007571428571428573,0.0
2023-02-01,14996.0,14996.0,0.0,-4375.0,0.0,0.1296,0.0784,16.0,22.0,-152.0,441.0,2852.0,2852.0,0.0006625000000000001,0.0
2023-02-02,23180.0,24311.0,-0.017,1982.0,1.0,0.093,0.0626,24.0,16.0,-678.0,1609.0,4834.0,4834.0,-0.0013,0.0
2023-02-05,25974.0,25925.0,0.0007,-12948.0,0.0,0.0966,0.0687,19.0,21.0,-90.0,-7671.0,-8114.0,-8114.0,-0.0011,1.0
2023-02-06,8668.0,8668.0,0.0,2151.0,1.0,0.11,0.0576,19.0,18.0,-207.0,-4284.0,-5963.0,-5963.0,-0.001,1.0
2023-02-07,24488.0,24789.0,-0.0034,9436.0,1.0,0.1003,0.0568,20.0,20.0,-1113.0,-3754.0,3473.0,3473.0,-0.0012,1.0
2023-02-08,25485.0,24899.0,0.0073,9048.0,1.0,0.1364,0.0691,20.0,20.0,-546.0,9669.0,12521.0,12521.0,-0.0005461538461538462,0.0
2023-02-09,12112.0,12112.0,0.0,-6512.0,0.0,0.2375,0.1568,23.0,15.0,476.0,1175.0,6009.0,6009.0,-0.0005071428571428572,0.0
2023-02-12,24377.0,25052.0,-0.0092,-6674.0,0.0,0.0743,0.0391,20.0,20.0,567.0,7449.0,-665.0,-665.0,-0.0010866666666666668,0.0
2023-02-14,9882.0,9882.0,0.0,1448.0,1.0,0.1675,0.1097,22.0,16.0,-278.0,6746.0,783.0,783.0,-0.0010187500000000001,0.0
2023-02-15,24269.0,24828.0,-0.0086,-2157.0,0.0,0.1055,0.0624,23.0,17.0,3614.0,-4847.0,-1374.0,-1374.0,-0.001464705882352941,1.0
