date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-05-02,83.0,83.0,0.0,1.0,1.0,0.1613,0.0679,8.0,9.0,-9.0,1.0,1.0,1.0,0.0,0.0
2023-05-03,20.0,20.0,0.0,-10.0,0.0,0.5,0.125,2.0,2.0,-10.0,-9.0,-9.0,-9.0,0.0,1.0
2023-05-04,50.0,50.0,0.0,0.0,0.0,0.28,0.2,4.0,4.0,0.0,-9.0,-9.0,-9.0,0.0,1.0
2023-05-07,40.0,40.0,0.0,-20.0,0.0,0.375,0.2,3.0,3.0,-20.0,-29.0,-29.0,-29.0,0.0,1.0
2023-05-08,30.0,30.0,0.0,0.0,0.0,0.3333,0.1667,3.0,3.0,0.0,-29.0,-29.0,-29.0,0.0,1.0
2023-05-09,20.0,20.0,0.0,10.0,1.0,0.5,0.25,2.0,2.0,0.0,-20.0,-19.0,-19.0,0.0,1.0
2023-05-10,20.0,20.0,0.0,-10.0,0.0,0.5,0.25,2.0,2.0,-10.0,-20.0,-29.0,-29.0,0.0,1.0
2023-05-11,30.0,30.0,0.0,-10.0,0.0,0.3333,0.1667,3.0,3.0,-10.0,-30.0,-39.0,-39.0,0.0,1.0
2023-05-14,60.0,60.0,0.0,-10.0,0.0,0.2778,0.1667,4.0,6.0,0.0,-20.0,-49.0,-49.0,0.0,1.0
2023-05-15,30.0,30.0,0.0,0.0,0.0,0.3333,0.125,3.0,3.0,0.0,-20.0,-49.0,-49.0,0.0,1.0
2023-05-16,100.0,100.0,0.0,30.0,1.0,0.42,0.2727,4.0,9.0,-10.0,0.0,-19.0,-19.0,0.0,0.0
2023-05-17,50.0,50.0,0.0,0.0,0.0,0.2,0.1,5.0,4.0,-10.0,10.0,-19.0,-19.0,0.0,0.0
2023-05-18,80.0,80.0,0.0,20.0,1.0,0.25,0.1667,5.0,7.0,0.0,40.0,1.0,1.0,0.0,0.0
2023-05-21,100.0,100.0,0.0,-30.0,0.0,0.4,0.3,5.0,10.0,0.0,20.0,-29.0,-29.0,0.0,0.0
2023-05-22,130.0,130.0,0.0,-60.0,0.0,0.6095,0.3333,4.0,9.0,10.0,-40.0,-89.0,-89.0,0.0,1.0
2023-05-23,100.0,100.0,0.0,20.0,1.0,0.52,0.3182,4.0,10.0,-10.0,-50.0,-69.0,-69.0,0.0,1.0
2023-05-24,80.0,80.0,0.0,40.0,1.0,0.5938,0.2727,3.0,7.0,-10.0,-10.0,-29.0,-29.0,0.0,1.0
2023-05-28,330.0,330.0,0.0,-50.0,0.0,0.5225,0.2632,2.0,22.0,-10.0,-80.0,-79.0,-79.0,0.0,1.0
2023-05-30,590.0,590.0,0.0,240.0,1.0,0.8719,0.4435,3.0,26.0,-80.0,190.0,161.0,161.0,0.0,0.0
2023-05-31,2489.0,2269.0,0.0274,749.0,1.0,0.1561,0.0858,14.0,24.0,690.0,999.0,910.0,910.0,0.0013700000000000001,0.0
2023-06-01,5636.0,5363.0,0.0082,-1007.0,0.0,0.0876,0.0269,20.0,20.0,-1608.0,-28.0,-98.0,-97.0,0.00178,1.0
2023-06-04,4388.0,4048.0,0.0246,-1422.0,0.0,0.1441,0.0833,16.0,24.0,-558.0,-1490.0,-1510.0,-1519.0,0.00301,1.0
2023-06-05,2157.0,1996.0,0.0205,177.0,1.0,0.1773,0.0905,12.0,26.0,-145.0,-1263.0,-1333.0,-1342.0,0.004035,1.0
2023-06-06,3372.0,3192.0,0.0195,486.0,1.0,0.2943,0.1827,12.0,26.0,1690.0,-1017.0,-827.0,-856.0,0.0050100000000000006,1.0
2023-06-07,2915.0,2915.0,0.0,662.0,1.0,0.2471,0.1392,11.0,24.0,-100.0,-1104.0,-165.0,-194.0,0.0050100000000000006,1.0
2023-06-08,1480.0,1430.0,0.0118,-477.0,0.0,0.2163,0.1395,16.0,21.0,-250.0,-574.0,-652.0,-671.0,0.0056,1.0
2023-06-11,4729.0,4449.0,0.0261,946.0,1.0,0.3657,0.2066,7.0,33.0,-1410.0,1794.0,304.0,275.0,0.006905,0.0
2023-06-12,2699.0,2649.0,0.0075,-1588.0,0.0,0.0903,0.0614,17.0,20.0,-2010.0,29.0,-1274.0,-1313.0,0.00728,0.0
2023-06-13,1972.0,1932.0,0.0072,-591.0,0.0,0.1672,0.1026,14.0,25.0,-135.0,-1048.0,-1855.0,-1904.0,0.007640000000000001,1.0
2023-06-14,3716.0,3627.0,0.0082,-737.0,0.0,0.1917,0.107,16.0,23.0,-80.0,-2447.0,-2592.0,-2641.0,0.00805,1.0
2023-06-15,3088.0,3047.0,0.0056,-502.0,0.0,0.1408,0.0834,11.0,28.0,0.0,-2472.0,-3124.0,-3143.0,0.00833,1.0
2023-06-18,2998.0,2928.0,0.0072,-724.0,0.0,0.1419,0.0783,19.0,20.0,491.0,-4142.0,-3848.0,-3867.0,0.00869,1.0
2023-06-19,2831.0,2766.0,0.0076,-680.0,0.0,0.1488,0.0921,18.0,20.0,184.0,-3234.0,-4548.0,-4547.0,0.00907,1.0
2023-06-20,1268.0,1268.0,0.0,-342.0,0.0,0.2621,0.1596,11.0,22.0,-30.0,-2985.0,-4860.0,-4889.0,0.00907,1.0
2023-06-21,1914.0,1904.0,0.0018,165.0,1.0,0.2191,0.1469,17.0,21.0,-110.0,-2083.0,-4635.0,-4724.0,0.00916,1.0
2023-06-22,813.0,813.0,0.0,-189.0,0.0,0.1896,0.1186,12.0,23.0,-90.0,-1770.0,-4844.0,-4913.0,0.00916,1.0
2023-06-25,1383.0,1383.0,0.0,-190.0,0.0,0.2287,0.0959,8.0,31.0,344.0,-1236.0,-5074.0,-5103.0,0.00916,1.0
2023-06-26,668.0,668.0,0.0,-215.0,0.0,0.1303,0.0599,13.0,19.0,-110.0,-771.0,-5239.0,-5318.0,0.00916,1.0
2023-06-27,3642.0,3532.0,0.0106,1302.0,1.0,0.3837,0.2072,13.0,26.0,-457.0,873.0,-4177.0,-4016.0,0.00969,0.0
2023-06-28,2544.0,2544.0,0.0,-471.0,0.0,0.1408,0.1085,16.0,22.0,-20.0,237.0,-5397.0,-4487.0,0.00832,0.0
2023-07-02,1460.0,1460.0,0.0,-270.0,0.0,0.1006,0.0548,15.0,24.0,-80.0,156.0,-4660.0,-4757.0,0.00791,0.0
2023-07-03,854.0,854.0,0.0,-396.0,0.0,0.1207,0.0644,14.0,24.0,-60.0,-50.0,-3634.0,-5153.0,0.00668,1.0
2023-07-04,1004.0,1004.0,0.0,-764.0,0.0,0.099,0.0805,19.0,16.0,-50.0,-599.0,-4575.0,-5917.0,0.005655,1.0
2023-07-05,843.0,843.0,0.0,93.0,1.0,0.199,0.1032,12.0,19.0,150.0,-1808.0,-4968.0,-5824.0,0.004680000000000001,1.0
2023-07-06,1909.0,1909.0,0.0,-363.0,0.0,0.2602,0.1954,12.0,27.0,-155.0,-1700.0,-5993.0,-6187.0,0.004680000000000001,1.0
2023-07-09,1198.0,1198.0,0.0,195.0,1.0,0.3835,0.258,7.0,26.0,-80.0,-1235.0,-5321.0,-5992.0,0.004090000000000001,1.0
2023-07-10,617.0,617.0,0.0,-170.0,0.0,0.2026,0.1126,11.0,21.0,-30.0,-1009.0,-6437.0,-6162.0,0.002785,1.0
2023-07-11,2487.0,2497.0,-0.0016,-326.0,0.0,0.1788,0.1577,23.0,16.0,-97.0,-571.0,-5175.0,-6488.0,0.00233,1.0
2023-07-12,620.0,620.0,0.0,60.0,1.0,0.1504,0.0492,13.0,22.0,-20.0,-604.0,-4524.0,-6428.0,0.0019700000000000004,1.0
2023-07-13,1648.0,1648.0,0.0,58.0,1.0,0.1264,0.0725,13.0,17.0,-90.0,-183.0,-3729.0,-6370.0,0.00156,1.0
2023-07-16,700.0,700.0,0.0,-130.0,0.0,0.109,0.0561,12.0,18.0,-40.0,-508.0,-3357.0,-6500.0,0.0012799999999999999,1.0
