date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.3578,0.3668,-0.009,-0.1001,0.0,0.0716,0.052,20.0,20.0,-0.1022,-0.1001,-0.1001,-0.1001,-0.009,1.0
2023-01-24,0.4237,0.4044,0.0193,0.073,1.0,0.3178,0.2254,20.0,20.0,0.0,-0.0271,-0.0271,-0.0271,0.005150000000000001,1.0
2023-01-25,0.4319,0.4316,0.0003,0.0749,1.0,0.0955,0.0974,20.0,20.0,0.0382,0.047799999999999995,0.047799999999999995,0.047799999999999995,0.003533333333333334,0.0
2023-01-26,0.5839,0.5572,0.0267,0.0573,1.0,0.2465,0.2283,20.0,20.0,-0.0121,0.1051,0.1051,0.1051,0.009325,0.0
2023-01-29,0.4929,0.4799,0.013,-0.1241,0.0,0.1037,0.0823,20.0,20.0,-0.0112,-0.019000000000000017,-0.019000000000000017,-0.019000000000000017,0.010060000000000001,1.0
2023-01-30,0.4397,0.4245,0.0152,0.0487,1.0,0.0877,0.0674,20.0,20.0,-0.0233,0.12979999999999997,0.029699999999999983,0.029699999999999983,0.010916666666666667,0.0
2023-01-31,0.4436,0.4513,-0.0077,0.0454,1.0,0.1358,0.1197,20.0,20.0,0.0405,0.10219999999999999,0.07509999999999999,0.07509999999999999,0.008257142857142857,0.0
2023-02-01,0.4061,0.4466,-0.0404,0.0373,1.0,0.0653,0.0504,22.0,18.0,0.0202,0.06459999999999999,0.11239999999999999,0.11239999999999999,0.0021750000000000007,0.0
2023-02-02,0.4198,0.4413,-0.0215,-0.0398,0.0,0.0798,0.0728,20.0,20.0,-0.0053,-0.03250000000000001,0.07259999999999998,0.07259999999999998,-0.00045555555555555475,1.0
2023-02-05,0.5195,0.4954,0.0241,0.0111,1.0,0.0987,0.0761,20.0,20.0,0.0038,0.10269999999999999,0.08369999999999998,0.08369999999999998,0.002000000000000001,0.0
2023-02-06,0.5644,0.6328,-0.0684,-0.1455,0.0,0.0615,0.0619,21.0,19.0,0.0,-0.0915,-0.06180000000000001,-0.06180000000000001,-0.0044,1.0
2023-02-07,0.5011,0.4682,0.0329,0.0498,1.0,0.1215,0.1242,19.0,21.0,0.049,-0.0871,-0.01200000000000001,-0.01200000000000001,-0.0012916666666666667,1.0
2023-02-08,0.3178,0.3315,-0.0137,0.0498,1.0,0.0897,0.0498,20.0,20.0,0.0098,-0.07460000000000001,0.037799999999999986,0.037799999999999986,-0.002246153846153846,1.0
2023-02-09,0.4535,0.4529,0.0006,0.1069,1.0,0.238,0.2076,20.0,20.0,-0.0187,0.0721,0.1447,0.1447,-0.0020428571428571427,0.0
2023-02-12,0.4037,0.4193,-0.0156,-0.0406,0.0,0.1076,0.0985,20.0,20.0,0.0192,0.0204,0.10409999999999998,0.10409999999999998,-0.002946666666666667,0.0
2023-02-14,0.3735,0.3796,-0.0061,-0.0549,0.0,0.0702,0.0586,20.0,20.0,-0.0184,0.11099999999999999,0.04919999999999999,0.04919999999999999,-0.00314375,0.0
2023-02-15,0.4015,0.4132,-0.0117,0.0215,1.0,0.0649,0.0466,20.0,20.0,-0.0088,0.0827,0.07069999999999999,0.07069999999999999,-0.0036470588235294117,0.0
2023-02-16,0.5164,0.5182,-0.0018,0.1699,1.0,0.0955,0.1101,20.0,20.0,0.021,0.20279999999999998,0.24059999999999998,0.24059999999999998,-0.0035444444444444442,0.0
2023-02-20,0.5498,0.5567,-0.0069,-0.1399,0.0,0.128,0.15,20.0,20.0,-0.0511,-0.04400000000000001,0.10069999999999998,0.10069999999999998,-0.0037210526315789474,1.0
2023-02-22,0.5182,0.5259,-0.0077,0.0426,1.0,0.1266,0.1367,20.0,20.0,0.09,0.039199999999999985,0.14329999999999998,0.14329999999999998,-0.00392,0.0
2023-02-23,0.5024,0.5582,-0.0558,-0.0131,0.0,0.0793,0.066,20.0,20.0,-0.0127,0.08099999999999999,0.23029999999999998,0.13019999999999998,-0.00626,0.0
2023-02-26,0.3867,0.3878,-0.0011,0.0649,1.0,0.0863,0.0721,20.0,20.0,0.0058,0.12439999999999998,0.2222,0.1951,-0.00728,0.0
2023-02-27,0.4727,0.4856,-0.0129,0.0904,1.0,0.0773,0.0557,20.0,20.0,0.0476,0.04489999999999998,0.23769999999999997,0.2855,-0.007940000000000001,0.0
2023-02-28,0.5452,0.5298,0.0154,0.0126,1.0,0.1629,0.1852,19.0,21.0,0.018,0.19739999999999996,0.19299999999999998,0.2981,-0.008505,0.0
2023-03-01,0.6632,0.6684,-0.0052,0.052,1.0,0.1827,0.2468,20.0,20.0,0.0029,0.20679999999999998,0.3691,0.35009999999999997,-0.009415,0.0
2023-03-02,0.5626,0.577,-0.0143,0.1209,1.0,0.1409,0.183,20.0,20.0,-0.0157,0.3408,0.44129999999999997,0.471,-0.01089,0.0
2023-03-05,0.5589,0.6002,-0.0413,0.1103,1.0,0.1048,0.1145,20.0,20.0,0.027,0.3862,0.5062,0.5812999999999999,-0.012570000000000001,0.0
2023-03-07,0.666,0.6668,-0.0008,-0.1685,0.0,0.104,0.1614,20.0,20.0,-0.0521,0.12729999999999997,0.30039999999999994,0.41279999999999994,-0.01059,0.0
2023-03-09,0.5898,0.5814,0.0084,0.2045,1.0,0.1068,0.1087,20.0,20.0,0.0,0.31919999999999993,0.5447,0.6173,-0.009095000000000002,0.0
2023-03-12,0.5115,0.511,0.0005,0.0412,1.0,0.1397,0.1653,20.0,20.0,0.0357,0.30839999999999995,0.5748,0.6585,-0.010275000000000001,0.0
2023-03-13,0.6042,0.6532,-0.0491,-0.0383,0.0,0.0711,0.0812,26.0,14.0,-0.2327,0.14919999999999994,0.6819999999999999,0.6202,-0.009309999999999999,0.0
2023-03-14,0.6562,0.7236,-0.0674,-0.1839,0.0,0.0749,0.1134,21.0,19.0,-0.0154,-0.14500000000000007,0.4482999999999999,0.4362999999999999,-0.014325,1.0
2023-03-15,0.5647,0.5961,-0.0314,0.0726,1.0,0.0773,0.0828,24.0,16.0,0.026,0.09609999999999994,0.4710999999999999,0.5088999999999999,-0.015210000000000001,0.0
2023-03-16,0.7478,0.7276,0.0202,0.168,1.0,0.2651,0.3164,20.0,20.0,0.0034,0.05959999999999996,0.5321999999999999,0.6769,-0.014230000000000001,0.0
2023-03-19,0.6777,0.6781,-0.0004,0.123,1.0,0.1868,0.2625,20.0,20.0,-0.0423,0.14139999999999997,0.6957999999999999,0.7998999999999999,-0.01347,0.0
