date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2025-11-11,230.0,230.0,0.0,70.0,1.0,0.9168,0.4074,2.0,15.0,-30.0,70.0,70.0,70.0,0.0,0.0
2025-11-12,480.0,480.0,0.0,-260.0,0.0,0.8073,0.4388,4.0,25.0,-50.0,-190.0,-190.0,-190.0,0.0,1.0
2025-11-13,580.0,580.0,0.0,-290.0,0.0,0.9661,0.4672,2.0,28.0,-120.0,-480.0,-480.0,-480.0,0.0,1.0
2025-11-16,800.0,800.0,0.0,-530.0,0.0,1.0,0.4878,1.0,30.0,-170.0,-1010.0,-1010.0,-1010.0,0.0,1.0
2025-11-17,1410.0,1280.0,0.0476,-720.0,0.0,0.33,0.2051,4.0,36.0,-210.0,-1730.0,-1730.0,-1730.0,0.00952,1.0
2025-11-18,1530.0,1420.0,0.037,-840.0,0.0,0.9742,0.5084,2.0,38.0,-290.0,-2640.0,-2570.0,-2570.0,0.014100000000000001,1.0
2025-11-19,2300.0,1950.0,0.0805,-1380.0,0.0,0.6579,0.4138,3.0,37.0,-410.0,-3760.0,-3950.0,-3950.0,0.023585714285714286,1.0
2025-11-20,5550.0,4180.0,0.112,1710.0,1.0,0.5401,0.3189,4.0,36.0,3900.0,-1760.0,-2240.0,-2240.0,0.0346375,1.0
2025-11-23,21340.0,17080.0,0.1066,-10860.0,0.0,0.5467,0.3664,3.0,37.0,-4050.0,-12090.0,-13100.0,-13100.0,0.04263333333333333,1.0
2025-11-24,30459.0,26929.0,0.0361,-9719.0,0.0,0.1428,0.1016,20.0,20.0,-11869.0,-21089.0,-22819.0,-22819.0,0.04198,1.0
2025-11-25,90880.0,112020.0,-0.0404,-52740.0,0.0,0.0637,0.0211,20.0,20.0,-41210.0,-72989.0,-75559.0,-75559.0,0.03449090909090909,1.0
2025-11-26,69464.0,90696.0,-0.0562,-37669.0,0.0,0.0627,0.0228,20.0,20.0,-35395.0,-109278.0,-113228.0,-113228.0,0.026933333333333333,1.0
2025-11-27,52644.0,62542.0,-0.037,-25183.0,0.0,0.0584,0.0197,20.0,20.0,-20993.0,-136171.0,-138411.0,-138411.0,0.022015384615384617,1.0
2025-11-30,38148.0,42275.0,-0.0201,-11954.0,0.0,0.0678,0.0295,20.0,20.0,-10334.0,-137265.0,-150365.0,-150365.0,0.019007142857142858,1.0
2025-12-01,65495.0,57650.0,0.0272,-28286.0,0.0,0.0838,0.0345,20.0,20.0,-8871.0,-155832.0,-178651.0,-178651.0,0.019553333333333332,1.0
2025-12-02,30519.0,30424.0,0.0008,-3330.0,0.0,0.068,0.0311,20.0,20.0,-7746.0,-106422.0,-181981.0,-181981.0,0.018381250000000002,1.0
2025-12-03,70438.0,56299.0,0.0423,-7160.0,0.0,0.0792,0.0353,20.0,20.0,-6126.0,-75913.0,-189141.0,-189141.0,0.019788235294117645,1.0
2025-12-07,50824.0,60055.0,-0.0327,-7855.0,0.0,0.0558,0.0178,20.0,20.0,-5280.0,-58585.0,-196996.0,-196996.0,0.01687222222222222,1.0
2025-12-08,29587.0,28857.0,0.0052,-6775.0,0.0,0.0817,0.0326,20.0,20.0,-1759.0,-53406.0,-203771.0,-203771.0,0.016257894736842107,1.0
2025-12-09,36163.0,36238.0,-0.0006,-8820.0,0.0,0.0961,0.0457,20.0,20.0,-4604.0,-33940.0,-212591.0,-212591.0,0.015415000000000002,1.0
2025-12-10,31476.0,34565.0,-0.0241,-11670.0,0.0,0.0633,0.0331,20.0,20.0,-4020.0,-42280.0,-224331.0,-224261.0,0.01421,1.0
2025-12-11,23828.0,21871.0,0.0193,-3107.0,0.0,0.0667,0.023,20.0,20.0,-2263.0,-38227.0,-227178.0,-227368.0,0.015175,1.0
2025-12-14,35054.0,31247.0,0.0286,5709.0,1.0,0.0752,0.0367,20.0,20.0,1956.0,-24663.0,-221179.0,-221659.0,0.016605,1.0
2025-12-15,19437.0,19628.0,-0.0024,-6905.0,0.0,0.063,0.0224,20.0,20.0,-2450.0,-24793.0,-227554.0,-228564.0,0.016485,1.0
2025-12-16,33466.0,26954.0,0.0657,8889.0,1.0,0.179,0.1102,20.0,20.0,-4505.0,-7084.0,-217945.0,-219675.0,0.01739,1.0
2025-12-17,24999.0,24004.0,0.0098,1163.0,1.0,0.0818,0.0515,20.0,20.0,-2421.0,5749.0,-215942.0,-218512.0,0.01603,0.0
2025-12-18,44927.0,49538.0,-0.0308,-828.0,0.0,0.0841,0.051,20.0,20.0,-538.0,8028.0,-215390.0,-219340.0,0.010464999999999999,0.0
2025-12-21,29464.0,28622.0,0.0062,-5252.0,0.0,0.0634,0.0291,20.0,20.0,-4226.0,-2933.0,-222352.0,-224592.0,0.005174999999999999,1.0
2025-12-22,34011.0,34371.0,-0.0026,-12459.0,0.0,0.0975,0.0562,20.0,20.0,-9430.0,-8487.0,-223951.0,-237051.0,-0.00028500000000000064,1.0
2025-12-23,26123.0,23687.0,0.0215,-5159.0,0.0,0.1139,0.0441,20.0,20.0,-4495.0,-22535.0,-219391.0,-242210.0,-0.0010150000000000007,1.0
2025-12-24,20050.0,16753.0,0.0392,-2714.0,0.0,0.1072,0.054,20.0,20.0,-722.0,-26412.0,-169365.0,-244924.0,0.0029649999999999993,1.0
2025-12-28,25482.0,24682.0,0.0073,4211.0,1.0,0.0921,0.0492,20.0,20.0,-4402.0,-21373.0,-127485.0,-240713.0,0.00614,1.0
2025-12-29,35226.0,35866.0,-0.0045,-1687.0,0.0,0.0798,0.0426,20.0,20.0,0.0,-17808.0,-103989.0,-242400.0,0.007764999999999999,1.0
2025-12-31,90859.0,85583.0,0.0163,-14101.0,0.0,0.1036,0.0663,20.0,20.0,-7664.0,-19450.0,-106136.0,-256501.0,0.009585,1.0
2026-01-01,48744.0,39067.0,0.0414,-852.0,0.0,0.0983,0.0356,20.0,20.0,-4511.0,-15143.0,-78702.0,-257353.0,0.010294999999999999,1.0
2026-01-04,117918.0,99941.0,0.0424,-29921.0,0.0,0.0654,0.0298,20.0,20.0,-14058.0,-42350.0,-105293.0,-287274.0,0.012374999999999999,1.0
2026-01-05,79102.0,69480.0,0.0253,-18445.0,0.0,0.0832,0.039,20.0,20.0,5587.0,-65006.0,-116578.0,-305719.0,0.011525,1.0
2026-01-06,79956.0,75909.0,0.0125,8958.0,1.0,0.0846,0.0386,20.0,20.0,-6494.0,-54361.0,-99765.0,-296761.0,0.013785,1.0
2026-01-07,53995.0,58163.0,-0.0199,-2990.0,0.0,0.0736,0.0425,20.0,20.0,-6467.0,-43250.0,-95980.0,-299751.0,0.01253,1.0
2026-01-08,66031.0,75512.0,-0.0282,11599.0,1.0,0.0661,0.027,20.0,20.0,3964.0,-30799.0,-75561.0,-288152.0,0.011149999999999998,1.0
2026-01-12,74257.0,83596.0,-0.0274,2150.0,1.0,0.0709,0.0299,20.0,20.0,7512.0,1272.0,-61741.0,-286002.0,0.010985,0.0
