date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,29717.0,29869.0,-0.0015,5411.0,1.0,0.1013,0.052,20.0,20.0,1984.0,5411.0,5411.0,5411.0,-0.0015,0.0
2023-01-24,23815.0,24545.0,-0.0083,5485.0,1.0,0.108,0.072,20.0,20.0,567.0,10896.0,10896.0,10896.0,-0.0049,0.0
2023-01-25,38303.0,37581.0,0.0066,-905.0,0.0,0.0965,0.065,19.0,20.0,2278.0,9991.0,9991.0,9991.0,-0.0010666666666666665,0.0
2023-01-26,26202.0,26151.0,0.0006,2091.0,1.0,0.1361,0.0911,20.0,20.0,-1504.0,12082.0,12082.0,12082.0,-0.00065,0.0
2023-01-29,19964.0,19683.0,0.0036,-521.0,0.0,0.1235,0.0507,20.0,20.0,1121.0,11561.0,11561.0,11561.0,0.0002,0.0
2023-01-30,27658.0,27958.0,-0.004,1134.0,1.0,0.0858,0.0665,20.0,20.0,637.0,7284.0,12695.0,12695.0,-0.0005,0.0
2023-01-31,19216.0,20321.0,-0.0148,7460.0,1.0,0.0846,0.0396,20.0,20.0,-667.0,9259.0,20155.0,20155.0,-0.0025428571428571427,0.0
2023-02-01,18498.0,18668.0,-0.0029,-4412.0,0.0,0.1046,0.0719,20.0,20.0,-337.0,5752.0,15743.0,15743.0,-0.0025875,0.0
2023-02-02,28814.0,29844.0,-0.0114,-6623.0,0.0,0.1109,0.0794,24.0,16.0,1142.0,-2962.0,9120.0,9120.0,-0.003566666666666667,1.0
2023-02-05,21074.0,21709.0,-0.0093,1177.0,1.0,0.1066,0.0773,20.0,20.0,269.0,-1264.0,10297.0,10297.0,-0.00414,1.0
2023-02-06,17343.0,17367.0,-0.0006,1824.0,1.0,0.1426,0.1033,20.0,20.0,826.0,-574.0,12121.0,12121.0,-0.0038181818181818182,1.0
2023-02-07,34790.0,33223.0,0.013,-11499.0,0.0,0.163,0.0922,20.0,20.0,156.0,-19533.0,622.0,622.0,-0.0024166666666666664,1.0
2023-02-08,44690.0,46180.0,-0.0083,-7648.0,0.0,0.1494,0.0858,20.0,20.0,-3491.0,-22769.0,-7026.0,-7026.0,-0.0028692307692307693,1.0
2023-02-09,38597.0,38078.0,0.0045,14610.0,1.0,0.1108,0.0587,20.0,20.0,0.0,-1536.0,7584.0,7584.0,-0.002342857142857143,1.0
2023-02-12,40764.0,41857.0,-0.0074,-17538.0,0.0,0.0988,0.0543,20.0,20.0,-5849.0,-20251.0,-9954.0,-9954.0,-0.00268,1.0
2023-02-14,30257.0,30064.0,0.0026,7082.0,1.0,0.145,0.1189,20.0,20.0,1397.0,-14993.0,-2872.0,-2872.0,-0.00235,1.0
2023-02-15,23208.0,23268.0,-0.0009,4104.0,1.0,0.1424,0.1081,20.0,20.0,1900.0,610.0,1232.0,1232.0,-0.0022647058823529412,0.0
2023-02-16,25836.0,26529.0,-0.009,7909.0,1.0,0.1111,0.0713,22.0,18.0,1288.0,16167.0,9141.0,9141.0,-0.002638888888888889,0.0
2023-02-20,22093.0,22338.0,-0.0045,-2808.0,0.0,0.1374,0.1119,26.0,14.0,786.0,-1251.0,6333.0,6333.0,-0.0027368421052631577,1.0
2023-02-22,26898.0,25539.0,0.0166,612.0,1.0,0.0952,0.0496,17.0,23.0,1398.0,16899.0,6945.0,6945.0,-0.00177,0.0
2023-02-23,21761.0,21785.0,-0.0003,-12251.0,0.0,0.1694,0.1065,20.0,20.0,-1426.0,-2434.0,-10717.0,-5306.0,-0.0017100000000000001,1.0
2023-02-26,37593.0,38146.0,-0.0042,15460.0,1.0,0.1054,0.0677,20.0,20.0,-1496.0,8922.0,-742.0,10154.0,-0.001505,0.0
2023-02-27,18791.0,18880.0,-0.0013,2479.0,1.0,0.0992,0.0584,20.0,20.0,3989.0,3492.0,2642.0,12633.0,-0.0019000000000000002,0.0
2023-02-28,15318.0,15273.0,0.0008,-5555.0,0.0,0.3041,0.1426,16.0,21.0,150.0,745.0,-5004.0,7078.0,-0.00189,0.0
2023-03-01,5353.0,5353.0,0.0,-363.0,0.0,0.2083,0.1336,13.0,15.0,119.0,-230.0,-4846.0,6715.0,-0.00207,1.0
2023-03-02,13470.0,13470.0,0.0,-6247.0,0.0,0.2271,0.1511,20.0,20.0,-1415.0,5774.0,-12227.0,468.0,-0.0018700000000000001,0.0
2023-03-05,10426.0,10426.0,0.0,2822.0,1.0,0.1016,0.0601,23.0,15.0,154.0,-6864.0,-16865.0,3290.0,-0.0011300000000000001,1.0
2023-03-07,12494.0,12471.0,0.0007,-6820.0,0.0,0.097,0.0801,18.0,22.0,-3292.0,-16163.0,-19273.0,-3530.0,-0.00095,1.0
2023-03-09,18097.0,17890.0,0.0029,-333.0,0.0,0.0948,0.0431,20.0,20.0,3126.0,-10941.0,-12983.0,-3863.0,-0.00023500000000000005,1.0
2023-03-12,13061.0,13061.0,0.0,-573.0,0.0,0.1137,0.0533,20.0,20.0,-231.0,-11151.0,-14733.0,-4436.0,0.0002299999999999999,1.0
2023-03-13,6900.0,6900.0,0.0,1906.0,1.0,0.1655,0.1097,17.0,17.0,-717.0,-2998.0,-14651.0,-2530.0,0.0002599999999999999,1.0
