date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,7219.0,7209.0,0.0004,-852.0,0.0,0.1065,0.0483,18.0,20.0,-665.0,-852.0,-852.0,-852.0,0.0004,1.0
2023-01-24,14854.0,15523.0,-0.0142,-1399.0,0.0,0.0761,0.0525,24.0,16.0,-552.0,-2251.0,-2251.0,-2251.0,-0.006900000000000001,1.0
2023-01-25,10955.0,10955.0,0.0,5339.0,1.0,0.134,0.0949,20.0,20.0,-265.0,3088.0,3088.0,3088.0,-0.004600000000000001,0.0
2023-01-26,9202.0,9202.0,0.0,-1721.0,0.0,0.1939,0.1154,19.0,12.0,734.0,1367.0,1367.0,1367.0,-0.0034500000000000004,0.0
2023-01-29,11725.0,11725.0,0.0,2113.0,1.0,0.305,0.1875,14.0,24.0,-635.0,3480.0,3480.0,3480.0,-0.0027600000000000003,0.0
2023-01-30,11715.0,11715.0,0.0,-4535.0,0.0,0.1959,0.1214,17.0,23.0,-745.0,-203.0,-1055.0,-1055.0,-0.0023000000000000004,1.0
2023-01-31,5581.0,5581.0,0.0,365.0,1.0,0.1211,0.0519,16.0,19.0,-238.0,1561.0,-690.0,-690.0,-0.0019714285714285715,0.0
2023-02-01,7418.0,7418.0,0.0,-179.0,0.0,0.1637,0.1232,16.0,19.0,591.0,-3957.0,-869.0,-869.0,-0.0017250000000000002,1.0
2023-02-02,10428.0,10428.0,0.0,2710.0,1.0,0.1622,0.092,19.0,17.0,-320.0,474.0,1841.0,1841.0,-0.0015333333333333336,0.0
2023-02-05,5328.0,5328.0,0.0,-972.0,0.0,0.0743,0.0459,22.0,12.0,-1824.0,-2611.0,869.0,869.0,-0.0013800000000000002,1.0
2023-02-06,3947.0,3947.0,0.0,-350.0,0.0,0.1352,0.0688,14.0,10.0,901.0,1574.0,519.0,519.0,-0.0012545454545454546,0.0
2023-02-07,21959.0,22102.0,-0.0017,-640.0,0.0,0.1507,0.0752,20.0,20.0,-528.0,569.0,-121.0,-121.0,-0.0012916666666666669,0.0
2023-02-08,12303.0,12353.0,-0.0014,-4165.0,0.0,0.1068,0.0725,22.0,18.0,-2273.0,-3417.0,-4286.0,-4286.0,-0.0013000000000000002,1.0
2023-02-09,6591.0,6571.0,0.0011,3355.0,1.0,0.1257,0.0794,17.0,22.0,1509.0,-2772.0,-931.0,-931.0,-0.0011285714285714287,1.0
2023-02-12,17476.0,17998.0,-0.0108,1409.0,1.0,0.078,0.0537,21.0,18.0,544.0,-391.0,478.0,478.0,-0.0017733333333333336,1.0
2023-02-14,6351.0,6351.0,0.0,2537.0,1.0,0.2612,0.1957,13.0,15.0,15.0,2496.0,3015.0,3015.0,-0.0016625000000000001,0.0
2023-02-15,5639.0,5639.0,0.0,-2009.0,0.0,0.287,0.1992,10.0,15.0,-31.0,1127.0,1006.0,1006.0,-0.0015647058823529414,0.0
2023-02-16,5651.0,5651.0,0.0,-17.0,0.0,0.509,0.2574,16.0,15.0,131.0,5275.0,989.0,989.0,-0.001477777777777778,0.0
2023-02-20,4823.0,4823.0,0.0,902.0,1.0,0.1366,0.0855,17.0,15.0,244.0,2822.0,1891.0,1891.0,-0.0014000000000000002,0.0
2023-02-22,8054.0,8054.0,0.0,2242.0,1.0,0.0933,0.0589,15.0,14.0,1074.0,3655.0,4133.0,4133.0,-0.00133,0.0
2023-02-23,6220.0,6220.0,0.0,-3045.0,0.0,0.1126,0.0813,16.0,16.0,-647.0,-1927.0,1940.0,1088.0,-0.00135,1.0
2023-02-26,6030.0,6050.0,-0.001,-983.0,0.0,0.0977,0.071,20.0,20.0,-1185.0,-901.0,2356.0,105.0,-0.00069,1.0
2023-02-27,11828.0,11928.0,-0.0031,644.0,1.0,0.103,0.0942,28.0,12.0,10.0,-240.0,-2339.0,749.0,-0.000845,1.0
2023-02-28,3997.0,3997.0,0.0,-1068.0,0.0,0.1347,0.1016,14.0,16.0,-190.0,-2210.0,-1686.0,-319.0,-0.000845,1.0
2023-03-01,3176.0,3176.0,0.0,-149.0,0.0,0.1546,0.1459,15.0,10.0,45.0,-4601.0,-3948.0,-468.0,-0.000845,1.0
2023-03-02,4148.0,4148.0,0.0,2111.0,1.0,0.1951,0.1315,12.0,14.0,461.0,555.0,2698.0,1643.0,-0.000845,0.0
2023-03-05,4697.0,4697.0,0.0,441.0,1.0,0.1374,0.0928,16.0,14.0,-45.0,1979.0,2774.0,2084.0,-0.000845,0.0
2023-03-07,3981.0,3981.0,0.0,284.0,1.0,0.2488,0.1681,11.0,12.0,380.0,1619.0,3237.0,2368.0,-0.000845,0.0
2023-03-09,3458.0,3458.0,0.0,-816.0,0.0,0.2068,0.1541,14.0,21.0,-191.0,1871.0,-289.0,1552.0,-0.000845,0.0
2023-03-12,3128.0,3128.0,0.0,741.0,1.0,0.1114,0.0686,16.0,14.0,126.0,2761.0,1424.0,2293.0,-0.000845,0.0
2023-03-13,2111.0,2111.0,0.0,640.0,1.0,0.2911,0.2254,11.0,5.0,23.0,1290.0,2414.0,2933.0,-0.000845,0.0
2023-03-14,3521.0,3521.0,0.0,-1270.0,0.0,0.1822,0.1383,10.0,12.0,305.0,-421.0,1784.0,1663.0,-0.00076,1.0
2023-03-15,3000.0,3000.0,0.0,360.0,1.0,0.1823,0.1306,13.0,13.0,338.0,-345.0,6309.0,2023.0,-0.00069,1.0
2023-03-16,3712.0,3712.0,0.0,2573.0,1.0,0.238,0.1814,10.0,8.0,502.0,3044.0,5527.0,4596.0,-0.000745,0.0
2023-03-19,3346.0,3346.0,0.0,1023.0,1.0,0.1747,0.1218,13.0,14.0,-70.0,3326.0,5141.0,5619.0,-0.00020499999999999997,0.0
2023-03-20,3276.0,3276.0,0.0,618.0,1.0,0.181,0.1267,11.0,8.0,-60.0,3304.0,3222.0,6237.0,-0.00020499999999999997,0.0
2023-03-22,2975.0,2975.0,0.0,650.0,1.0,0.1227,0.0607,14.0,7.0,27.0,5224.0,5881.0,6887.0,-0.00020499999999999997,0.0
2023-03-23,5757.0,5757.0,0.0,1065.0,1.0,0.134,0.0879,17.0,11.0,1202.0,5929.0,6963.0,7952.0,-0.00020499999999999997,0.0
2023-03-26,3545.0,3545.0,0.0,6.0,1.0,0.2389,0.1426,8.0,10.0,1368.0,3362.0,6067.0,7958.0,-0.00020499999999999997,0.0
2023-03-27,4002.0,4002.0,0.0,-806.0,0.0,0.1477,0.0768,15.0,14.0,-147.0,1533.0,3019.0,7152.0,-0.00020499999999999997,0.0
2023-03-28,3775.0,3775.0,0.0,1856.0,1.0,0.1834,0.0946,10.0,16.0,915.0,2771.0,7920.0,9008.0,-0.00020499999999999997,0.0
2023-03-29,2680.0,2680.0,0.0,-295.0,0.0,0.2979,0.2064,8.0,9.0,-490.0,1826.0,8608.0,8713.0,-0.000155,0.0
2023-03-30,4515.0,4515.0,0.0,92.0,1.0,0.2033,0.1741,17.0,9.0,-197.0,853.0,8056.0,8805.0,0.0,0.0
2023-04-02,4673.0,4673.0,0.0,1162.0,1.0,0.176,0.1136,12.0,13.0,-1120.0,2009.0,10286.0,9967.0,0.0,0.0
2023-04-03,2293.0,2293.0,0.0,315.0,1.0,0.2323,0.1888,10.0,12.0,-305.0,3130.0,10750.0,10282.0,0.0,0.0
2023-04-04,2415.0,2415.0,0.0,660.0,1.0,0.2333,0.1418,10.0,13.0,-60.0,1934.0,9299.0,10942.0,0.0,0.0
2023-04-05,2922.0,2922.0,0.0,1791.0,1.0,0.1854,0.1577,12.0,8.0,0.0,4020.0,10649.0,12733.0,0.0,0.0
2023-04-06,2691.0,2691.0,0.0,1520.0,1.0,0.0894,0.0895,22.0,9.0,40.0,5448.0,11885.0,14253.0,0.0,0.0
