date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-10-12,12434.0,10604.0,0.0717,-6090.0,0.0,0.412,0.2447,4.0,36.0,-2120.0,-6090.0,-6090.0,-6090.0,0.0717,1.0
2023-10-16,35758.0,33376.0,0.0199,-16146.0,0.0,0.1155,0.0667,20.0,20.0,-5840.0,-22236.0,-22236.0,-22236.0,0.0458,1.0
2023-10-17,11825.0,11463.0,0.008,-3256.0,0.0,0.0947,0.0546,20.0,20.0,-580.0,-25492.0,-25492.0,-25492.0,0.0332,1.0
2023-10-18,4184.0,3674.0,0.0334,-1794.0,0.0,0.1154,0.0543,16.0,23.0,-70.0,-27286.0,-27286.0,-27286.0,0.03325,1.0
2023-10-19,4760.0,4540.0,0.015,-2235.0,0.0,0.1923,0.1128,16.0,24.0,-173.0,-29521.0,-29521.0,-29521.0,0.029599999999999998,1.0
2023-10-29,9060.0,8700.0,0.0139,-2329.0,0.0,0.0893,0.0551,19.0,21.0,1430.0,-25760.0,-31850.0,-31850.0,0.02698333333333333,1.0
2023-10-30,6428.0,6168.0,0.0133,1120.0,1.0,0.1012,0.0576,19.0,21.0,1124.0,-8494.0,-30730.0,-30730.0,0.025028571428571428,1.0
2023-10-31,2835.0,2645.0,0.0199,-255.0,0.0,0.1187,0.0493,13.0,26.0,-740.0,-5493.0,-30985.0,-30985.0,0.0243875,1.0
2023-11-01,3002.0,2762.0,0.0293,858.0,1.0,0.1085,0.0587,13.0,26.0,-107.0,-2841.0,-30127.0,-30127.0,0.02493333333333333,1.0
2023-11-02,4230.0,3970.0,0.0225,540.0,1.0,0.1017,0.0587,16.0,24.0,390.0,-66.0,-29587.0,-29587.0,0.02469,1.0
2023-11-05,2940.0,2760.0,0.0236,-130.0,0.0,0.11,0.0589,13.0,27.0,100.0,2133.0,-29717.0,-29717.0,0.024590909090909094,0.0
2023-11-06,4620.0,3990.0,0.045,915.0,1.0,0.1892,0.1113,9.0,31.0,1560.0,1928.0,-28802.0,-28802.0,0.026291666666666668,0.0
2023-11-07,3570.0,3260.0,0.0296,-270.0,0.0,0.1251,0.0677,12.0,28.0,90.0,1913.0,-29072.0,-29072.0,0.026546153846153848,0.0
2023-11-08,13885.0,13145.0,0.0221,-4875.0,0.0,0.1852,0.149,17.0,23.0,-2380.0,-3820.0,-33947.0,-33947.0,0.026228571428571427,1.0
2023-11-09,4540.0,4470.0,0.0059,800.0,1.0,0.1404,0.1062,18.0,21.0,20.0,-3560.0,-33147.0,-33147.0,0.024873333333333334,1.0
2023-11-20,4692.0,4297.0,0.0303,-663.0,0.0,0.1491,0.0752,13.0,24.0,-700.0,-4093.0,-33810.0,-33810.0,0.0252125,1.0
2023-11-21,9680.0,9420.0,0.0127,-580.0,0.0,0.5166,0.3344,11.0,28.0,840.0,-5588.0,-34390.0,-34390.0,0.024476470588235294,1.0
2023-11-22,4061.0,3931.0,0.0119,-2040.0,0.0,0.1324,0.0896,18.0,21.0,-470.0,-7358.0,-36430.0,-36430.0,0.023777777777777776,1.0
2023-11-23,5760.0,5470.0,0.0163,-2652.0,0.0,0.1176,0.0642,16.0,23.0,-1873.0,-5135.0,-39082.0,-39082.0,0.02338421052631579,1.0
2023-11-26,20509.0,17251.0,0.0717,5374.0,1.0,0.1832,0.1301,10.0,30.0,3899.0,-561.0,-33708.0,-33708.0,0.0258,1.0
2023-11-27,34116.0,33198.0,0.0115,16313.0,1.0,0.3316,0.2334,19.0,20.0,-1282.0,16415.0,-11305.0,-17395.0,0.02279,0.0
2023-11-28,10892.0,10552.0,0.0114,1861.0,1.0,0.1248,0.0753,18.0,22.0,261.0,18856.0,6702.0,-15534.0,0.022365,0.0
2023-11-29,4870.0,4740.0,0.0106,-1712.0,0.0,0.1585,0.1241,18.0,21.0,-280.0,19184.0,8246.0,-17246.0,0.022494999999999998,0.0
2023-11-30,3690.0,3510.0,0.0168,-1810.0,0.0,0.2201,0.1434,14.0,25.0,-490.0,20026.0,8230.0,-19056.0,0.021665,0.0
2023-12-03,4412.0,4202.0,0.0168,-1355.0,0.0,0.1041,0.0736,18.0,21.0,220.0,13297.0,9110.0,-20411.0,0.021755,0.0
2023-12-04,13743.0,13445.0,0.0094,-180.0,0.0,0.5624,0.3233,13.0,27.0,555.0,-3196.0,11259.0,-20591.0,0.02153,1.0
2023-12-05,4300.0,4170.0,0.0131,230.0,1.0,0.1419,0.1007,15.0,24.0,-260.0,-4827.0,10369.0,-20361.0,0.021519999999999997,1.0
2023-12-06,7417.0,7157.0,0.0137,702.0,1.0,0.1997,0.1403,14.0,26.0,-910.0,-2413.0,11326.0,-19659.0,0.02121,1.0
2023-12-07,10530.0,10290.0,0.0085,-652.0,0.0,0.1625,0.1249,20.0,20.0,210.0,-1255.0,9816.0,-20311.0,0.02017,1.0
2023-12-10,3650.0,3650.0,0.0,1810.0,1.0,0.3773,0.274,7.0,7.0,-720.0,1910.0,11086.0,-18501.0,0.019045,0.0
2023-12-11,23112.0,22667.0,0.0063,4450.0,1.0,0.1079,0.0678,20.0,20.0,-4729.0,6540.0,15666.0,-14051.0,0.018179999999999998,0.0
2023-12-12,7725.0,7545.0,0.0068,-1233.0,0.0,0.1091,0.0546,20.0,20.0,205.0,5077.0,13518.0,-15284.0,0.01627,0.0
2023-12-13,14057.0,14655.0,-0.0162,3128.0,1.0,0.1091,0.0824,20.0,20.0,775.0,7503.0,16916.0,-12156.0,0.013979999999999998,0.0
2023-12-14,14645.0,14658.0,-0.0004,-345.0,0.0,0.1177,0.0846,20.0,20.0,2050.0,7810.0,21446.0,-12501.0,0.012855,0.0
2023-12-17,25237.0,28898.0,-0.0467,-11710.0,0.0,0.071,0.041,20.0,20.0,-383.0,-5710.0,8936.0,-24211.0,0.010225000000000001,1.0
2023-12-18,21670.0,21460.0,0.0036,1094.0,1.0,0.137,0.1102,20.0,20.0,-2839.0,-9066.0,10693.0,-23117.0,0.008889999999999999,1.0
2023-12-19,13188.0,12505.0,0.0211,4264.0,1.0,0.1597,0.1118,19.0,20.0,-1860.0,-3569.0,15537.0,-18853.0,0.00931,1.0
2023-12-20,17686.0,18131.0,-0.0082,1608.0,1.0,0.0865,0.0577,20.0,20.0,0.0,-5089.0,19185.0,-17245.0,0.008305,1.0
2023-12-21,24684.0,23504.0,0.0184,-9211.0,0.0,0.1542,0.1068,19.0,21.0,-600.0,-13955.0,12626.0,-26456.0,0.00841,1.0
2023-12-24,19420.0,19003.0,0.0074,1254.0,1.0,0.2076,0.1446,20.0,20.0,-2698.0,-991.0,8506.0,-25202.0,0.005195,1.0
2023-12-27,16527.0,15577.0,0.0235,-5307.0,0.0,0.1324,0.0732,15.0,25.0,-1050.0,-7392.0,-13114.0,-30509.0,0.005795,1.0
2023-12-28,10088.0,9638.0,0.0189,-4406.0,0.0,0.0929,0.0589,20.0,20.0,-100.0,-16062.0,-19381.0,-34915.0,0.00617,1.0
2024-01-01,7166.0,7096.0,0.0032,-630.0,0.0,0.1638,0.1206,20.0,20.0,-398.0,-18300.0,-18299.0,-35545.0,0.0058000000000000005,1.0
2024-01-02,7455.0,7105.0,0.0114,1255.0,1.0,0.2812,0.1179,15.0,24.0,-150.0,-7834.0,-15234.0,-34290.0,0.00553,1.0
2024-01-03,16618.0,14310.0,0.0578,-2325.0,0.0,0.299,0.2163,12.0,28.0,-1870.0,-11413.0,-16204.0,-36615.0,0.007580000000000001,1.0
2024-01-04,23372.0,22403.0,0.017,-15172.0,0.0,0.4314,0.2634,19.0,20.0,-714.0,-21278.0,-31196.0,-51787.0,0.00796,1.0
2024-01-07,12040.0,11650.0,0.0069,-1955.0,0.0,0.0829,0.0335,20.0,20.0,195.0,-18827.0,-33381.0,-53742.0,0.007650000000000001,1.0
2024-01-08,13360.0,14479.0,-0.0236,4430.0,1.0,0.0804,0.041,20.0,20.0,255.0,-13767.0,-29653.0,-49312.0,0.005785,1.0
2024-01-09,14783.0,14293.0,0.0113,2923.0,1.0,0.1206,0.0798,20.0,20.0,1558.0,-12099.0,-26078.0,-46389.0,0.005925000000000001,1.0
2024-01-10,5413.0,5080.0,0.0214,811.0,1.0,0.1203,0.0668,16.0,24.0,1040.0,-8963.0,-27077.0,-45578.0,0.0069949999999999995,1.0
