date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2025-08-20,260.0,260.0,0.0,90.0,1.0,0.855,0.375,3.0,17.0,-39.0,90.0,90.0,90.0,0.0,0.0
2025-08-21,460.0,460.0,0.0,-290.0,0.0,0.8384,0.4286,3.0,18.0,-90.0,-200.0,-200.0,-200.0,0.0,1.0
2025-08-24,500.0,500.0,0.0,-330.0,0.0,0.78,0.4037,4.0,22.0,-140.0,-530.0,-530.0,-530.0,0.0,1.0
2025-08-25,850.0,850.0,0.0,-430.0,0.0,0.9767,0.4746,2.0,28.0,-120.0,-960.0,-960.0,-960.0,0.0,1.0
2025-08-26,750.0,750.0,0.0,-350.0,0.0,0.9477,0.4867,3.0,32.0,-90.0,-1310.0,-1310.0,-1310.0,0.0,1.0
2025-08-27,2400.0,2100.0,0.0661,-1230.0,0.0,0.9591,0.5176,3.0,36.0,-410.0,-2630.0,-2540.0,-2540.0,0.011016666666666668,1.0
2025-08-28,25030.0,19290.0,0.0972,-11960.0,0.0,0.4015,0.2542,9.0,31.0,-2330.0,-14300.0,-14500.0,-14500.0,0.023328571428571428,1.0
2025-08-31,64757.0,79938.0,-0.0304,-36626.0,0.0,0.0543,0.0098,20.0,20.0,-33780.0,-50596.0,-51126.0,-51126.0,0.0166125,1.0
2025-09-01,52774.0,56030.0,-0.0117,-22322.0,0.0,0.0879,0.0381,20.0,20.0,-21134.0,-72488.0,-73448.0,-73448.0,0.013466666666666667,1.0
2025-09-02,28317.0,25438.0,0.0224,-6069.0,0.0,0.0819,0.0276,20.0,20.0,-9208.0,-78207.0,-79517.0,-79517.0,0.014360000000000001,1.0
2025-09-03,27510.0,26476.0,0.0093,-10665.0,0.0,0.0975,0.0557,20.0,20.0,-5244.0,-87642.0,-90182.0,-90182.0,0.013900000000000001,1.0
2025-09-04,23150.0,21950.0,0.0127,-10571.0,0.0,0.0711,0.0349,20.0,20.0,-4987.0,-86253.0,-100753.0,-100753.0,0.0138,1.0
2025-09-07,20757.0,20412.0,0.0038,-2101.0,0.0,0.0978,0.0446,20.0,20.0,-5047.0,-51728.0,-102854.0,-102854.0,0.013030769230769231,1.0
2025-09-08,25203.0,24650.0,0.0057,-2539.0,0.0,0.0908,0.0405,20.0,20.0,-2061.0,-31945.0,-105393.0,-105393.0,0.012507142857142857,1.0
2025-09-18,1644.0,1644.0,0.0,409.0,1.0,0.1866,0.1378,10.0,23.0,-250.0,-25467.0,-104984.0,-104984.0,0.011673333333333334,1.0
2025-09-21,21263.0,21055.0,0.0026,-1155.0,0.0,0.0878,0.0476,20.0,20.0,-1707.0,-15957.0,-106139.0,-106139.0,0.01110625,1.0
2025-09-23,20332.0,18883.0,0.0185,-390.0,0.0,0.101,0.0421,20.0,20.0,2895.0,-5776.0,-106529.0,-106529.0,0.011541176470588235,1.0
2025-09-24,23739.0,23350.0,0.0056,-9002.0,0.0,0.141,0.099,20.0,20.0,-4317.0,-12677.0,-115531.0,-115531.0,0.011211111111111111,1.0
2025-09-25,26562.0,27139.0,-0.0067,5917.0,1.0,0.0876,0.0569,20.0,20.0,1831.0,-4221.0,-109614.0,-109614.0,0.01026842105263158,1.0
2025-09-28,10938.0,10018.0,0.0232,1051.0,1.0,0.1336,0.0586,16.0,24.0,-645.0,-3579.0,-108563.0,-108563.0,0.010915,1.0
2025-10-07,20354.0,20211.0,0.0022,-13298.0,0.0,0.083,0.0514,20.0,20.0,-1457.0,-15722.0,-121951.0,-121861.0,0.011025,1.0
2025-10-08,20162.0,19696.0,0.0075,-7002.0,0.0,0.0988,0.0643,20.0,20.0,-870.0,-22334.0,-128663.0,-128863.0,0.011399999999999999,1.0
2025-10-09,15228.0,14346.0,0.0185,3700.0,1.0,0.1045,0.0713,20.0,20.0,0.0,-9632.0,-124633.0,-125163.0,0.012325,1.0
2025-10-12,20696.0,21056.0,-0.0055,1515.0,1.0,0.0811,0.0462,20.0,20.0,-183.0,-14034.0,-122688.0,-123648.0,0.01205,1.0
2025-10-13,18215.0,18335.0,-0.0023,-4650.0,0.0,0.1323,0.1071,20.0,20.0,-4983.0,-19735.0,-126988.0,-128298.0,0.011935,1.0
2025-10-14,8900.0,8760.0,0.0056,-1274.0,0.0,0.1174,0.0755,20.0,20.0,-1494.0,-7711.0,-127032.0,-129572.0,0.008909999999999998,1.0
2025-10-15,14250.0,13520.0,0.0178,1120.0,1.0,0.1103,0.0618,17.0,22.0,-1410.0,411.0,-113952.0,-128452.0,0.00494,0.0
2025-10-16,14767.0,15317.0,-0.0123,1787.0,1.0,0.0891,0.0545,20.0,20.0,-921.0,-1502.0,-75539.0,-126665.0,0.005845,1.0
2025-10-19,8022.0,7812.0,0.0091,-1830.0,0.0,0.1009,0.0657,19.0,20.0,-1040.0,-4847.0,-55047.0,-128495.0,0.006885,1.0
2025-10-26,5616.0,5606.0,0.0006,-2698.0,0.0,0.0708,0.0417,20.0,20.0,-388.0,-2895.0,-51676.0,-131193.0,0.005795,1.0
2025-10-28,14460.0,15135.0,-0.0174,-1189.0,0.0,0.0644,0.0398,20.0,20.0,0.0,-2810.0,-42200.0,-132382.0,0.00446,1.0
2025-10-29,14701.0,14235.0,0.0105,-4394.0,0.0,0.077,0.048,20.0,20.0,1377.0,-8324.0,-36023.0,-136776.0,0.00435,1.0
2025-10-30,21381.0,20064.0,0.0202,-2934.0,0.0,0.2261,0.1441,20.0,20.0,0.0,-13045.0,-36856.0,-139710.0,0.005169999999999999,1.0
2025-11-02,22845.0,24280.0,-0.0201,6279.0,1.0,0.0701,0.0365,20.0,20.0,0.0,-4936.0,-28038.0,-133431.0,0.00388,1.0
2025-11-03,23455.0,22335.0,0.0175,7500.0,1.0,0.1522,0.0996,20.0,20.0,-1464.0,5262.0,-20947.0,-125931.0,0.0047550000000000005,0.0
2025-11-04,15347.0,15451.0,-0.0025,1679.0,1.0,0.0778,0.0505,20.0,20.0,-2017.0,8130.0,-18113.0,-124252.0,0.0045,0.0
2025-11-05,13219.0,13929.0,-0.021,2650.0,1.0,0.0738,0.0518,20.0,20.0,-220.0,15174.0,-15073.0,-121602.0,0.002525,0.0
2025-11-06,10946.0,10831.0,0.0032,-926.0,0.0,0.1018,0.0708,20.0,20.0,-3177.0,17182.0,-6997.0,-122528.0,0.002405,0.0
2025-11-09,22611.0,21316.0,0.0159,463.0,1.0,0.0773,0.0491,20.0,20.0,-653.0,11366.0,-12451.0,-122065.0,0.003535,0.0
2025-11-10,15374.0,14155.0,0.0267,-2018.0,0.0,0.0788,0.0396,20.0,20.0,-1813.0,1848.0,-15520.0,-124083.0,0.00371,0.0
2025-11-11,45047.0,47205.0,-0.0158,-8304.0,0.0,0.0961,0.0682,20.0,20.0,5910.0,-8135.0,-10526.0,-132387.0,0.002810000000000001,1.0
2025-11-12,17342.0,16552.0,0.0151,-3334.0,0.0,0.0866,0.0609,20.0,20.0,-1850.0,-14119.0,-6858.0,-135721.0,0.0031900000000000006,1.0
2025-11-13,24266.0,22163.0,0.0301,-7449.0,0.0,0.1405,0.103,20.0,20.0,-6845.0,-20642.0,-18007.0,-143170.0,0.00377,1.0
2025-11-16,12408.0,12145.0,0.0065,3470.0,1.0,0.1073,0.0719,20.0,20.0,-966.0,-17635.0,-16052.0,-139700.0,0.004370000000000001,1.0
2025-11-17,18271.0,17779.0,0.0102,895.0,1.0,0.089,0.0686,20.0,20.0,170.0,-14722.0,-10507.0,-138805.0,0.004995,1.0
2025-11-18,34415.0,26016.0,0.0834,-9575.0,0.0,0.1513,0.0888,20.0,20.0,-1903.0,-15993.0,-18808.0,-148380.0,0.008885,1.0
2025-11-19,41760.0,43368.0,-0.008,2106.0,1.0,0.0811,0.0422,20.0,20.0,807.0,-10553.0,-17822.0,-146274.0,0.007595,1.0
2025-11-20,40434.0,40809.0,-0.0023,-14901.0,0.0,0.0676,0.0308,20.0,20.0,-1989.0,-18005.0,-34510.0,-161175.0,0.008095000000000001,1.0
2025-11-23,30470.0,29127.0,0.0136,3714.0,1.0,0.0633,0.038,20.0,20.0,-1539.0,-17761.0,-28966.0,-157461.0,0.008320000000000001,1.0
2025-11-24,33288.0,31902.0,0.0143,-2949.0,0.0,0.1733,0.1291,20.0,20.0,970.0,-21605.0,-29217.0,-160410.0,0.009005,1.0
2025-11-25,21425.0,21436.0,-0.0001,-6628.0,0.0,0.0991,0.057,20.0,20.0,-411.0,-18658.0,-34656.0,-167038.0,0.00987,1.0
2025-11-26,26478.0,23096.0,0.0461,-3327.0,0.0,0.0845,0.0602,20.0,20.0,873.0,-24091.0,-33589.0,-170365.0,0.01165,1.0
2025-11-27,42069.0,37107.0,0.037,13286.0,1.0,0.1472,0.103,20.0,20.0,13804.0,4096.0,-17369.0,-157079.0,0.012490000000000001,0.0
2025-11-30,44114.0,42172.0,0.0129,3129.0,1.0,0.0793,0.0422,20.0,20.0,4340.0,3511.0,-20519.0,-153950.0,0.01414,0.0
2025-12-01,33853.0,38549.0,-0.0386,-13146.0,0.0,0.0665,0.0313,20.0,20.0,-12784.0,-6686.0,-41165.0,-167096.0,0.011335000000000001,1.0
2025-12-02,46352.0,43987.0,0.0153,5825.0,1.0,0.0771,0.0484,20.0,20.0,663.0,5767.0,-37019.0,-161271.0,0.012225,0.0
2025-12-03,63516.0,63839.0,-0.0014,1570.0,1.0,0.1115,0.058,20.0,20.0,-13309.0,10664.0,-38099.0,-159701.0,0.013205,0.0
2025-12-07,49601.0,49374.0,0.0013,-1373.0,0.0,0.1165,0.0501,20.0,20.0,-4214.0,-3995.0,-38546.0,-161074.0,0.01311,1.0
2025-12-08,63562.0,53635.0,0.0486,-13594.0,0.0,0.1838,0.1233,20.0,20.0,-2900.0,-20718.0,-52603.0,-174668.0,0.014745,1.0
2025-12-09,43332.0,37848.0,0.0471,6388.0,1.0,0.1045,0.0908,20.0,20.0,0.0,-1184.0,-44197.0,-168280.0,0.015764999999999998,1.0
2025-12-10,42382.0,40882.0,0.0095,-10749.0,0.0,0.1064,0.0644,20.0,20.0,-4418.0,-17758.0,-46642.0,-179119.0,0.01703,1.0
2025-12-11,62965.0,62397.0,0.0025,-6008.0,0.0,0.0846,0.0431,20.0,20.0,1663.0,-25336.0,-49316.0,-184837.0,0.0164,1.0
2025-12-14,32592.0,30237.0,0.0138,-3876.0,0.0,0.0831,0.0274,20.0,20.0,-3302.0,-27839.0,-45743.0,-188383.0,0.015585000000000002,1.0
2025-12-15,45059.0,52538.0,-0.0537,18388.0,1.0,0.0667,0.0426,20.0,20.0,5924.0,4143.0,-30825.0,-169565.0,0.012575,0.0
2025-12-16,40624.0,42484.0,-0.0143,3975.0,1.0,0.1006,0.0734,20.0,20.0,-2780.0,1730.0,-27745.0,-165240.0,0.01135,0.0
2025-12-17,39514.0,41976.0,-0.0206,1233.0,1.0,0.1093,0.0739,20.0,20.0,-2370.0,13712.0,-16937.0,-162777.0,0.006150000000000001,0.0
2025-12-18,42936.0,48081.0,-0.0302,15291.0,1.0,0.0691,0.0307,20.0,20.0,0.0,35011.0,-3752.0,-135526.0,0.00504,0.0
2025-12-21,40297.0,43616.0,-0.0253,8180.0,1.0,0.08,0.0564,20.0,20.0,-2866.0,47067.0,19329.0,-90720.0,0.0038900000000000002,0.0
2025-12-22,24545.0,23544.0,0.013,-1333.0,0.0,0.0795,0.0542,20.0,20.0,-3131.0,27346.0,14282.0,-69731.0,0.00386,0.0
2025-12-23,21743.0,23024.0,-0.0146,2312.0,1.0,0.0709,0.0297,20.0,20.0,-485.0,25683.0,19543.0,-61350.0,0.0024149999999999996,0.0
2025-12-24,24585.0,23157.0,0.0157,-3243.0,0.0,0.1974,0.1113,20.0,20.0,-535.0,21207.0,22928.0,-53928.0,0.0032049999999999995,0.0
2025-12-28,24655.0,26132.0,-0.0182,-283.0,0.0,0.0825,0.0413,20.0,20.0,-307.0,5633.0,25972.0,-43640.0,-1.000000000000046e-05,0.0
2025-12-29,32177.0,33432.0,-0.0124,7901.0,1.0,0.1055,0.0629,20.0,20.0,-108.0,5354.0,20587.0,-33638.0,-0.0024800000000000004,0.0
2025-12-31,50578.0,54125.0,-0.0212,-2734.0,0.0,0.0753,0.0376,20.0,20.0,-4736.0,3953.0,14724.0,-33833.0,-0.0041849999999999995,0.0
2026-01-01,47329.0,42027.0,0.037,3381.0,1.0,0.0897,0.0674,20.0,20.0,2510.0,5022.0,31251.0,-30861.0,-0.00040500000000000014,0.0
2026-01-04,73614.0,67179.0,0.026,-18318.0,0.0,0.0893,0.0504,20.0,20.0,-1215.0,-10053.0,7108.0,-48024.0,0.00012999999999999974,1.0
2026-01-05,62405.0,60151.0,0.0086,-2031.0,0.0,0.0736,0.0355,20.0,20.0,0.0,-11801.0,3507.0,-49665.0,0.0006299999999999998,1.0
2026-01-06,77834.0,70055.0,0.0276,17631.0,1.0,0.1389,0.0818,20.0,20.0,-1871.0,-2071.0,22511.0,-23032.0,0.001945,1.0
2026-01-07,44582.0,50919.0,-0.0362,-1594.0,0.0,0.0626,0.0269,20.0,20.0,-3404.0,-931.0,34511.0,-30543.0,-0.002295,1.0
2026-01-08,55042.0,59741.0,-0.0239,14038.0,1.0,0.0845,0.0593,20.0,20.0,-831.0,9726.0,42161.0,-17556.0,-0.005845,0.0
2026-01-12,81392.0,75920.0,0.0179,-19853.0,0.0,0.0764,0.0374,20.0,20.0,-3564.0,8191.0,33057.0,-24111.0,-0.005425000000000001,0.0
2026-01-13,82782.0,84263.0,-0.004,-3345.0,0.0,0.0788,0.0408,20.0,20.0,5187.0,6877.0,35720.0,-20454.0,-0.005750000000000001,0.0
2026-01-14,33837.0,38745.0,-0.0444,-11262.0,0.0,0.0666,0.0392,20.0,20.0,1240.0,-22016.0,28334.0,-35416.0,-0.008660000000000001,1.0
2026-01-18,40620.0,38109.0,0.0164,-490.0,0.0,0.073,0.0332,20.0,20.0,4169.0,-20912.0,9456.0,-37421.0,-0.005155000000000001,1.0
2026-01-20,68908.0,58286.0,0.0384,23884.0,1.0,0.0835,0.0383,20.0,20.0,2627.0,-11066.0,29365.0,-8887.0,-0.0025200000000000005,1.0
2026-01-21,80126.0,78947.0,0.0037,-26239.0,0.0,0.0692,0.0369,20.0,20.0,0.0,-17452.0,1893.0,-33852.0,-0.0013050000000000002,1.0
2026-01-22,60168.0,63571.0,-0.0141,7231.0,1.0,0.0729,0.0327,20.0,20.0,3368.0,-6876.0,-6167.0,-27741.0,-0.0005000000000000002,1.0
