date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,7120.0,6720.0,0.0183,-1553.0,0.0,0.1677,0.1099,16.0,24.0,-1050.0,-1553.0,-1553.0,-1553.0,0.0183,1.0
2023-01-24,3990.0,3720.0,0.0215,10.0,1.0,0.115,0.0765,17.0,23.0,-920.0,-1543.0,-1543.0,-1543.0,0.0199,1.0
2023-01-25,7664.0,7334.0,0.0127,4527.0,1.0,0.1619,0.0775,14.0,25.0,640.0,2984.0,2984.0,2984.0,0.017499999999999998,0.0
2023-01-26,7699.0,7029.0,0.0324,-3926.0,0.0,0.2811,0.1743,9.0,31.0,-330.0,-942.0,-942.0,-942.0,0.021225,1.0
2023-01-29,19068.0,18278.0,0.019,-3885.0,0.0,0.3038,0.1708,7.0,33.0,-1474.0,-4827.0,-4827.0,-4827.0,0.02078,1.0
2023-01-30,19889.0,18589.0,0.0176,2974.0,1.0,0.2386,0.1058,12.0,28.0,7832.0,-300.0,-1853.0,-1853.0,0.02025,1.0
2023-01-31,10321.0,9651.0,0.022,-4728.0,0.0,0.214,0.1178,11.0,29.0,952.0,-5038.0,-6581.0,-6581.0,0.020499999999999997,1.0
2023-02-01,8426.0,8241.0,0.0059,2532.0,1.0,0.1044,0.0612,20.0,20.0,560.0,-7033.0,-4049.0,-4049.0,0.018675,1.0
2023-02-02,8976.0,8716.0,0.0072,-7386.0,0.0,0.2038,0.0912,13.0,27.0,-110.0,-10493.0,-11435.0,-11435.0,0.0174,1.0
2023-02-05,11660.0,11380.0,0.009,5930.0,1.0,0.2951,0.1898,13.0,27.0,-550.0,-678.0,-5505.0,-5505.0,0.01656,1.0
2023-02-06,4051.0,3931.0,0.0107,215.0,1.0,0.1638,0.0953,11.0,27.0,-80.0,-3437.0,-5290.0,-5290.0,0.016027272727272727,1.0
2023-02-07,5430.0,5350.0,0.0045,-3020.0,0.0,0.2084,0.0969,16.0,22.0,-3500.0,-1729.0,-8310.0,-8310.0,0.015066666666666666,1.0
2023-02-08,5519.0,5459.0,0.0033,-1189.0,0.0,0.1917,0.1086,16.0,23.0,-2315.0,-5450.0,-9499.0,-9499.0,0.01416153846153846,1.0
2023-02-09,27436.0,26491.0,0.0126,8777.0,1.0,0.4143,0.2224,11.0,29.0,-3048.0,10713.0,-722.0,-722.0,0.014049999999999998,0.0
2023-02-12,19123.0,18751.0,0.0064,7444.0,1.0,0.2493,0.1213,18.0,22.0,567.0,12227.0,6722.0,6722.0,0.01354,0.0
2023-02-14,13642.0,13562.0,0.0018,1257.0,1.0,0.1597,0.1045,20.0,20.0,4716.0,13269.0,7979.0,7979.0,0.01280625,0.0
2023-02-15,8817.0,8707.0,0.0047,-5083.0,0.0,0.1914,0.1322,15.0,25.0,-4599.0,11206.0,2896.0,2896.0,0.01232941176470588,0.0
2023-02-16,9622.0,9552.0,0.0017,-3228.0,0.0,0.2009,0.0842,16.0,24.0,-1296.0,9167.0,-332.0,-332.0,0.011738888888888889,0.0
2023-02-20,11291.0,11131.0,0.0056,901.0,1.0,0.3763,0.2312,13.0,27.0,1030.0,1291.0,569.0,569.0,0.011415789473684209,0.0
2023-02-22,10430.0,10350.0,0.0029,4155.0,1.0,0.2545,0.1618,12.0,28.0,4530.0,-1998.0,4724.0,4724.0,0.01099,1.0
2023-02-23,6632.0,6632.0,0.0,-2150.0,0.0,0.1312,0.1293,20.0,20.0,-270.0,-5405.0,4127.0,2574.0,0.010074999999999999,1.0
2023-02-26,4897.0,4887.0,0.0008,-1396.0,0.0,0.1653,0.1084,14.0,23.0,-7.0,-1718.0,2721.0,1178.0,0.00904,1.0
2023-02-27,8069.0,8069.0,0.0,-5131.0,0.0,0.1755,0.1245,18.0,15.0,-3079.0,-3621.0,-6937.0,-3953.0,0.008405,1.0
2023-02-28,2270.0,2270.0,0.0,-610.0,0.0,0.1566,0.1199,12.0,21.0,-30.0,-5132.0,-3621.0,-4563.0,0.006784999999999999,1.0
2023-03-01,5048.0,5048.0,0.0,-351.0,0.0,0.2417,0.1393,10.0,25.0,-285.0,-9638.0,-87.0,-4914.0,0.005835,1.0
2023-03-02,3891.0,3891.0,0.0,-1241.0,0.0,0.0974,0.0776,24.0,13.0,404.0,-8729.0,-4302.0,-6155.0,0.004954999999999999,1.0
2023-03-05,540.0,540.0,0.0,210.0,1.0,0.1372,0.0575,10.0,22.0,80.0,-7123.0,636.0,-5945.0,0.003855,1.0
2023-03-07,665.0,665.0,0.0,273.0,1.0,0.1671,0.0643,8.0,24.0,154.0,-1719.0,-1623.0,-5672.0,0.00356,1.0
2023-03-09,3350.0,3350.0,0.0,-856.0,0.0,0.1428,0.0927,14.0,17.0,-690.0,-1965.0,4907.0,-6528.0,0.0032,1.0
2023-03-12,5960.0,5960.0,0.0,2616.0,1.0,0.1927,0.1511,16.0,23.0,-500.0,1002.0,1593.0,-3912.0,0.00275,0.0
2023-03-13,980.0,980.0,0.0,585.0,1.0,0.4216,0.243,7.0,23.0,-70.0,2828.0,1963.0,-3327.0,0.002215,0.0
2023-03-14,780.0,780.0,0.0,-250.0,0.0,0.1637,0.0912,9.0,22.0,-53.0,2368.0,4733.0,-3577.0,0.0019899999999999996,0.0
2023-03-15,1259.0,1259.0,0.0,-310.0,0.0,0.1013,0.0614,15.0,17.0,-768.0,1785.0,5612.0,-3887.0,0.0018249999999999998,0.0
2023-03-16,5961.0,5961.0,0.0,1760.0,1.0,0.1677,0.1464,19.0,19.0,-1590.0,4401.0,-1405.0,-2127.0,0.001195,0.0
2023-03-19,2460.0,2460.0,0.0,-180.0,0.0,0.5036,0.3033,9.0,18.0,-2155.0,1605.0,-9029.0,-2307.0,0.0008750000000000001,0.0
2023-03-20,2210.0,2210.0,0.0,-760.0,0.0,0.2517,0.1774,10.0,26.0,-50.0,260.0,-11046.0,-3067.0,0.0007850000000000001,0.0
2023-03-22,3611.0,3611.0,0.0,-440.0,0.0,0.3685,0.2659,11.0,20.0,-931.0,70.0,-6403.0,-3507.0,0.0005499999999999999,0.0
2023-03-23,2290.0,2290.0,0.0,317.0,1.0,0.2034,0.1064,9.0,22.0,-305.0,697.0,-2858.0,-3190.0,0.00046499999999999997,0.0
2023-03-26,3120.0,3120.0,0.0,877.0,1.0,0.1826,0.1106,15.0,19.0,-20.0,-186.0,-2882.0,-2313.0,0.000185,1.0
2023-03-27,4051.0,4051.0,0.0,171.0,1.0,0.1724,0.1168,10.0,20.0,-2190.0,165.0,-6866.0,-2142.0,4e-05,0.0
2023-03-28,2676.0,2676.0,0.0,159.0,1.0,0.1453,0.1005,12.0,21.0,-50.0,1084.0,-4557.0,-1983.0,4e-05,0.0
2023-03-29,1400.0,1400.0,0.0,849.0,1.0,0.1292,0.0806,13.0,17.0,40.0,2373.0,-2312.0,-1134.0,0.0,0.0
2023-03-30,1502.0,1502.0,0.0,-234.0,0.0,0.211,0.1388,10.0,20.0,-80.0,1822.0,2585.0,-1368.0,0.0,0.0
2023-04-02,7427.0,7427.0,0.0,2190.0,1.0,0.4839,0.333,7.0,19.0,-1080.0,3135.0,5385.0,822.0,0.0,0.0
2023-04-03,426.0,426.0,0.0,-170.0,0.0,0.2959,0.1877,7.0,18.0,-111.0,2794.0,5566.0,652.0,0.0,0.0
2023-04-04,2010.0,2010.0,0.0,-440.0,0.0,0.2282,0.1592,12.0,18.0,-40.0,2195.0,6367.0,212.0,0.0,0.0
2023-04-05,3523.0,3523.0,0.0,1518.0,1.0,0.4298,0.2613,6.0,25.0,-180.0,2864.0,7675.0,1730.0,0.0,0.0
2023-04-06,2062.0,2062.0,0.0,330.0,1.0,0.2468,0.1754,9.0,25.0,-70.0,3428.0,7732.0,2060.0,0.0,0.0
2023-04-09,2598.0,2598.0,0.0,-1628.0,0.0,0.475,0.2789,7.0,20.0,-1690.0,-390.0,6960.0,432.0,0.0,1.0
2023-04-10,1160.0,1160.0,0.0,680.0,1.0,0.3371,0.1988,11.0,14.0,-200.0,460.0,5024.0,1112.0,0.0,0.0
2023-04-11,827.0,827.0,0.0,7.0,1.0,0.2167,0.1037,8.0,23.0,-140.0,907.0,4446.0,1119.0,0.0,0.0
2023-04-12,7742.0,7742.0,0.0,-970.0,0.0,0.1637,0.1002,19.0,18.0,-40.0,-1581.0,3726.0,149.0,0.0,1.0
2023-04-13,4455.0,4455.0,0.0,173.0,1.0,0.1015,0.0739,18.0,9.0,433.0,-1738.0,4209.0,322.0,0.0,1.0
2023-04-16,1380.0,1380.0,0.0,310.0,1.0,0.1758,0.0994,7.0,21.0,-460.0,200.0,2759.0,632.0,0.0,0.0
2023-04-17,1290.0,1290.0,0.0,-650.0,0.0,0.2091,0.1608,9.0,15.0,-1030.0,-1130.0,2289.0,-18.0,0.0,1.0
2023-04-18,2395.0,2395.0,0.0,-965.0,0.0,0.2233,0.1683,12.0,17.0,510.0,-2102.0,2084.0,-983.0,0.0,1.0
2023-04-19,2052.0,2052.0,0.0,-232.0,0.0,0.152,0.1134,12.0,19.0,-27.0,-1364.0,2292.0,-1215.0,0.0,1.0
