date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,6801.0,6801.0,0.0,1890.0,1.0,0.3666,0.2303,11.0,29.0,475.0,1890.0,1890.0,1890.0,0.0,0.0
2023-01-24,3845.0,3845.0,0.0,1065.0,1.0,0.1562,0.0986,14.0,23.0,-310.0,2955.0,2955.0,2955.0,0.0,0.0
2023-01-25,10734.0,10734.0,0.0,593.0,1.0,0.2054,0.1379,13.0,23.0,-1579.0,3548.0,3548.0,3548.0,0.0,0.0
2023-01-26,3324.0,3324.0,0.0,-723.0,0.0,0.1646,0.0971,12.0,18.0,936.0,2825.0,2825.0,2825.0,0.0,0.0
2023-01-29,1672.0,1672.0,0.0,430.0,1.0,0.2568,0.1561,5.0,29.0,105.0,3255.0,3255.0,3255.0,0.0,0.0
2023-01-30,4520.0,4520.0,0.0,-1860.0,0.0,0.3473,0.1978,13.0,21.0,165.0,-495.0,1395.0,1395.0,0.0,1.0
2023-01-31,2872.0,2872.0,0.0,-565.0,0.0,0.1918,0.0691,9.0,20.0,-118.0,-2125.0,830.0,830.0,0.0,1.0
2023-02-01,975.0,975.0,0.0,0.0,0.0,0.1457,0.0654,13.0,19.0,50.0,-2718.0,830.0,830.0,0.0,1.0
2023-02-02,10169.0,10169.0,0.0,-357.0,0.0,0.3552,0.2003,8.0,26.0,-726.0,-2352.0,473.0,473.0,0.0,1.0
2023-02-05,3342.0,3342.0,0.0,-334.0,0.0,0.4318,0.2339,6.0,27.0,902.0,-3116.0,139.0,139.0,0.0,1.0
2023-02-06,1080.0,1080.0,0.0,620.0,1.0,0.2686,0.1295,8.0,24.0,20.0,-636.0,759.0,759.0,0.0,1.0
2023-02-07,7661.0,7661.0,0.0,-3820.0,0.0,0.2229,0.1669,14.0,25.0,520.0,-3891.0,-3061.0,-3061.0,0.0,1.0
2023-02-08,6829.0,6829.0,0.0,-890.0,0.0,0.164,0.1334,14.0,26.0,320.0,-4781.0,-3951.0,-3951.0,0.0,1.0
2023-02-09,8446.0,8446.0,0.0,91.0,1.0,0.1963,0.1463,13.0,22.0,-444.0,-4333.0,-3860.0,-3860.0,0.0,1.0
2023-02-12,11274.0,11274.0,0.0,-4330.0,0.0,0.1504,0.127,16.0,22.0,-1150.0,-8329.0,-8190.0,-8190.0,0.0,1.0
2023-02-14,4603.0,4603.0,0.0,963.0,1.0,0.2728,0.2126,16.0,20.0,728.0,-7986.0,-7227.0,-7227.0,0.0,1.0
2023-02-15,2940.0,2940.0,0.0,1315.0,1.0,0.1437,0.1151,16.0,19.0,-230.0,-2851.0,-5912.0,-5912.0,0.0,1.0
2023-02-16,3825.0,3825.0,0.0,-2214.0,0.0,0.2323,0.1656,14.0,17.0,116.0,-4175.0,-8126.0,-8126.0,0.0,1.0
2023-02-20,2549.0,2549.0,0.0,-565.0,0.0,0.2623,0.1414,10.0,21.0,-475.0,-4831.0,-8691.0,-8691.0,0.0,1.0
2023-02-22,890.0,890.0,0.0,230.0,1.0,0.3859,0.1978,8.0,22.0,-180.0,-271.0,-8461.0,-8461.0,0.0,1.0
2023-02-23,3569.0,3569.0,0.0,134.0,1.0,0.1719,0.1127,12.0,22.0,395.0,-1100.0,-10217.0,-8327.0,0.0,1.0
2023-02-26,1450.0,1450.0,0.0,-1020.0,0.0,0.2177,0.1441,9.0,17.0,-20.0,-3435.0,-12302.0,-9347.0,0.0,1.0
2023-02-27,3126.0,3126.0,0.0,-595.0,0.0,0.2619,0.1163,7.0,20.0,-320.0,-1816.0,-13490.0,-9942.0,0.0,1.0
2023-02-28,3084.0,3084.0,0.0,-834.0,0.0,0.1392,0.0787,12.0,21.0,-160.0,-2085.0,-13601.0,-10776.0,0.0,1.0
2023-03-01,2460.0,2460.0,0.0,-470.0,0.0,0.1764,0.1278,13.0,11.0,-55.0,-2785.0,-14501.0,-11246.0,0.0,1.0
2023-03-02,3064.0,3064.0,0.0,-1259.0,0.0,0.4258,0.2202,7.0,25.0,-394.0,-4178.0,-13900.0,-12505.0,0.0,1.0
2023-03-05,4081.0,4081.0,0.0,-955.0,0.0,0.5506,0.2736,13.0,23.0,160.0,-4113.0,-14290.0,-13460.0,0.0,1.0
2023-03-07,1580.0,1580.0,0.0,680.0,1.0,0.1441,0.0897,12.0,17.0,80.0,-2838.0,-13610.0,-12780.0,0.0,1.0
2023-03-09,4118.0,4118.0,0.0,1914.0,1.0,0.1926,0.096,10.0,18.0,-220.0,-90.0,-11339.0,-10866.0,0.0,1.0
2023-03-12,1331.0,1331.0,0.0,620.0,1.0,0.1168,0.0785,15.0,17.0,20.0,1000.0,-10385.0,-10246.0,0.0,0.0
2023-03-13,1659.0,1659.0,0.0,-970.0,0.0,0.2493,0.1413,9.0,19.0,-100.0,1289.0,-11975.0,-11216.0,0.0,0.0
2023-03-14,1839.0,1839.0,0.0,201.0,1.0,0.1762,0.1054,12.0,13.0,190.0,2445.0,-7954.0,-11015.0,0.0,0.0
2023-03-15,565.0,565.0,0.0,41.0,1.0,0.1564,0.0577,8.0,17.0,-50.0,1806.0,-7023.0,-10974.0,0.0,0.0
2023-03-16,2684.0,2684.0,0.0,-344.0,0.0,0.4711,0.2468,7.0,14.0,250.0,-452.0,-7458.0,-11318.0,0.0,1.0
2023-03-19,1728.0,1728.0,0.0,380.0,1.0,0.2744,0.1936,7.0,19.0,-10.0,-692.0,-2748.0,-10938.0,0.0,1.0
2023-03-20,1766.0,1766.0,0.0,1324.0,1.0,0.4878,0.3016,10.0,18.0,-10.0,1602.0,-2387.0,-9614.0,0.0,0.0
2023-03-22,790.0,790.0,0.0,170.0,1.0,0.2027,0.133,7.0,18.0,-10.0,1571.0,-3532.0,-9444.0,0.0,0.0
2023-03-23,705.0,705.0,0.0,215.0,1.0,0.3085,0.1809,7.0,12.0,309.0,1745.0,-1103.0,-9229.0,0.0,0.0
2023-03-26,510.0,510.0,0.0,350.0,1.0,0.481,0.2787,6.0,20.0,340.0,2439.0,-188.0,-8879.0,0.0,0.0
2023-03-27,1450.0,1450.0,0.0,530.0,1.0,0.2251,0.1378,9.0,17.0,160.0,2589.0,112.0,-8349.0,0.0,0.0
