date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-07-11,20.0,20.0,0.0,20.0,1.0,0.5,0.25,2.0,1.0,0.0,20.0,20.0,20.0,0.0,0.0
2023-08-07,20.0,20.0,0.0,0.0,0.0,0.5,0.25,2.0,1.0,0.0,20.0,20.0,20.0,0.0,0.0
2023-09-24,22.0,22.0,0.0,22.0,1.0,1.0,0.5,1.0,1.0,0.0,42.0,42.0,42.0,0.0,0.0
2023-12-11,50.0,50.0,0.0,-40.0,0.0,0.68,0.4,2.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0
2023-12-12,50.0,50.0,0.0,-10.0,0.0,0.44,0.3,3.0,1.0,0.0,-8.0,-8.0,-8.0,0.0,1.0
2023-12-13,50.0,50.0,0.0,-50.0,0.0,0.28,0.2,4.0,1.0,0.0,-78.0,-58.0,-58.0,0.0,1.0
2023-12-14,50.0,50.0,0.0,-40.0,0.0,0.28,0.2,4.0,1.0,0.0,-118.0,-98.0,-98.0,0.0,1.0
2023-12-17,50.0,50.0,0.0,-30.0,0.0,0.2,0.1,5.0,1.0,0.0,-170.0,-128.0,-128.0,0.0,1.0
2023-12-18,50.0,50.0,0.0,-30.0,0.0,0.2,0.0833,5.0,1.0,0.0,-160.0,-158.0,-158.0,0.0,1.0
2023-12-19,50.0,50.0,0.0,-30.0,0.0,0.2,0.1,5.0,1.0,0.0,-180.0,-188.0,-188.0,0.0,1.0
2023-12-20,50.0,50.0,0.0,-20.0,0.0,0.28,0.2,4.0,1.0,0.0,-150.0,-208.0,-208.0,0.0,1.0
2023-12-21,50.0,50.0,0.0,-10.0,0.0,0.44,0.3,3.0,1.0,0.0,-120.0,-218.0,-218.0,0.0,1.0
2023-12-24,50.0,50.0,0.0,-30.0,0.0,0.36,0.2,3.0,1.0,0.0,-120.0,-248.0,-248.0,0.0,1.0
2023-12-27,10.0,10.0,0.0,-10.0,0.0,1.0,0.5,1.0,1.0,0.0,-100.0,-258.0,-258.0,0.0,1.0
2024-01-31,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.0,-258.0,-258.0,0.0,1.0
2024-02-12,40.0,40.0,0.0,-30.0,0.0,0.25,0.1,4.0,1.0,0.0,-80.0,-288.0,-288.0,0.0,1.0
2024-02-13,50.0,50.0,0.0,-20.0,0.0,0.2,0.1,5.0,1.0,0.0,-90.0,-308.0,-308.0,0.0,1.0
2024-02-14,50.0,50.0,0.0,0.0,0.0,0.44,0.3,3.0,1.0,0.0,-60.0,-308.0,-308.0,0.0,1.0
2024-02-15,50.0,50.0,0.0,-10.0,0.0,0.2,0.1,5.0,1.0,0.0,-60.0,-318.0,-318.0,0.0,1.0
