date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2025-11-10,0.7895,0.7895,0.0,-0.3684,0.0,0.6622,0.6316,3.0,11.0,-0.1053,-0.3684,-0.3684,-0.3684,0.0,1.0
2025-11-11,1.0,1.0,0.0,-0.5172,0.0,0.7551,0.8621,3.0,19.0,-0.2759,-0.8855999999999999,-0.8855999999999999,-0.8855999999999999,0.0,1.0
2025-11-12,1.0,1.0,0.0,-0.5769,0.0,0.8898,0.9423,3.0,30.0,-0.0385,-1.4625,-1.4625,-1.4625,0.0,1.0
2025-11-13,0.842,0.7318,0.1102,-0.3368,0.0,0.2975,0.4158,10.0,29.0,-0.1642,-1.7993000000000001,-1.7993000000000001,-1.7993000000000001,0.02755,1.0
2025-11-16,0.8203,0.6877,0.1326,0.0819,1.0,0.1598,0.2064,16.0,22.0,-0.1851,-1.7174,-1.7174,-1.7174,0.048560000000000006,1.0
2025-11-17,0.6948,0.5953,0.0995,-0.4087,0.0,0.2582,0.3243,20.0,20.0,-0.1712,-1.7576999999999998,-2.1261,-2.1261,0.05705000000000001,1.0
2025-11-18,0.506,0.4223,0.0837,-0.233,0.0,0.1095,0.1039,20.0,20.0,-0.084,-1.4735,-2.3591,-2.3591,0.06085714285714287,1.0
2025-11-19,0.5791,0.5075,0.0716,-0.1028,0.0,0.1102,0.1247,20.0,20.0,-0.0616,-0.9994000000000001,-2.4619,-2.4619,0.062200000000000005,1.0
2025-11-20,0.5435,0.651,-0.1075,0.194,1.0,0.0673,0.0806,20.0,20.0,-0.0359,-0.4686000000000001,-2.2679,-2.2679,0.04334444444444444,1.0
2025-11-23,0.5064,0.4588,0.0476,-0.1452,0.0,0.0729,0.0706,20.0,20.0,-0.1569,-0.6957000000000001,-2.4131,-2.4131,0.04377,1.0
2025-11-24,0.4724,0.434,0.0384,-0.0715,0.0,0.0723,0.0796,20.0,20.0,-0.0508,-0.3585000000000001,-2.4846,-2.4846,0.043281818181818185,1.0
2025-11-25,0.5414,0.4707,0.0707,-0.2112,0.0,0.0992,0.104,20.0,20.0,-0.1566,-0.3367000000000001,-2.6958,-2.6958,0.045566666666666665,1.0
2025-11-26,0.6121,0.6116,0.0005,0.011,1.0,0.0921,0.131,20.0,20.0,-0.1195,-0.22290000000000007,-2.6848,-2.6848,0.0421,1.0
2025-11-27,0.4556,0.4002,0.0553,-0.0827,0.0,0.1347,0.1164,20.0,20.0,-0.0471,-0.49960000000000004,-2.7675,-2.7675,0.04304285714285715,1.0
2025-11-30,0.6114,0.6342,-0.0228,-0.1918,0.0,0.074,0.0712,20.0,20.0,-0.0613,-0.5462,-2.9593,-2.9593,0.03865333333333333,1.0
2025-12-01,0.5333,0.5545,-0.0212,-0.0844,0.0,0.0723,0.081,20.0,20.0,-0.0677,-0.5591000000000002,-3.0437,-3.0437,0.0349125,1.0
2025-12-02,0.6532,0.4965,0.1567,-0.2546,0.0,0.1086,0.1378,20.0,20.0,-0.0395,-0.6025,-3.2983000000000002,-3.2983000000000002,0.0420764705882353,1.0
2025-12-03,0.5568,0.4569,0.0999,0.0556,1.0,0.1003,0.1188,20.0,20.0,0.1188,-0.5579000000000001,-3.2427,-3.2427,0.04528888888888889,1.0
2025-12-07,0.6006,0.7701,-0.1695,0.1246,1.0,0.0571,0.0612,20.0,20.0,0.0,-0.35060000000000013,-3.1181,-3.1181,0.03398421052631578,1.0
2025-12-08,0.6147,0.6177,-0.0029,0.0684,1.0,0.1778,0.2396,20.0,20.0,0.0,-0.09040000000000008,-3.0497,-3.0497,0.03214,1.0
2025-12-09,0.6316,0.5341,0.0975,-0.0087,0.0,0.0875,0.1165,20.0,20.0,-0.095,-0.014700000000000074,-2.6900000000000004,-3.0584,0.037015,1.0
