date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-08-14,200.0,200.0,0.0,0.0,0.0,0.5,0.25,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-15,100.0,100.0,0.0,100.0,1.0,1.0,0.5,1.0,1.0,100.0,100.0,100.0,100.0,0.0,0.0
2023-08-16,200.0,200.0,0.0,100.0,1.0,1.0,0.5,1.0,2.0,0.0,200.0,200.0,200.0,0.0,0.0
2023-08-17,200.0,200.0,0.0,100.0,1.0,1.0,0.5,1.0,2.0,200.0,300.0,300.0,300.0,0.0,0.0
2023-08-22,100.0,100.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,300.0,300.0,300.0,0.0,0.0
2023-08-23,6350.0,6350.0,0.0,4550.0,1.0,0.5204,0.3262,5.0,9.0,-200.0,4850.0,4850.0,4850.0,0.0,0.0
2023-08-24,2350.0,2350.0,0.0,0.0,0.0,0.4495,0.2872,4.0,10.0,-400.0,4750.0,4850.0,4850.0,0.0,0.0
2023-08-27,1250.0,1250.0,0.0,300.0,1.0,0.8528,0.3966,2.0,6.0,0.0,4950.0,5150.0,5150.0,0.0,0.0
2023-08-28,1100.0,1100.0,0.0,-200.0,0.0,0.4876,0.3182,3.0,7.0,-300.0,4650.0,4950.0,4950.0,0.0,0.0
2023-08-29,500.0,500.0,0.0,-200.0,0.0,1.0,0.5,1.0,4.0,-200.0,4450.0,4750.0,4750.0,0.0,0.0
2023-08-30,1700.0,1700.0,0.0,-700.0,0.0,0.5848,0.3529,2.0,10.0,-400.0,-800.0,4050.0,4050.0,0.0,1.0
2023-09-03,1450.0,1450.0,0.0,1150.0,1.0,1.0,0.4394,1.0,6.0,-100.0,350.0,5200.0,5200.0,0.0,0.0
2023-09-04,2500.0,2500.0,0.0,0.0,0.0,0.4656,0.26,3.0,11.0,-200.0,50.0,5200.0,5200.0,0.0,0.0
2023-09-05,500.0,500.0,0.0,-100.0,0.0,0.52,0.3,2.0,4.0,-200.0,150.0,5100.0,5100.0,0.0,0.0
2023-09-07,1300.0,1300.0,0.0,-200.0,0.0,1.0,0.5,1.0,4.0,-100.0,150.0,4900.0,4900.0,0.0,0.0
2023-09-10,1200.0,1200.0,0.0,500.0,1.0,0.5139,0.2917,2.0,6.0,-100.0,1350.0,5400.0,5400.0,0.0,0.0
2023-09-11,500.0,500.0,0.0,-500.0,0.0,1.0,0.5,1.0,2.0,-400.0,-300.0,4900.0,4900.0,0.0,1.0
2023-09-12,800.0,800.0,0.0,-600.0,0.0,1.0,0.5,1.0,6.0,-100.0,-900.0,4300.0,4300.0,0.0,1.0
2023-09-13,500.0,500.0,0.0,-200.0,0.0,1.0,0.5,1.0,3.0,0.0,-1000.0,4100.0,4100.0,0.0,1.0
2023-09-17,900.0,900.0,0.0,-700.0,0.0,1.0,0.5,1.0,4.0,-300.0,-1500.0,3400.0,3400.0,0.0,1.0
2023-09-18,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2000.0,3400.0,3400.0,0.0,1.0
2023-09-19,300.0,300.0,0.0,-200.0,0.0,1.0,0.5,1.0,3.0,0.0,-1700.0,3100.0,3200.0,0.0,1.0
2023-09-21,2000.0,2000.0,0.0,-1700.0,0.0,0.82,0.4286,2.0,4.0,-100.0,-2800.0,1300.0,1500.0,0.0,1.0
2023-09-24,950.0,950.0,0.0,500.0,1.0,0.3684,0.2381,4.0,6.0,-250.0,-2100.0,1700.0,2000.0,0.0,1.0
2023-09-25,1250.0,1250.0,0.0,300.0,1.0,0.5648,0.36,3.0,9.0,-100.0,-1100.0,2000.0,2300.0,0.0,1.0
2023-09-26,600.0,600.0,0.0,-500.0,0.0,0.5,0.2222,3.0,4.0,0.0,-1600.0,-3050.0,1800.0,0.0,1.0
2023-09-27,3210.0,3210.0,0.0,-2810.0,0.0,0.8267,0.4533,3.0,4.0,0.0,-4210.0,-5860.0,-1010.0,0.0,1.0
2023-10-01,400.0,400.0,0.0,-100.0,0.0,0.5,0.1667,2.0,3.0,-100.0,-2610.0,-6260.0,-1110.0,0.0,1.0
2023-10-02,600.0,600.0,0.0,-100.0,0.0,0.5,0.25,2.0,6.0,-100.0,-3210.0,-6160.0,-1210.0,0.0,1.0
2023-10-03,300.0,300.0,0.0,100.0,1.0,1.0,0.5,1.0,3.0,0.0,-3410.0,-5860.0,-1110.0,0.0,1.0
2023-10-04,1000.0,1000.0,0.0,-600.0,0.0,0.54,0.35,3.0,5.0,-300.0,-3510.0,-5760.0,-1710.0,0.0,1.0
2023-10-05,1100.0,1100.0,0.0,-200.0,0.0,0.3719,0.2273,3.0,6.0,-100.0,-900.0,-7110.0,-1910.0,0.0,1.0
2023-10-08,1200.0,1200.0,0.0,-1000.0,0.0,0.4583,0.2917,3.0,7.0,0.0,-1800.0,-8110.0,-2910.0,0.0,1.0
2023-10-09,500.0,500.0,0.0,100.0,1.0,0.44,0.3,3.0,3.0,300.0,-1600.0,-7910.0,-2810.0,0.0,1.0
2023-10-10,1000.0,1000.0,0.0,0.0,0.0,0.54,0.35,3.0,8.0,-300.0,-1700.0,-7710.0,-2810.0,0.0,1.0
2023-10-11,600.0,600.0,0.0,0.0,0.0,0.3889,0.25,3.0,4.0,-200.0,-1100.0,-8210.0,-2810.0,0.0,1.0
2023-10-12,600.0,600.0,0.0,-200.0,0.0,0.5,0.3333,3.0,4.0,0.0,-1100.0,-7910.0,-3010.0,0.0,1.0
2023-10-16,900.0,900.0,0.0,400.0,1.0,0.8025,0.4,2.0,6.0,-300.0,300.0,-6910.0,-2610.0,0.0,0.0
2023-10-17,400.0,400.0,0.0,300.0,1.0,1.0,0.5,1.0,4.0,0.0,500.0,-6410.0,-2310.0,0.0,0.0
2023-10-18,100.0,100.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,500.0,-5710.0,-2310.0,0.0,0.0
2023-10-19,200.0,200.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,-200.0,500.0,-5710.0,-2310.0,0.0,0.0
2023-10-29,400.0,400.0,0.0,-300.0,0.0,0.625,0.3,2.0,4.0,0.0,400.0,-5810.0,-2610.0,0.0,0.0
2023-10-30,1000.0,1000.0,0.0,500.0,1.0,0.52,0.3,2.0,7.0,0.0,500.0,-3610.0,-2110.0,0.0,0.0
2023-10-31,480.0,480.0,0.0,0.0,0.0,0.5312,0.25,2.0,2.0,-280.0,200.0,-4110.0,-2110.0,0.0,0.0
2023-11-01,300.0,300.0,0.0,-300.0,0.0,1.0,0.5,1.0,2.0,0.0,-100.0,-4710.0,-2410.0,0.0,1.0
