date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-24,240.0,240.0,0.0,75.0,1.0,1.0,0.5,1.0,4.0,0.0,75.0,75.0,75.0,0.0,0.0
2023-02-02,50.0,50.0,0.0,-50.0,0.0,1.0,0.5,1.0,2.0,0.0,25.0,25.0,25.0,0.0,0.0
2023-02-05,25.0,25.0,0.0,-25.0,0.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06,25.0,25.0,0.0,-25.0,0.0,1.0,0.5,1.0,1.0,0.0,-25.0,-25.0,-25.0,0.0,1.0
2023-02-07,25.0,25.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,-25.0,-25.0,-25.0,0.0,1.0
2023-02-08,52.0,52.0,0.0,0.0,0.0,0.5007,0.2596,2.0,2.0,0.0,-100.0,-25.0,-25.0,0.0,1.0
2023-02-12,20.0,20.0,0.0,0.0,0.0,1.0,0.2222,1.0,1.0,0.0,-50.0,-25.0,-25.0,0.0,1.0
2023-02-14,135.0,135.0,0.0,50.0,1.0,0.5062,0.2778,2.0,4.0,0.0,25.0,25.0,25.0,0.0,0.0
2023-02-15,50.0,50.0,0.0,50.0,1.0,1.0,0.5,1.0,2.0,0.0,100.0,75.0,75.0,0.0,0.0
2023-02-22,45.0,45.0,0.0,20.0,1.0,1.0,0.5,1.0,2.0,0.0,120.0,95.0,95.0,0.0,0.0
2023-02-23,795.0,795.0,0.0,199.0,1.0,0.3447,0.2195,4.0,2.0,0.0,319.0,294.0,294.0,0.0,0.0
2023-02-26,30.0,30.0,0.0,30.0,1.0,1.0,0.5,1.0,1.0,0.0,349.0,324.0,324.0,0.0,0.0
2023-02-27,25.0,25.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,299.0,324.0,324.0,0.0,0.0
2023-02-28,155.0,155.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,249.0,324.0,324.0,0.0,0.0
2023-03-05,50.0,50.0,0.0,-25.0,0.0,1.0,0.5,1.0,2.0,0.0,204.0,299.0,299.0,0.0,0.0
2023-03-07,35.0,35.0,0.0,-25.0,0.0,0.5918,0.3571,2.0,2.0,0.0,-20.0,274.0,274.0,0.0,1.0
2023-03-09,35.0,35.0,0.0,-10.0,0.0,1.0,0.5,1.0,2.0,0.0,-60.0,264.0,264.0,0.0,1.0
2023-03-13,10.0,10.0,0.0,-10.0,0.0,1.0,0.5,1.0,1.0,0.0,-70.0,254.0,254.0,0.0,1.0
2023-03-14,15.0,15.0,0.0,-15.0,0.0,1.0,0.5,1.0,1.0,0.0,-85.0,239.0,239.0,0.0,1.0
2023-03-16,25.0,25.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,-60.0,239.0,239.0,0.0,1.0
2023-03-20,90.0,90.0,0.0,40.0,1.0,0.7222,0.4167,2.0,3.0,0.0,5.0,204.0,279.0,0.0,0.0
2023-03-22,210.0,210.0,0.0,0.0,0.0,0.7902,0.4405,2.0,2.0,-25.0,15.0,254.0,279.0,0.0,0.0
2023-03-26,45.0,45.0,0.0,25.0,1.0,1.0,0.5,1.0,2.0,0.0,50.0,304.0,304.0,0.0,0.0
2023-03-27,25.0,25.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,-25.0,65.0,329.0,304.0,0.0,0.0
2023-03-28,25.0,25.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,65.0,329.0,304.0,0.0,0.0
2023-03-29,25.0,25.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,25.0,329.0,304.0,0.0,0.0
2023-03-30,175.0,175.0,0.0,150.0,1.0,0.7551,0.4286,2.0,2.0,0.0,175.0,479.0,454.0,0.0,0.0
2023-04-02,974.0,974.0,0.0,-871.0,0.0,0.8109,0.4355,2.0,1.0,0.0,-721.0,-442.0,-417.0,0.0,1.0
2023-04-03,50.0,50.0,0.0,0.0,0.0,0.5,0.25,2.0,2.0,-25.0,-721.0,-492.0,-417.0,0.0,1.0
2023-04-04,25.0,25.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,-25.0,-721.0,-512.0,-417.0,0.0,1.0
2023-04-05,25.0,25.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,-721.0,-711.0,-417.0,0.0,1.0
2023-04-09,200.0,200.0,0.0,-35.0,0.0,0.4237,0.2875,3.0,1.0,-200.0,-906.0,-776.0,-452.0,0.0,1.0
2023-04-10,25.0,25.0,0.0,25.0,1.0,1.0,0.5,1.0,1.0,0.0,-10.0,-751.0,-427.0,0.0,1.0
2023-04-11,26.0,26.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,-10.0,-751.0,-427.0,0.0,1.0
2023-04-12,25.0,25.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,-10.0,-726.0,-427.0,0.0,1.0
2023-04-16,25.0,25.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,-25.0,-10.0,-701.0,-427.0,0.0,1.0
2023-04-17,10.0,10.0,0.0,-10.0,0.0,1.0,0.1613,1.0,1.0,0.0,15.0,-701.0,-437.0,0.0,0.0
2023-04-18,465.0,465.0,0.0,290.0,1.0,0.3317,0.1852,5.0,3.0,-25.0,280.0,-401.0,-147.0,0.0,0.0
2023-04-19,30.0,30.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,280.0,-386.0,-147.0,0.0,0.0
2023-04-20,226.0,226.0,0.0,-151.0,0.0,0.8032,0.3641,2.0,4.0,-25.0,129.0,-537.0,-298.0,0.0,0.0
2023-04-23,95.0,95.0,0.0,70.0,1.0,0.3629,0.2368,3.0,2.0,0.0,199.0,-507.0,-228.0,0.0,0.0
2023-04-27,25.0,25.0,0.0,25.0,1.0,1.0,0.5,1.0,1.0,0.0,234.0,-482.0,-203.0,0.0,0.0
2023-04-30,25.0,25.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,-25.0,-56.0,-507.0,-203.0,0.0,1.0
2023-05-02,50.0,50.0,0.0,25.0,1.0,1.0,0.5,1.0,2.0,0.0,-31.0,-482.0,-178.0,0.0,1.0
2023-05-03,35.0,35.0,0.0,35.0,1.0,1.0,0.5,1.0,1.0,0.0,155.0,-447.0,-143.0,0.0,0.0
2023-05-04,125.0,125.0,0.0,25.0,1.0,0.68,0.4,2.0,4.0,-25.0,110.0,-422.0,-118.0,0.0,0.0
2023-05-08,90.0,90.0,0.0,-10.0,0.0,0.3519,0.2222,3.0,3.0,-25.0,75.0,-582.0,-128.0,0.0,0.0
2023-05-09,25.0,25.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,75.0,289.0,-128.0,0.0,0.0
2023-05-11,25.0,25.0,0.0,-25.0,0.0,1.0,0.25,1.0,1.0,0.0,25.0,264.0,-153.0,0.0,0.0
2023-05-14,125.0,125.0,0.0,25.0,1.0,0.44,0.25,3.0,4.0,0.0,15.0,289.0,-128.0,0.0,0.0
2023-05-15,10.0,10.0,0.0,10.0,1.0,1.0,0.5,1.0,1.0,10.0,0.0,299.0,-118.0,0.0,0.0
2023-05-16,315.0,315.0,0.0,-100.0,0.0,0.328,0.2286,5.0,2.0,25.0,-90.0,234.0,-218.0,0.0,1.0
2023-05-17,28.0,28.0,0.0,10.0,1.0,1.0,0.5,1.0,2.0,-18.0,-80.0,219.0,-208.0,0.0,1.0
2023-05-18,125.0,125.0,0.0,-35.0,0.0,0.68,0.4,2.0,5.0,0.0,-90.0,184.0,-243.0,0.0,1.0
2023-05-21,76.0,76.0,0.0,-14.0,0.0,0.4114,0.2632,3.0,3.0,0.0,-129.0,170.0,-257.0,0.0,1.0
2023-05-22,25.0,25.0,0.0,-25.0,0.0,1.0,0.5,1.0,1.0,0.0,-164.0,145.0,-282.0,0.0,1.0
2023-05-23,375.0,375.0,0.0,100.0,1.0,0.6089,0.3667,2.0,5.0,0.0,36.0,255.0,-182.0,0.0,0.0
2023-05-24,155.0,155.0,0.0,105.0,1.0,0.2716,0.1613,4.0,4.0,0.0,131.0,70.0,-77.0,0.0,0.0
2023-05-28,55.0,55.0,0.0,-25.0,0.0,0.5041,0.2727,2.0,2.0,0.0,141.0,45.0,-102.0,0.0,0.0
2023-05-30,160.0,160.0,0.0,0.0,0.0,0.5312,0.3125,2.0,2.0,0.0,155.0,196.0,-102.0,0.0,0.0
