date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,25.0,25.0,0.0,25.0,1.0,1.0,0.5,1.0,1.0,0.0,25.0,25.0,25.0,0.0,0.0
2023-01-24,25.0,25.0,0.0,25.0,1.0,1.0,0.5,1.0,1.0,0.0,50.0,50.0,50.0,0.0,0.0
2023-01-25,25.0,25.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,50.0,50.0,50.0,0.0,0.0
2023-01-29,75.0,75.0,0.0,25.0,1.0,0.5556,0.3333,2.0,3.0,0.0,75.0,75.0,75.0,0.0,0.0
2023-01-30,25.0,25.0,0.0,-25.0,0.0,1.0,0.5,1.0,1.0,0.0,50.0,50.0,50.0,0.0,0.0
2023-02-05,25.0,25.0,0.0,-25.0,0.0,1.0,0.5,1.0,1.0,0.0,0.0,25.0,25.0,0.0,0.0
2023-02-08,30.0,30.0,0.0,30.0,1.0,1.0,0.5,1.0,1.0,0.0,5.0,55.0,55.0,0.0,0.0
2023-02-15,25.0,25.0,0.0,25.0,1.0,1.0,0.5,1.0,1.0,0.0,30.0,80.0,80.0,0.0,0.0
2023-02-22,50.0,50.0,0.0,0.0,0.0,0.5,0.25,2.0,2.0,-25.0,5.0,80.0,80.0,0.0,0.0
2023-02-23,25.0,25.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,30.0,80.0,80.0,0.0,0.0
2023-02-26,30.0,30.0,0.0,-30.0,0.0,1.0,0.5,1.0,1.0,0.0,25.0,50.0,50.0,0.0,0.0
2023-02-27,25.0,25.0,0.0,0.0,0.0,1.0,0.25,1.0,1.0,-25.0,-5.0,50.0,50.0,0.0,1.0
2023-03-01,25.0,25.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,-25.0,-30.0,50.0,50.0,0.0,1.0
2023-03-15,10.0,10.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,-30.0,50.0,50.0,0.0,1.0
2023-03-22,25.0,25.0,0.0,25.0,1.0,1.0,0.5,1.0,1.0,0.0,-5.0,75.0,75.0,0.0,1.0
2023-03-23,25.0,25.0,0.0,-25.0,0.0,1.0,0.5,1.0,1.0,0.0,0.0,50.0,50.0,0.0,0.0
2023-03-27,40.0,40.0,0.0,0.0,0.0,1.0,0.5,1.0,2.0,0.0,0.0,50.0,50.0,0.0,0.0
2023-03-29,50.0,50.0,0.0,50.0,1.0,1.0,0.5,1.0,1.0,0.0,50.0,100.0,100.0,0.0,0.0
2023-04-06,25.0,25.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,-25.0,50.0,100.0,100.0,0.0,0.0
2023-04-09,77.0,77.0,0.0,25.0,1.0,0.5446,0.3247,2.0,3.0,0.0,50.0,125.0,125.0,0.0,0.0
2023-04-12,35.0,35.0,0.0,25.0,1.0,1.0,0.5,1.0,2.0,0.0,100.0,125.0,150.0,0.0,0.0
2023-04-13,25.0,25.0,0.0,25.0,1.0,1.0,0.3125,1.0,1.0,0.0,125.0,125.0,175.0,0.0,0.0
2023-04-16,35.0,35.0,0.0,35.0,1.0,1.0,0.5,1.0,1.0,0.0,110.0,160.0,210.0,0.0,0.0
2023-04-17,47.0,47.0,0.0,47.0,1.0,1.0,0.5,1.0,1.0,0.0,157.0,182.0,257.0,0.0,0.0
2023-04-18,58.0,58.0,0.0,58.0,1.0,1.0,0.5,1.0,1.0,0.0,190.0,265.0,315.0,0.0,0.0
2023-04-23,40.0,40.0,0.0,10.0,1.0,1.0,0.2299,1.0,2.0,0.0,175.0,300.0,325.0,0.0,0.0
2023-04-24,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,270.0,325.0,0.0,0.0
2023-04-26,17.0,17.0,0.0,0.0,0.0,1.0,0.3148,1.0,1.0,-17.0,115.0,245.0,325.0,0.0,0.0
2023-04-30,25.0,25.0,0.0,0.0,0.0,1.0,0.25,1.0,1.0,-25.0,68.0,245.0,325.0,0.0,0.0
2023-05-02,25.0,25.0,0.0,25.0,1.0,1.0,0.5,1.0,1.0,0.0,35.0,270.0,350.0,0.0,0.0
2023-05-07,25.0,25.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,25.0,300.0,350.0,0.0,0.0
2023-05-08,25.0,25.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,25.0,300.0,350.0,0.0,0.0
2023-05-15,50.0,50.0,0.0,50.0,1.0,1.0,0.5,1.0,2.0,0.0,75.0,350.0,400.0,0.0,0.0
2023-05-16,50.0,50.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,75.0,350.0,400.0,0.0,0.0
2023-05-17,85.0,85.0,0.0,-35.0,0.0,0.5156,0.2941,2.0,3.0,-25.0,15.0,290.0,365.0,0.0,0.0
2023-05-21,25.0,25.0,0.0,25.0,1.0,1.0,0.5,1.0,1.0,0.0,40.0,340.0,390.0,0.0,0.0
2023-05-22,25.0,25.0,0.0,-25.0,0.0,1.0,0.5,1.0,1.0,-25.0,15.0,315.0,365.0,0.0,0.0
2023-05-30,25.0,25.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,-35.0,265.0,365.0,0.0,1.0
2023-06-01,10.0,10.0,0.0,-10.0,0.0,1.0,0.5,1.0,1.0,0.0,-45.0,255.0,355.0,0.0,1.0
2023-06-06,60.0,60.0,0.0,-60.0,0.0,1.0,0.5,1.0,2.0,-25.0,-70.0,170.0,295.0,0.0,1.0
2023-06-08,25.0,25.0,0.0,-25.0,0.0,1.0,0.5,1.0,1.0,-25.0,-120.0,120.0,270.0,0.0,1.0
2023-06-11,100.0,100.0,0.0,-50.0,0.0,0.5,0.25,2.0,1.0,0.0,-145.0,45.0,220.0,0.0,1.0
2023-06-12,25.0,25.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,-145.0,10.0,220.0,0.0,1.0
2023-06-13,50.0,50.0,0.0,50.0,1.0,1.0,0.5,1.0,2.0,0.0,-85.0,13.0,270.0,0.0,1.0
2023-06-14,30.0,30.0,0.0,-5.0,0.0,1.0,0.2727,1.0,2.0,0.0,-30.0,-50.0,265.0,0.0,1.0
