date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,6485.0,6485.0,0.0,1083.0,1.0,0.158,0.1006,24.0,15.0,-240.0,1083.0,1083.0,1083.0,0.0,0.0
2023-01-24,4123.0,4203.0,-0.0081,929.0,1.0,0.1163,0.1025,20.0,16.0,52.0,2012.0,2012.0,2012.0,-0.00405,0.0
2023-01-25,5856.0,5540.0,0.0208,802.0,1.0,0.3016,0.173,8.0,32.0,0.0,2814.0,2814.0,2814.0,0.004233333333333333,0.0
2023-01-26,4494.0,4464.0,0.0018,-1365.0,0.0,0.2463,0.1187,13.0,25.0,-7.0,1449.0,1449.0,1449.0,0.0036249999999999998,0.0
2023-01-29,5423.0,5433.0,-0.0007,2885.0,1.0,0.2078,0.1505,20.0,20.0,-55.0,4334.0,4334.0,4334.0,0.00276,0.0
2023-01-30,2838.0,2899.0,-0.0059,1180.0,1.0,0.1387,0.0893,22.0,17.0,48.0,4431.0,5514.0,5514.0,0.0013166666666666667,0.0
2023-01-31,1575.0,1575.0,0.0,-660.0,0.0,0.1856,0.1292,15.0,19.0,-45.0,2842.0,4854.0,4854.0,0.0011285714285714287,0.0
2023-02-01,1536.0,1536.0,0.0,153.0,1.0,0.1734,0.083,12.0,20.0,-60.0,2193.0,5007.0,5007.0,0.0009875,0.0
2023-02-02,4003.0,4053.0,-0.0051,1355.0,1.0,0.159,0.117,20.0,19.0,-10.0,4913.0,6362.0,6362.0,0.00031111111111111107,0.0
2023-02-05,3096.0,3096.0,0.0,-206.0,0.0,0.1089,0.0605,17.0,23.0,-20.0,1822.0,6156.0,6156.0,0.00028,0.0
2023-02-06,2406.0,2406.0,0.0,108.0,1.0,0.3247,0.229,10.0,26.0,-20.0,750.0,6264.0,6264.0,0.0002545454545454545,0.0
2023-02-07,3441.0,3351.0,0.0066,-385.0,0.0,0.2413,0.1124,18.0,21.0,2.0,1025.0,5879.0,5879.0,0.0007833333333333333,0.0
