date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.8347,0.8262,0.0086,-0.2376,0.0,0.2389,0.2694,12.0,28.0,-0.0472,-0.2376,-0.2376,-0.2376,0.0086,1.0
2023-01-24,0.7246,0.7246,0.0,-0.3005,0.0,0.3812,0.4302,12.0,26.0,-0.0441,-0.5381,-0.5381,-0.5381,0.0043,1.0
2023-01-25,0.7634,0.7654,-0.002,0.1033,1.0,0.1766,0.2654,20.0,20.0,-0.0056,-0.4348,-0.4348,-0.4348,0.0022,1.0
2023-01-26,0.6818,0.6633,0.0185,-0.2506,0.0,0.4541,0.4509,17.0,23.0,-0.0401,-0.6854,-0.6854,-0.6854,0.006274999999999999,1.0
2023-01-29,0.7094,0.6249,0.0846,-0.0458,0.0,0.2989,0.3473,12.0,28.0,-0.0366,-0.7312,-0.7312,-0.7312,0.021939999999999998,1.0
2023-01-30,0.7224,0.6895,0.033,-0.1672,0.0,0.2064,0.2526,18.0,22.0,0.0,-0.6607999999999999,-0.8984,-0.8984,0.023783333333333333,1.0
2023-01-31,0.7409,0.7049,0.036,-0.058,0.0,0.2247,0.2181,13.0,27.0,0.1864,-0.4183,-0.9564,-0.9564,0.025528571428571428,1.0
2023-02-01,0.7965,0.7455,0.051,0.0386,1.0,0.2356,0.3232,13.0,27.0,-0.0244,-0.48300000000000004,-0.9178,-0.9178,0.0287125,1.0
2023-02-02,0.4801,0.459,0.0212,0.1371,1.0,0.1257,0.1178,20.0,20.0,0.0632,-0.0953,-0.7807,-0.7807,0.02787777777777778,1.0
2023-02-05,0.5732,0.5172,0.056,0.1682,1.0,0.1575,0.1679,16.0,24.0,0.0114,0.1187,-0.6125,-0.6125,0.030690000000000002,0.0
2023-02-06,0.6072,0.5726,0.0347,0.0601,1.0,0.3654,0.3094,13.0,26.0,-0.0068,0.346,-0.5524,-0.5524,0.031054545454545456,0.0
2023-02-07,0.5766,0.5393,0.0374,-0.0548,0.0,0.2746,0.242,15.0,25.0,-0.1105,0.34919999999999995,-0.6072,-0.6072,0.03158333333333333,0.0
2023-02-08,0.7193,0.6904,0.0289,0.0156,1.0,0.2684,0.2699,13.0,26.0,0.0514,0.3262,-0.5916,-0.5916,0.03137692307692307,0.0
2023-02-09,0.7467,0.7433,0.0034,-0.158,0.0,0.2034,0.2839,17.0,23.0,0.015,0.03109999999999999,-0.7496,-0.7496,0.029378571428571428,0.0
2023-02-12,0.5778,0.5549,0.023,0.0635,1.0,0.099,0.1052,20.0,20.0,-0.1116,-0.0736,-0.6861,-0.6861,0.028953333333333334,1.0
2023-02-14,0.5874,0.5855,0.0019,-0.3288,0.0,0.2174,0.1899,19.0,20.0,-0.0443,-0.46249999999999997,-1.0149,-1.0149,0.0272625,1.0
2023-02-15,0.7638,0.7694,-0.0056,-0.2224,0.0,0.1367,0.1954,20.0,18.0,0.0081,-0.6300999999999999,-1.2373,-1.2373,0.02532941176470588,1.0
2023-02-16,0.6576,0.6541,0.0034,0.0245,1.0,0.1352,0.1825,18.0,22.0,-0.0434,-0.6212,-1.2128,-1.2128,0.02411111111111111,1.0
2023-02-20,0.6347,0.6171,0.0176,0.0832,1.0,0.2165,0.2598,18.0,22.0,-0.0833,-0.38,-1.1296,-1.1296,0.023768421052631578,1.0
2023-02-22,0.5292,0.5292,0.0,0.0701,1.0,0.2279,0.2313,16.0,21.0,0.0464,-0.37339999999999995,-1.0595,-1.0595,0.02258,1.0
2023-02-23,0.678,0.6698,0.0082,-0.2078,0.0,0.2049,0.2436,18.0,21.0,0.0644,-0.2524,-1.0297,-1.2673,0.02256,1.0
