date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.8737,0.8189,0.0547,-0.4948,0.0,0.2473,0.3425,14.0,26.0,-0.0235,-0.4948,-0.4948,-0.4948,0.0547,1.0
2023-01-24,0.7722,0.7651,0.0071,-0.2157,0.0,0.1957,0.2431,16.0,24.0,-0.0297,-0.7105,-0.7105,-0.7105,0.0309,1.0
2023-01-25,0.7359,0.7098,0.0261,0.1616,1.0,0.1808,0.2097,17.0,23.0,0.1384,-0.5489,-0.5489,-0.5489,0.029300000000000003,1.0
2023-01-26,0.8169,0.8123,0.0046,0.4443,1.0,0.1393,0.2161,18.0,22.0,0.0173,-0.10460000000000003,-0.10460000000000003,-0.10460000000000003,0.023125,1.0
2023-01-29,0.866,0.8679,-0.0018,0.4291,1.0,0.1034,0.1416,21.0,17.0,-0.0997,0.32449999999999996,0.32449999999999996,0.32449999999999996,0.01814,0.0
2023-01-30,0.7027,0.7004,0.0023,0.397,1.0,0.1635,0.1746,18.0,21.0,0.0011,1.2163,0.7215,0.7215,0.0155,0.0
2023-01-31,0.7875,0.7764,0.0111,0.3055,1.0,0.1888,0.2207,11.0,28.0,0.1114,1.7374999999999998,1.027,1.027,0.014871428571428572,0.0
2023-02-01,0.8559,0.8559,0.0,-0.0619,0.0,0.1875,0.2765,12.0,25.0,-0.0324,1.514,0.9651,0.9651,0.0130125,0.0
2023-02-02,0.7461,0.7451,0.001,0.1603,1.0,0.2573,0.3148,14.0,25.0,-0.041,1.23,1.1254,1.1254,0.011677777777777778,0.0
2023-02-05,0.6382,0.6382,0.0,0.3106,1.0,0.446,0.4106,11.0,28.0,0.0968,1.1115,1.436,1.436,0.01051,0.0
2023-02-06,0.8913,0.8913,0.0,0.6402,1.0,0.4199,0.4543,8.0,27.0,-0.0082,1.3547,2.0762,2.0762,0.009554545454545454,0.0
2023-02-07,0.7013,0.6938,0.0075,0.1527,1.0,0.2824,0.3502,18.0,21.0,-0.1207,1.2019000000000002,2.2289,2.2289,0.009383333333333334,0.0
2023-02-08,0.6199,0.6138,0.0061,-0.0816,0.0,0.3221,0.3203,12.0,28.0,-0.118,1.1822,2.1473,2.1473,0.00913076923076923,0.0
2023-02-09,0.7911,0.7911,0.0,-0.1014,0.0,0.1074,0.1328,20.0,14.0,-0.0233,0.9205000000000001,2.0459,2.0459,0.008478571428571429,0.0
2023-02-12,0.7507,0.7489,0.0018,0.2217,1.0,0.1723,0.2293,18.0,20.0,-0.0081,0.8316000000000001,2.2676,2.2676,0.008033333333333333,0.0
2023-02-14,0.7914,0.7914,0.0,0.5245,1.0,0.1071,0.1551,24.0,13.0,0.0383,0.7159000000000001,2.7921,2.7921,0.00753125,0.0
2023-02-15,0.7251,0.7251,0.0,0.2162,1.0,0.1127,0.1624,19.0,20.0,-0.0392,0.7794000000000001,3.0082999999999998,3.0082999999999998,0.007088235294117647,0.0
2023-02-16,0.8415,0.8314,0.0101,0.2551,1.0,0.2743,0.3272,10.0,30.0,0.3272,1.1161,3.2634,3.2634,0.007255555555555555,0.0
2023-02-20,0.7596,0.7596,0.0,-0.2045,0.0,0.2292,0.2549,11.0,28.0,-0.0189,1.0130000000000001,3.0589,3.0589,0.006873684210526316,0.0
2023-02-22,0.9469,0.9469,0.0,-0.0095,0.0,0.7848,0.837,8.0,30.0,-0.0066,0.7818,3.0494,3.0494,0.006529999999999999,0.0
2023-02-23,0.7732,0.7715,0.0016,0.5863,1.0,0.1334,0.1952,19.0,21.0,0.0319,0.8436000000000001,4.1305,3.6357,0.003875,0.0
2023-02-26,0.8036,0.8394,-0.0358,0.4145,1.0,0.128,0.2417,24.0,16.0,0.0319,1.0419,4.7607,4.0502,0.0017300000000000002,0.0
2023-02-27,0.8191,0.8191,0.0,0.1544,1.0,0.1002,0.1313,15.0,19.0,0.0478,0.9412,4.7535,4.2046,0.00042500000000000003,0.0
2023-02-28,0.8748,0.8748,0.0,0.3663,1.0,0.1501,0.2076,13.0,20.0,0.0825,1.5120000000000002,4.6754999999999995,4.5709,0.00019500000000000002,0.0
2023-03-01,0.6367,0.6367,0.0,0.2993,1.0,0.1988,0.2196,10.0,23.0,0.0,1.8208000000000002,4.5457,4.8702,0.000285,0.0
