date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-06-11,0.7473,0.7473,0.0,-0.2101,0.0,0.2696,0.3457,8.0,13.0,0.0612,-0.2101,-0.2101,-0.2101,0.0,1.0
2023-06-12,0.6201,0.6201,0.0,-0.1326,0.0,0.2391,0.2616,9.0,11.0,-0.0573,-0.3427,-0.3427,-0.3427,0.0,1.0
2023-06-13,0.8458,0.8458,0.0,0.1493,1.0,0.3167,0.4478,8.0,11.0,-0.0498,-0.19340000000000002,-0.19340000000000002,-0.19340000000000002,0.0,1.0
2023-06-14,0.6467,0.6467,0.0,0.1198,1.0,0.4501,0.4192,6.0,8.0,-0.006,-0.07360000000000001,-0.07360000000000001,-0.07360000000000001,0.0,1.0
2023-06-15,0.877,0.877,0.0,0.0738,1.0,0.4585,0.5738,5.0,7.0,-0.2131,0.00019999999999999185,0.00019999999999999185,0.00019999999999999185,0.0,0.0
2023-06-18,0.9,0.9,0.0,0.2917,1.0,0.4487,0.5833,7.0,15.0,-0.25,0.502,0.2919,0.2919,0.0,0.0
2023-06-19,0.8649,0.8649,0.0,-0.5135,0.0,0.6367,0.6757,4.0,15.0,-0.1622,0.1211000000000001,-0.22159999999999996,-0.22159999999999996,0.0,0.0
2023-06-20,0.8179,0.8179,0.0,0.2902,1.0,0.8189,0.7388,4.0,19.0,-0.1583,0.26200000000000007,0.06860000000000005,0.06860000000000005,0.0,0.0
2023-06-21,0.8029,0.8029,0.0,-0.5353,0.0,0.6088,0.6083,4.0,15.0,-0.1703,-0.39309999999999995,-0.46669999999999995,-0.46669999999999995,0.0,1.0
2023-06-22,0.8154,0.8154,0.0,0.4923,1.0,1.0,0.8154,1.0,24.0,-0.1231,0.02540000000000009,0.025600000000000067,0.025600000000000067,0.0,0.0
2023-06-25,0.8702,0.8702,0.0,0.2117,1.0,0.6637,0.6889,3.0,34.0,-0.1545,-0.054599999999999926,0.23730000000000007,0.23730000000000007,0.0,1.0
2023-06-26,0.9357,0.9357,0.0,0.3635,1.0,0.9732,0.923,2.0,38.0,-0.1184,0.8224,0.6008,0.6008,0.0,0.0
2023-06-27,0.9145,0.9145,0.0,-0.4444,0.0,0.8445,0.8376,3.0,32.0,-0.1368,0.08779999999999999,0.15640000000000004,0.15640000000000004,0.0,0.0
2023-06-28,0.8614,0.8614,0.0,-0.0297,0.0,0.5001,0.4356,2.0,36.0,-0.1436,0.5934,0.12670000000000003,0.12670000000000003,0.0,0.0
2023-07-02,0.897,0.8182,0.0788,0.4424,1.0,0.9799,0.8879,2.0,37.0,-0.1212,0.5435,0.5691,0.5691,0.005253333333333333,0.0
2023-07-03,0.8553,0.7636,0.0917,0.4943,1.0,0.3865,0.4871,5.0,35.0,-0.1191,0.8261000000000001,1.0634000000000001,1.0634000000000001,0.010656249999999999,0.0
2023-07-04,0.9266,0.8159,0.1107,-0.4815,0.0,0.9775,0.916,2.0,37.0,-0.1344,-0.018899999999999972,0.5819000000000001,0.5819000000000001,0.016541176470588236,1.0
2023-07-05,0.7467,0.656,0.0907,0.0176,1.0,0.2395,0.2847,6.0,34.0,0.1008,0.44310000000000005,0.5995,0.5995,0.020661111111111113,0.0
2023-07-06,0.3457,0.3713,-0.0256,-0.1427,0.0,0.069,0.0416,20.0,20.0,-0.0487,0.33010000000000006,0.4568000000000001,0.4568000000000001,0.018226315789473684,0.0
2023-07-09,0.4624,0.4386,0.0238,0.1459,1.0,0.1128,0.1048,20.0,20.0,-0.0624,0.033600000000000046,0.6027000000000001,0.6027000000000001,0.018505,0.0
2023-07-10,0.4099,0.4212,-0.0113,-0.0588,0.0,0.073,0.053,20.0,20.0,-0.1296,-0.5195,0.7540000000000001,0.5439,0.01794,1.0
2023-07-11,0.4361,0.4232,0.0129,0.0098,1.0,0.1007,0.0803,20.0,20.0,-0.0887,-0.028199999999999958,0.8964000000000001,0.5537000000000001,0.018585,1.0
2023-07-12,0.4792,0.4482,0.031,-0.1745,0.0,0.0991,0.0987,18.0,22.0,-0.0475,-0.22029999999999994,0.5726000000000001,0.3792000000000001,0.020135,1.0
2023-07-13,0.6026,0.5636,0.039,-0.1198,0.0,0.1424,0.1624,20.0,20.0,-0.0369,-0.19739999999999996,0.33300000000000013,0.25940000000000013,0.022085,1.0
2023-07-16,0.5317,0.5335,-0.0018,-0.0411,0.0,0.0962,0.0862,20.0,20.0,0.0198,-0.3843999999999999,0.21810000000000013,0.2183000000000001,0.021995,1.0
2023-07-17,0.6719,0.5921,0.0798,0.1206,1.0,0.1078,0.1022,14.0,26.0,-0.0713,-0.20499999999999996,0.047000000000000125,0.3389000000000001,0.025985,1.0
2023-07-18,0.7288,0.7206,0.0082,-0.1844,0.0,0.172,0.2481,19.0,20.0,0.0148,-0.3992,0.3761000000000001,0.1545000000000001,0.026395000000000002,1.0
2023-07-19,0.6646,0.6398,0.0248,-0.2181,0.0,0.2594,0.2376,16.0,24.0,-0.0236,-0.44279999999999997,-0.1321999999999999,-0.06359999999999988,0.027635,1.0
2023-07-20,0.7412,0.7328,0.0084,-0.2475,0.0,0.1012,0.1173,20.0,20.0,0.1173,-0.5705,0.15560000000000013,-0.3110999999999999,0.028055000000000004,1.0
2023-07-23,0.561,0.5051,0.0558,-0.0944,0.0,0.126,0.1589,19.0,21.0,0.1589,-0.6237999999999999,-0.43109999999999987,-0.40549999999999986,0.030845,1.0
2023-07-24,0.6232,0.6037,0.0195,0.1364,1.0,0.1828,0.2388,20.0,20.0,0.2388,-0.608,-0.5063999999999999,-0.2690999999999999,0.03182,1.0
2023-07-25,0.5408,0.4973,0.0435,-0.0433,0.0,0.1621,0.1366,20.0,20.0,0.0441,-0.4669,-0.9131999999999999,-0.3123999999999999,0.033995,1.0
2023-07-26,0.5162,0.5079,0.0083,0.0202,1.0,0.1286,0.1288,20.0,20.0,0.1288,-0.2286,-0.4485999999999999,-0.2921999999999999,0.03441,1.0
2023-07-27,0.5533,0.5531,0.0002,-0.0955,0.0,0.1902,0.2158,20.0,20.0,0.0261,-0.07659999999999999,-0.5143999999999999,-0.3876999999999999,0.03442,1.0
2023-07-30,0.4135,0.4007,0.0128,0.1834,1.0,0.102,0.0792,20.0,20.0,0.0671,0.20120000000000002,-0.7733999999999999,-0.20429999999999987,0.031120000000000002,0.0
2023-07-31,0.5595,0.5731,-0.0137,-0.0158,0.0,0.0819,0.0944,20.0,20.0,-0.1224,0.04900000000000002,-1.2834999999999999,-0.22009999999999988,0.02585,0.0
