date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-12-21,1871.0,1781.0,0.0222,629.0,1.0,0.6949,0.3778,4.0,35.0,-310.0,629.0,629.0,629.0,0.0222,0.0
2023-12-24,2870.0,2570.0,0.051,1090.0,1.0,0.9931,0.4864,2.0,38.0,-580.0,1719.0,1719.0,1719.0,0.0366,0.0
2023-12-27,3260.0,2750.0,0.0749,1620.0,1.0,0.9939,0.4772,2.0,38.0,-450.0,3339.0,3339.0,3339.0,0.04936666666666667,0.0
2023-12-28,5340.0,4360.0,0.093,110.0,1.0,0.4989,0.2628,3.0,37.0,-630.0,3449.0,3449.0,3449.0,0.060274999999999995,0.0
2024-01-01,4420.0,3760.0,0.0742,1110.0,1.0,0.6183,0.3742,3.0,37.0,-640.0,4559.0,4559.0,4559.0,0.06306,0.0
2024-01-02,7675.0,6495.0,0.0818,-4505.0,0.0,1.0,0.5319,1.0,39.0,-900.0,-575.0,54.0,54.0,0.06618333333333333,1.0
2024-01-03,40700.0,36849.0,0.0249,-5163.0,0.0,0.0973,0.0442,20.0,20.0,-6320.0,-6828.0,-5109.0,-5109.0,0.06028571428571428,1.0
2024-01-04,13290.0,12920.0,0.007,-5770.0,0.0,0.1109,0.0586,20.0,20.0,-1750.0,-14218.0,-10879.0,-10879.0,0.053625,1.0
2024-01-07,16716.0,17291.0,-0.0095,7196.0,1.0,0.1315,0.0877,20.0,20.0,-763.0,-7132.0,-3683.0,-3683.0,0.04661111111111111,1.0
2024-01-08,14095.0,13410.0,0.0149,-242.0,0.0,0.1212,0.0655,20.0,20.0,-3327.0,-8484.0,-3925.0,-3925.0,0.04344,1.0
2024-01-09,10846.0,11576.0,-0.0207,4681.0,1.0,0.0761,0.0365,20.0,20.0,-1630.0,702.0,756.0,756.0,0.03760909090909091,0.0
2024-01-10,12525.0,12015.0,0.0144,-5515.0,0.0,0.1235,0.0798,18.0,21.0,-2525.0,350.0,-4759.0,-4759.0,0.035675,0.0
2024-01-11,9470.0,8660.0,0.0329,-2510.0,0.0,0.1443,0.093,19.0,21.0,230.0,3610.0,-7269.0,-7269.0,0.03546153846153846,0.0
2024-01-14,17063.0,15878.0,0.0231,760.0,1.0,0.1973,0.1282,20.0,20.0,-910.0,-2826.0,-6509.0,-6509.0,0.034578571428571424,1.0
