date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-10-01,95323.0,104745.0,-0.0175,-24992.0,0.0,0.0804,0.027,20.0,20.0,-28145.0,-24992.0,-24992.0,-24992.0,-0.0175,1.0
2023-10-02,92457.0,91187.0,0.0026,-49342.0,0.0,0.1272,0.0525,20.0,20.0,-36175.0,-74334.0,-74334.0,-74334.0,-0.007450000000000001,1.0
2023-10-03,54670.0,52430.0,0.0105,-29876.0,0.0,0.0811,0.0323,20.0,20.0,-10342.0,-104210.0,-104210.0,-104210.0,-0.0014666666666666671,1.0
2023-10-04,69160.0,67276.0,0.0066,16315.0,1.0,0.0855,0.0341,20.0,20.0,-7405.0,-87895.0,-87895.0,-87895.0,0.0005499999999999997,1.0
2023-10-05,36817.0,34837.0,0.0118,-15159.0,0.0,0.0844,0.0357,20.0,20.0,-9090.0,-103054.0,-103054.0,-103054.0,0.0027999999999999995,1.0
2023-10-08,46156.0,43741.0,0.0129,-5155.0,0.0,0.1453,0.0728,20.0,20.0,-11342.0,-83217.0,-108209.0,-108209.0,0.004483333333333333,1.0
2023-10-09,30710.0,32189.0,-0.0126,-14824.0,0.0,0.062,0.0308,20.0,20.0,-9304.0,-48699.0,-123033.0,-123033.0,0.0020428571428571427,1.0
2023-10-10,29265.0,31040.0,-0.016,-15445.0,0.0,0.0781,0.0427,20.0,20.0,-8330.0,-34268.0,-138478.0,-138478.0,-0.00021250000000000023,1.0
2023-10-11,31114.0,28631.0,0.0227,-4285.0,0.0,0.1412,0.0903,20.0,20.0,-7116.0,-54868.0,-142763.0,-142763.0,0.002333333333333333,1.0
2023-10-12,34856.0,35604.0,-0.0051,-13765.0,0.0,0.0813,0.0373,20.0,20.0,-9359.0,-53474.0,-156528.0,-156528.0,0.00159,1.0
2023-10-16,43791.0,47656.0,-0.0232,-13155.0,0.0,0.0621,0.0303,20.0,20.0,-8270.0,-61474.0,-169683.0,-169683.0,-0.0006636363636363634,1.0
2023-10-17,22830.0,22785.0,0.0006,-9405.0,0.0,0.0939,0.0661,20.0,20.0,-5450.0,-56055.0,-179088.0,-179088.0,-0.0005583333333333331,1.0
2023-10-18,27386.0,28050.0,-0.0082,-10105.0,0.0,0.0737,0.0518,20.0,20.0,-4180.0,-50715.0,-189193.0,-189193.0,-0.001146153846153846,1.0
2023-10-19,13887.0,14652.0,-0.0133,566.0,1.0,0.0616,0.0231,20.0,20.0,505.0,-45864.0,-188627.0,-188627.0,-0.002014285714285714,1.0
2023-10-29,34683.0,34422.0,0.0024,-20224.0,0.0,0.1939,0.127,20.0,20.0,-6583.0,-52323.0,-208851.0,-208851.0,-0.0017199999999999997,1.0
2023-10-30,14968.0,14936.0,0.0005,-4491.0,0.0,0.0707,0.0283,20.0,20.0,-3710.0,-43659.0,-213342.0,-213342.0,-0.0015812499999999998,1.0
2023-10-31,16405.0,15708.0,0.0131,-10727.0,0.0,0.0887,0.0526,20.0,20.0,-2100.0,-44981.0,-224069.0,-224069.0,-0.0007176470588235292,1.0
2023-11-01,20176.0,18741.0,0.0202,-1078.0,0.0,0.0995,0.0541,20.0,20.0,-989.0,-35954.0,-225147.0,-225147.0,0.0004444444444444446,1.0
2023-11-02,16484.0,16398.0,0.0014,-8705.0,0.0,0.0902,0.0535,20.0,20.0,-1370.0,-45225.0,-233852.0,-233852.0,0.0004947368421052633,1.0
2023-11-05,19265.0,19223.0,0.0006,-9722.0,0.0,0.1095,0.0659,20.0,20.0,-470.0,-34723.0,-243574.0,-243574.0,0.0005000000000000001,1.0
2023-11-06,19267.0,17317.0,0.0279,198.0,1.0,0.1254,0.069,20.0,20.0,-1870.0,-30034.0,-218384.0,-243376.0,0.0027700000000000003,1.0
2023-11-07,32993.0,27548.0,0.0526,2719.0,1.0,0.1003,0.0599,19.0,21.0,-645.0,-16588.0,-166323.0,-240657.0,0.00527,1.0
2023-11-08,28753.0,26500.0,0.0277,1683.0,1.0,0.072,0.0393,20.0,20.0,0.0,-13827.0,-134764.0,-238974.0,0.006130000000000001,1.0
