date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2026-02-17,0.7966,0.7966,0.0,-0.1907,0.0,0.3577,0.4119,9.0,18.0,0.0634,-0.1907,-0.1907,-0.1907,0.0,1.0
2026-02-22,0.7288,0.7288,0.0,-0.3996,0.0,0.1956,0.2448,10.0,18.0,-0.3192,-0.5903,-0.5903,-0.5903,0.0,1.0
2026-02-23,0.7623,0.7623,0.0,-0.0443,0.0,0.2576,0.2994,6.0,22.0,0.2034,-0.6345999999999999,-0.6345999999999999,-0.6345999999999999,0.0,1.0
2026-02-24,0.9437,0.9437,0.0,-0.8686,0.0,0.3792,0.5507,8.0,16.0,-0.7434,-1.5032,-1.5032,-1.5032,0.0,1.0
2026-02-25,0.9898,0.9898,0.0,-0.9248,0.0,0.91,0.9437,9.0,21.0,-0.0023,-2.428,-2.428,-2.428,0.0,1.0
2026-02-26,0.8684,0.8684,0.0,0.1611,1.0,0.1759,0.2132,7.0,15.0,0.1058,-2.0762,-2.2669,-2.2669,0.0,1.0
2026-03-01,0.8351,0.8351,0.0,0.0418,1.0,0.2775,0.3132,5.0,15.0,-0.0209,-1.6347999999999998,-2.2251,-2.2251,0.0,1.0
2026-03-03,0.8131,0.8131,0.0,-0.0026,0.0,0.2973,0.3901,6.0,12.0,-0.416,-1.5931,-2.2277,-2.2277,0.0,1.0
2026-03-10,0.8472,0.8472,0.0,0.1387,1.0,0.2403,0.2676,7.0,17.0,-0.2345,-0.5857999999999999,-2.089,-2.089,0.0,1.0
2026-03-11,0.7013,0.7013,0.0,-0.0691,0.0,0.1972,0.2231,9.0,13.0,-0.2019,0.2699000000000001,-2.1581,-2.1581,0.0,0.0
2026-03-12,0.5861,0.5861,0.0,0.2392,1.0,0.2503,0.1948,6.0,16.0,0.1175,0.3480000000000001,-1.9189,-1.9189,0.0,0.0
2026-03-15,0.429,0.429,0.0,-0.1446,0.0,0.4186,0.2595,6.0,22.0,-0.0408,0.16160000000000008,-2.0635,-2.0635,0.0,0.0
2026-03-16,0.9186,0.9186,0.0,-0.2327,0.0,0.3509,0.4474,6.0,11.0,-0.0694,-0.0684999999999999,-2.2962,-2.2962,0.0,1.0
2026-03-17,0.9901,0.9901,0.0,-0.0363,0.0,0.907,0.9425,5.0,18.0,-0.0108,-0.24349999999999988,-2.3325,-2.3325,0.0,1.0
