date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,1446.0,1446.0,0.0,-132.0,0.0,0.0909,0.0494,20.0,19.0,68.0,-132.0,-132.0,-132.0,0.0,1.0
2023-01-24,2304.0,2254.0,0.0091,-307.0,0.0,0.151,0.1039,19.0,21.0,-125.0,-439.0,-439.0,-439.0,0.00455,1.0
2023-01-25,731.0,731.0,0.0,-279.0,0.0,0.1627,0.0875,13.0,22.0,-38.0,-718.0,-718.0,-718.0,0.0030333333333333336,1.0
2023-01-26,1609.0,1609.0,0.0,-518.0,0.0,0.2126,0.1479,13.0,22.0,-40.0,-1236.0,-1236.0,-1236.0,0.002275,1.0
2023-01-29,667.0,667.0,0.0,53.0,1.0,0.0818,0.0468,17.0,19.0,-42.0,-1183.0,-1183.0,-1183.0,0.00182,1.0
2023-01-30,1730.0,1730.0,0.0,-60.0,0.0,0.2399,0.1808,14.0,21.0,-83.0,-1111.0,-1243.0,-1243.0,0.0015166666666666668,1.0
2023-01-31,1588.0,1588.0,0.0,-826.0,0.0,0.2116,0.1346,12.0,21.0,-220.0,-1630.0,-2069.0,-2069.0,0.0013000000000000002,1.0
2023-02-01,590.0,590.0,0.0,-174.0,0.0,0.1215,0.0892,14.0,22.0,-55.0,-1525.0,-2243.0,-2243.0,0.0011375,1.0
2023-02-02,840.0,840.0,0.0,270.0,1.0,0.2497,0.1455,14.0,19.0,-10.0,-737.0,-1973.0,-1973.0,0.001011111111111111,1.0
2023-02-05,1040.0,1040.0,0.0,30.0,1.0,0.1936,0.1094,11.0,25.0,-90.0,-760.0,-1943.0,-1943.0,0.00091,1.0
2023-02-06,928.0,928.0,0.0,-33.0,0.0,0.1631,0.1209,14.0,24.0,-130.0,-733.0,-1976.0,-1976.0,0.0008272727272727273,1.0
2023-02-07,2010.0,2010.0,0.0,-17.0,0.0,0.1481,0.1143,18.0,21.0,293.0,76.0,-1993.0,-1993.0,0.0007583333333333334,0.0
2023-02-08,768.0,768.0,0.0,97.0,1.0,0.1714,0.1255,12.0,19.0,130.0,347.0,-1896.0,-1896.0,0.0007,0.0
2023-02-09,520.0,520.0,0.0,-150.0,0.0,0.2441,0.1386,10.0,22.0,-70.0,-73.0,-2046.0,-2046.0,0.0006500000000000001,1.0
2023-02-12,584.0,584.0,0.0,-138.0,0.0,0.1243,0.0626,13.0,15.0,-30.0,-241.0,-2184.0,-2184.0,0.0006066666666666667,1.0
2023-02-14,460.0,460.0,0.0,70.0,1.0,0.1909,0.0956,9.0,18.0,0.0,-138.0,-2114.0,-2114.0,0.00056875,1.0
2023-02-15,550.0,550.0,0.0,250.0,1.0,0.2641,0.1471,11.0,17.0,-40.0,129.0,-1864.0,-1864.0,0.0005352941176470588,0.0
2023-02-16,937.0,937.0,0.0,398.0,1.0,0.1812,0.1118,12.0,21.0,-7.0,430.0,-1466.0,-1466.0,0.0005055555555555555,0.0
2023-02-20,1214.0,1214.0,0.0,377.0,1.0,0.1474,0.1029,16.0,16.0,-110.0,957.0,-1089.0,-1089.0,0.00047894736842105264,0.0
2023-02-22,1278.0,1278.0,0.0,118.0,1.0,0.1277,0.0747,16.0,23.0,240.0,1213.0,-971.0,-971.0,0.000455,0.0
2023-02-23,818.0,818.0,0.0,-232.0,0.0,0.3059,0.1974,7.0,6.0,323.0,911.0,-1071.0,-1203.0,0.000455,0.0
2023-02-26,2800.0,2871.0,-0.0072,1030.0,1.0,0.0643,0.0311,20.0,18.0,212.0,1691.0,266.0,-173.0,-0.00035999999999999997,0.0
2023-02-27,1286.0,1286.0,0.0,50.0,1.0,0.1834,0.1171,16.0,18.0,-30.0,1343.0,595.0,-123.0,-0.00035999999999999997,0.0
2023-02-28,1515.0,1515.0,0.0,1095.0,1.0,0.1436,0.1187,16.0,12.0,200.0,2061.0,2208.0,972.0,-0.00035999999999999997,0.0
2023-03-01,1480.0,1480.0,0.0,-610.0,0.0,0.0947,0.064,22.0,13.0,-380.0,1333.0,1545.0,362.0,-0.00035999999999999997,0.0
2023-03-02,680.0,680.0,0.0,-105.0,0.0,0.0833,0.0636,21.0,14.0,-10.0,1460.0,1500.0,257.0,-0.00035999999999999997,0.0
2023-03-05,643.0,643.0,0.0,-208.0,0.0,0.1419,0.0993,17.0,17.0,0.0,222.0,2118.0,49.0,-0.00035999999999999997,0.0
2023-03-07,1955.0,1965.0,-0.0017,-101.0,0.0,0.1015,0.0716,21.0,19.0,-85.0,71.0,2191.0,-52.0,-0.000445,0.0
2023-03-09,703.0,703.0,0.0,340.0,1.0,0.1505,0.0675,10.0,20.0,-25.0,-684.0,2261.0,288.0,-0.000445,1.0
2023-03-12,826.0,826.0,0.0,201.0,1.0,0.2013,0.1046,12.0,24.0,-25.0,127.0,2432.0,489.0,-0.000445,0.0
2023-03-13,2491.0,2491.0,0.0,1306.0,1.0,0.1663,0.1426,25.0,11.0,222.0,1538.0,3771.0,1795.0,-0.000445,0.0
2023-07-03,1123.0,1112.0,0.0034,-45.0,0.0,0.1082,0.0756,18.0,22.0,94.0,1701.0,3743.0,1750.0,-0.00027499999999999996,0.0
2023-07-04,7226.0,7696.0,-0.0153,-885.0,0.0,0.0658,0.0227,20.0,20.0,-283.0,917.0,2761.0,865.0,-0.00104,0.0
2023-07-05,3162.0,3210.0,-0.0042,196.0,1.0,0.1145,0.0717,20.0,20.0,-110.0,773.0,3107.0,1061.0,-0.0012499999999999998,0.0
2023-07-06,3076.0,3027.0,0.0054,-539.0,0.0,0.329,0.1837,18.0,20.0,-120.0,33.0,2706.0,522.0,-0.00098,0.0
2023-07-09,1659.0,1615.0,0.0062,-864.0,0.0,0.2225,0.0929,20.0,20.0,-72.0,-2137.0,1772.0,-342.0,-0.0006699999999999999,1.0
2023-07-10,3097.0,3020.0,0.0088,153.0,1.0,0.1014,0.0807,20.0,20.0,382.0,-1939.0,1675.0,-189.0,-0.0002299999999999999,1.0
2023-07-11,1833.0,1845.0,-0.0021,155.0,1.0,0.1369,0.0794,20.0,20.0,100.0,-899.0,1432.0,-34.0,-0.0003349999999999999,1.0
2023-07-12,5572.0,4953.0,0.0395,-1336.0,0.0,0.2768,0.1353,11.0,26.0,1006.0,-2431.0,-281.0,-1370.0,0.0016400000000000002,1.0
2023-07-13,6779.0,6264.0,0.029,-1445.0,0.0,0.5767,0.2875,15.0,25.0,0.0,-3337.0,-1844.0,-2815.0,0.0030900000000000003,1.0
2023-07-16,6792.0,6299.0,0.0329,-3530.0,0.0,0.885,0.4267,9.0,31.0,-1174.0,-6003.0,-5142.0,-6345.0,0.0047350000000000005,1.0
2023-07-17,8106.0,7675.0,0.0221,-2864.0,0.0,0.6621,0.3371,14.0,26.0,-598.0,-9020.0,-9036.0,-9209.0,0.0062,1.0
