date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.6167,0.6338,-0.0172,0.0376,1.0,0.075,0.0791,20.0,20.0,-0.109,0.0376,0.0376,0.0376,-0.0172,0.0
2023-01-24,0.8382,0.831,0.0073,-0.2523,0.0,0.4584,0.5461,13.0,27.0,-0.0079,-0.21470000000000003,-0.21470000000000003,-0.21470000000000003,-0.0049499999999999995,1.0
2023-01-25,0.7414,0.791,-0.0496,0.0621,1.0,0.095,0.1514,25.0,15.0,0.0139,-0.1526,-0.1526,-0.1526,-0.01983333333333333,1.0
2023-01-26,0.7478,0.7679,-0.0201,0.1483,1.0,0.0763,0.1001,27.0,12.0,0.0621,-0.004300000000000026,-0.004300000000000026,-0.004300000000000026,-0.0199,1.0
2023-01-29,0.7857,0.7942,-0.0085,-0.1437,0.0,0.1422,0.1987,20.0,20.0,-0.0273,-0.14800000000000002,-0.14800000000000002,-0.14800000000000002,-0.01762,1.0
2023-01-30,0.6397,0.6578,-0.018,0.1622,1.0,0.1102,0.1644,21.0,18.0,0.0431,-0.023400000000000004,0.01419999999999999,0.01419999999999999,-0.017683333333333332,1.0
2023-01-31,0.6528,0.6637,-0.011,0.1683,1.0,0.1346,0.1739,20.0,20.0,0.0483,0.3972,0.1825,0.1825,-0.01672857142857143,0.0
2023-02-01,0.6349,0.6434,-0.0084,0.2259,1.0,0.0753,0.0968,25.0,15.0,0.0417,0.561,0.4084,0.4084,-0.0156875,0.0
2023-02-02,0.8378,0.8424,-0.0046,-0.5877,0.0,0.1575,0.2175,21.0,19.0,0.0143,-0.17499999999999993,-0.17930000000000001,-0.17930000000000001,-0.014455555555555555,1.0
2023-02-05,0.6883,0.668,0.0203,-0.3283,0.0,0.1639,0.2186,20.0,20.0,-0.0088,-0.3595999999999999,-0.5076,-0.5076,-0.01098,1.0
2023-02-06,0.8452,0.8452,0.0,-0.2139,0.0,0.157,0.2395,22.0,18.0,-0.0393,-0.7356999999999999,-0.7215,-0.7215,-0.009981818181818182,1.0
2023-02-07,0.5793,0.5681,0.0112,-0.0662,0.0,0.1427,0.1797,20.0,20.0,-0.0264,-0.9702,-0.7877,-0.7877,-0.008216666666666666,1.0
2023-02-08,0.7741,0.7568,0.0173,-0.0284,0.0,0.151,0.2022,20.0,20.0,-0.0254,-1.2245,-0.8161,-0.8161,-0.006253846153846153,1.0
2023-02-09,0.679,0.6817,-0.0028,-0.1554,0.0,0.2024,0.2334,20.0,19.0,0.0226,-0.7921999999999999,-0.9715,-0.9715,-0.006007142857142857,1.0
2023-02-12,0.7854,0.8436,-0.0582,-0.4602,0.0,0.0977,0.1961,24.0,16.0,0.058,-0.9240999999999999,-1.4317,-1.4317,-0.009486666666666666,1.0
2023-02-14,0.7761,0.7754,0.0008,-0.2356,0.0,0.0979,0.1226,19.0,20.0,0.0109,-0.9458,-1.6673,-1.6673,-0.00884375,1.0
2023-02-15,0.6811,0.6928,-0.0117,-0.0055,0.0,0.0959,0.1528,23.0,17.0,0.0334,-0.8851,-1.6728,-1.6728,-0.009011764705882353,1.0
