date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,5139.0,5011.0,0.0091,558.0,1.0,0.1172,0.0707,19.0,21.0,992.0,558.0,558.0,558.0,0.0091,0.0
2023-01-24,3461.0,3392.0,0.0065,710.0,1.0,0.0896,0.0586,20.0,20.0,165.0,1268.0,1268.0,1268.0,0.0078,0.0
2023-01-25,6068.0,5935.0,0.0063,-2580.0,0.0,0.2882,0.141,19.0,21.0,-704.0,-1312.0,-1312.0,-1312.0,0.0073,1.0
2023-01-26,5221.0,5345.0,-0.0072,-249.0,0.0,0.0799,0.0499,24.0,15.0,302.0,-1561.0,-1561.0,-1561.0,0.0036750000000000003,1.0
2023-01-29,7636.0,7623.0,0.0007,1243.0,1.0,0.2312,0.1446,20.0,20.0,2103.0,-318.0,-318.0,-318.0,0.0030800000000000003,1.0
2023-01-30,9551.0,9758.0,-0.0087,1772.0,1.0,0.0749,0.0475,20.0,20.0,-571.0,896.0,1454.0,1454.0,0.0011166666666666668,0.0
2023-01-31,5213.0,5288.0,-0.0045,518.0,1.0,0.072,0.0358,20.0,20.0,-1227.0,704.0,1972.0,1972.0,0.0003142857142857145,0.0
2023-02-01,4056.0,4056.0,0.0,1038.0,1.0,0.1466,0.1038,18.0,21.0,828.0,4322.0,3010.0,3010.0,0.0002750000000000002,0.0
2023-02-02,4403.0,4387.0,0.0011,-874.0,0.0,0.1037,0.0647,20.0,20.0,237.0,3697.0,2136.0,2136.0,0.00036666666666666683,0.0
2023-02-05,6395.0,6561.0,-0.0098,1912.0,1.0,0.1422,0.1063,24.0,16.0,425.0,4366.0,4048.0,4048.0,-0.0006499999999999998,0.0
2023-02-06,3028.0,3028.0,0.0,-1163.0,0.0,0.1327,0.0831,21.0,15.0,771.0,1431.0,2885.0,2885.0,-0.0005909090909090907,0.0
2023-02-07,4605.0,4420.0,0.0125,156.0,1.0,0.0897,0.0629,19.0,21.0,262.0,1069.0,3041.0,3041.0,0.0005000000000000002,0.0
2023-02-08,3951.0,3921.0,0.0025,1536.0,1.0,0.1135,0.0876,20.0,20.0,412.0,1567.0,4577.0,4577.0,0.000653846153846154,0.0
2023-02-09,2849.0,2849.0,0.0,-506.0,0.0,0.1245,0.0926,18.0,20.0,80.0,1935.0,4071.0,4071.0,0.0006071428571428573,0.0
2023-02-12,6158.0,6235.0,-0.0037,1993.0,1.0,0.1082,0.0743,20.0,20.0,-947.0,2016.0,6064.0,6064.0,0.00032000000000000013,0.0
2023-02-14,5547.0,5711.0,-0.0106,-2503.0,0.0,0.0615,0.0409,27.0,13.0,100.0,676.0,3561.0,3561.0,-0.00036249999999999987,0.0
2023-02-15,4796.0,4956.0,-0.0119,-471.0,0.0,0.0664,0.0422,23.0,17.0,461.0,49.0,3090.0,3090.0,-0.0010411764705882353,0.0
2023-02-16,5729.0,5739.0,-0.0007,-1794.0,0.0,0.2104,0.1599,20.0,19.0,346.0,-3281.0,1296.0,1296.0,-0.0010222222222222221,1.0
2023-02-20,8832.0,8964.0,-0.0055,-3594.0,0.0,0.1406,0.1102,20.0,20.0,-77.0,-6369.0,-2298.0,-2298.0,-0.0012578947368421052,1.0
2023-02-22,9508.0,9689.0,-0.0054,3555.0,1.0,0.0724,0.0373,20.0,20.0,180.0,-4807.0,1257.0,1257.0,-0.001465,1.0
2023-02-23,11574.0,11814.0,-0.0039,1492.0,1.0,0.0953,0.0403,20.0,20.0,878.0,-812.0,2191.0,2749.0,-0.002115,1.0
2023-02-26,8458.0,8248.0,0.0057,-1566.0,0.0,0.0833,0.0385,20.0,20.0,0.0,-1907.0,-85.0,1183.0,-0.002155,1.0
2023-02-27,5196.0,5285.0,-0.0045,-1095.0,0.0,0.1028,0.0496,20.0,20.0,92.0,-1208.0,1400.0,88.0,-0.0026950000000000003,1.0
2023-02-28,4046.0,4036.0,0.0008,-1665.0,0.0,0.1238,0.0654,20.0,20.0,859.0,721.0,-16.0,-1577.0,-0.0022949999999999997,0.0
2023-03-01,4972.0,4873.0,0.0077,1103.0,1.0,0.1221,0.0738,18.0,22.0,926.0,-1731.0,-156.0,-474.0,-0.001945,1.0
