date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2025-11-06,0.9565,0.9565,0.0,-0.5435,0.0,0.8729,0.8913,2.0,26.0,-0.1087,-0.5435,-0.5435,-0.5435,0.0,1.0
2025-11-09,0.9381,0.9381,0.0,-0.4948,0.0,0.9362,0.9072,2.0,35.0,-0.1546,-1.0383,-1.0383,-1.0383,0.0,1.0
2025-11-10,0.9756,0.8628,0.1128,-0.561,0.0,0.7642,0.8476,4.0,36.0,-0.0701,-1.5993,-1.5993,-1.5993,0.0376,1.0
2025-11-11,0.3055,0.3026,0.0029,-0.0629,0.0,0.065,0.0373,20.0,20.0,-0.0503,-1.6622000000000001,-1.6622000000000001,-1.6622000000000001,0.028925,1.0
2025-11-12,0.3577,0.361,-0.0033,-0.195,0.0,0.0607,0.0419,20.0,20.0,-0.1442,-1.8572000000000002,-1.8572000000000002,-1.8572000000000002,0.02248,1.0
2025-11-13,0.4424,0.39,0.0523,-0.0972,0.0,0.1019,0.1032,20.0,20.0,-0.0576,-1.4109000000000003,-1.9544000000000001,-1.9544000000000001,0.027450000000000002,1.0
2025-11-16,0.4692,0.4614,0.0078,-0.0045,0.0,0.0811,0.0787,20.0,20.0,0.0,-0.9206000000000001,-1.9589,-1.9589,0.02464285714285714,1.0
2025-11-17,0.5535,0.5159,0.0376,-0.1383,0.0,0.1279,0.1517,20.0,20.0,-0.0631,-0.4979,-2.0972,-2.0972,0.0262625,1.0
2025-11-18,0.5448,0.4245,0.1202,0.0726,1.0,0.094,0.1046,20.0,20.0,-0.022,-0.3624,-2.0246,-2.0246,0.0367,1.0
2025-11-19,0.3988,0.3698,0.029,-0.1265,0.0,0.0642,0.0415,20.0,20.0,-0.1275,-0.2939,-2.1511,-2.1511,0.035930000000000004,1.0
