date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.8853,0.8853,0.0,0.5182,1.0,0.2111,0.2829,16.0,17.0,0.0991,0.5182,0.5182,0.5182,0.0,0.0
2023-01-24,0.9149,0.9149,0.0,0.7538,1.0,0.377,0.5115,13.0,26.0,-0.0446,1.272,1.272,1.272,0.0,0.0
2023-01-25,0.7882,0.7882,0.0,0.0357,1.0,0.4263,0.4781,19.0,21.0,0.0035,1.3077,1.3077,1.3077,0.0,0.0
2023-01-26,0.8786,0.8786,0.0,-0.3158,0.0,0.2554,0.388,23.0,15.0,-0.0153,0.9919,0.9919,0.9919,0.0,0.0
2023-01-29,0.8864,0.8864,0.0,-0.1453,0.0,0.2018,0.3038,24.0,13.0,0.0483,0.8466,0.8466,0.8466,0.0,0.0
2023-01-30,0.8697,0.8697,0.0,-0.2775,0.0,0.1817,0.3082,16.0,23.0,0.0472,0.050899999999999945,0.5690999999999999,0.5690999999999999,0.0,0.0
2023-01-31,0.7504,0.7504,0.0,0.0459,1.0,0.5734,0.5581,16.0,23.0,-0.0094,-0.657,0.615,0.615,0.0,1.0
2023-02-01,0.7579,0.7567,0.0011,-0.1808,0.0,0.396,0.4597,15.0,24.0,-0.0367,-0.8735,0.4341999999999999,0.4341999999999999,0.0001375,1.0
2023-02-02,0.8167,0.8167,0.0,-0.3682,0.0,0.2076,0.2706,19.0,20.0,-0.0111,-0.9259000000000001,0.06599999999999995,0.06599999999999995,0.00012222222222222224,1.0
2023-02-05,0.6957,0.6957,0.0,-0.0976,0.0,0.1232,0.1457,17.0,19.0,0.0957,-0.8782000000000001,-0.03160000000000006,-0.03160000000000006,0.00011,1.0
2023-02-06,0.8238,0.8238,0.0,-0.1931,0.0,0.1372,0.1755,17.0,17.0,0.0044,-0.7938000000000001,-0.22470000000000007,-0.22470000000000007,0.0001,1.0
2023-02-07,0.7312,0.741,-0.0098,0.2175,1.0,0.1318,0.1784,21.0,19.0,-0.0005,-0.6222000000000001,-0.0072000000000000675,-0.0072000000000000675,-0.000725,1.0
2023-02-08,0.6993,0.6993,0.0,0.0505,1.0,0.2618,0.3042,14.0,22.0,-0.0061,-0.39089999999999997,0.043299999999999936,0.043299999999999936,-0.0006692307692307692,1.0
2023-02-09,0.7867,0.7867,0.0,0.1606,1.0,0.5657,0.5768,11.0,28.0,-0.0162,0.13789999999999997,0.20389999999999991,0.20389999999999991,-0.0006214285714285714,0.0
2023-02-12,0.7265,0.7262,0.0003,0.1022,1.0,0.1423,0.2209,19.0,20.0,0.0184,0.3377,0.3060999999999999,0.3060999999999999,-0.00056,0.0
2023-02-14,0.8292,0.8292,0.0,0.1285,1.0,0.1966,0.2513,13.0,14.0,0.0783,0.6593,0.43459999999999993,0.43459999999999993,-0.000525,0.0
2023-02-15,0.9328,0.9328,0.0,0.6201,1.0,0.4415,0.5955,19.0,13.0,-0.0192,1.0619,1.0547,1.0547,-0.0004941176470588235,0.0
2023-02-16,0.6538,0.6538,0.0,-0.2243,0.0,0.1631,0.1909,14.0,21.0,-0.0226,0.7870999999999999,0.8303999999999998,0.8303999999999998,-0.00046666666666666666,0.0
2023-02-20,0.855,0.855,0.0,-0.1461,0.0,0.1119,0.1416,15.0,17.0,0.1182,0.4803999999999999,0.6842999999999999,0.6842999999999999,-0.0004421052631578947,0.0
2023-02-22,0.469,0.469,0.0,-0.0164,0.0,0.1849,0.1151,9.0,17.0,0.1151,0.3617999999999999,0.6678999999999998,0.6678999999999998,-0.00041999999999999996,0.0
2023-02-23,0.9156,0.9156,0.0,0.0364,1.0,0.1164,0.2224,18.0,15.0,0.0136,0.26969999999999994,0.18609999999999988,0.7042999999999998,-0.00041999999999999996,0.0
2023-02-26,0.7495,0.7495,0.0,-0.1766,0.0,0.3826,0.4531,15.0,15.0,-0.0173,-0.5270000000000001,-0.7443000000000002,0.5276999999999998,-0.00041999999999999996,1.0
