date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.8701,0.8701,0.0,-0.4406,0.0,0.4059,0.535,13.0,17.0,-0.1337,-0.4406,-0.4406,-0.4406,0.0,1.0
2023-01-24,0.916,0.916,0.0,0.0042,1.0,0.2727,0.4304,13.0,13.0,-0.021,-0.4364,-0.4364,-0.4364,0.0,1.0
2023-01-25,0.7678,0.7678,0.0,-0.1965,0.0,0.1786,0.251,11.0,27.0,-0.0069,-0.6329,-0.6329,-0.6329,0.0,1.0
2023-01-26,0.7933,0.7933,0.0,-0.1482,0.0,0.2005,0.2923,10.0,14.0,0.0504,-0.7811,-0.7811,-0.7811,0.0,1.0
2023-01-29,0.8384,0.8384,0.0,-0.1616,0.0,0.2715,0.3402,9.0,18.0,-0.2774,-0.9427,-0.9427,-0.9427,0.0,1.0
2023-01-30,0.9523,0.9523,0.0,-0.3819,0.0,0.2216,0.3854,15.0,11.0,0.1671,-0.884,-1.3246,-1.3246,0.0,1.0
2023-01-31,0.9438,0.9438,0.0,-0.8084,0.0,0.3256,0.5037,10.0,12.0,-0.1342,-1.6966,-2.133,-2.133,0.0,1.0
2023-02-01,0.8429,0.8429,0.0,0.6314,1.0,0.4368,0.5408,8.0,18.0,-0.0242,-0.8687000000000001,-1.5016,-1.5016,0.0,1.0
2023-02-02,0.9278,0.9278,0.0,-0.187,0.0,0.3155,0.4724,9.0,14.0,-0.0459,-0.9075,-1.6886,-1.6886,0.0,1.0
2023-02-05,0.8087,0.8087,0.0,-0.3565,0.0,0.1615,0.2087,11.0,9.0,-0.1652,-1.1024,-2.0451,-2.0451,0.0,1.0
2023-02-06,0.8824,0.8824,0.0,-0.4751,0.0,0.1627,0.2715,12.0,15.0,0.1448,-1.1956,-2.5202,-2.5202,0.0,1.0
2023-02-07,0.8795,0.8795,0.0,0.4954,1.0,0.1657,0.2002,11.0,26.0,-0.0143,0.10819999999999996,-2.0248,-2.0248,0.0,0.0
2023-02-08,0.7746,0.7746,0.0,0.1148,1.0,0.3225,0.39,9.0,28.0,-0.0332,-0.4084,-1.9100000000000001,-1.9100000000000001,0.0,1.0
