date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,13010.0,14132.0,-0.0302,-9934.0,0.0,0.0617,0.0458,32.0,8.0,301.0,-9934.0,-9934.0,-9934.0,-0.0302,1.0
2023-01-24,18834.0,18173.0,0.0147,7300.0,1.0,0.5916,0.32,18.0,21.0,97.0,-2634.0,-2634.0,-2634.0,-0.007750000000000001,1.0
2023-01-25,16844.0,16994.0,-0.0033,3112.0,1.0,0.2893,0.1896,22.0,18.0,3.0,478.0,478.0,478.0,-0.006266666666666667,0.0
2023-01-26,6660.0,6660.0,0.0,2953.0,1.0,0.1723,0.1336,14.0,24.0,1004.0,3431.0,3431.0,3431.0,-0.0047,0.0
2023-01-29,14086.0,13966.0,0.0031,-225.0,0.0,0.2581,0.1334,14.0,25.0,-199.0,3206.0,3206.0,3206.0,-0.0031400000000000004,0.0
2023-01-30,7543.0,7593.0,-0.0026,192.0,1.0,0.1843,0.1243,20.0,20.0,217.0,13332.0,3398.0,3398.0,-0.00305,0.0
2023-01-31,3630.0,3630.0,0.0,-2199.0,0.0,0.1742,0.1144,20.0,17.0,97.0,3833.0,1199.0,1199.0,-0.0026142857142857144,0.0
2023-02-01,4155.0,4155.0,0.0,940.0,1.0,0.0781,0.0386,23.0,13.0,29.0,1661.0,2139.0,2139.0,-0.0022875,0.0
2023-02-02,7283.0,7283.0,0.0,5029.0,1.0,0.388,0.2296,17.0,21.0,4310.0,3737.0,7168.0,7168.0,-0.002033333333333333,0.0
2023-02-05,4563.0,4563.0,0.0,174.0,1.0,0.1427,0.1238,22.0,16.0,459.0,4136.0,7342.0,7342.0,-0.00183,0.0
2023-02-06,3444.0,3444.0,0.0,-1097.0,0.0,0.0853,0.0623,21.0,13.0,331.0,2847.0,6245.0,6245.0,-0.0016636363636363637,0.0
2023-02-07,18487.0,19426.0,-0.0171,-3254.0,0.0,0.1004,0.0784,22.0,17.0,0.0,1792.0,2991.0,2991.0,-0.00295,0.0
2023-02-08,13824.0,13769.0,0.0008,2442.0,1.0,0.1722,0.0671,20.0,20.0,2193.0,3294.0,5433.0,5433.0,-0.0026615384615384613,0.0
2023-02-09,3113.0,3113.0,0.0,-1520.0,0.0,0.1189,0.0669,19.0,15.0,-31.0,-3255.0,3913.0,3913.0,-0.0024714285714285715,1.0
2023-02-12,7639.0,7859.0,-0.0101,-2421.0,0.0,0.0701,0.0458,23.0,17.0,820.0,-5850.0,1492.0,1492.0,-0.0029800000000000004,1.0
2023-02-14,2133.0,2133.0,0.0,420.0,1.0,0.1556,0.0875,14.0,13.0,-10.0,-4333.0,1912.0,1912.0,-0.0027937500000000002,1.0
2023-02-15,7268.0,7268.0,0.0,517.0,1.0,0.0869,0.0829,20.0,12.0,1349.0,-562.0,2429.0,2429.0,-0.0026294117647058827,1.0
2023-02-16,4327.0,4327.0,0.0,-702.0,0.0,0.1817,0.0943,18.0,19.0,1324.0,-3706.0,1727.0,1727.0,-0.0024833333333333335,1.0
2023-02-20,7997.0,8097.0,-0.0047,-14.0,0.0,0.0889,0.0668,23.0,17.0,530.0,-2200.0,1713.0,1713.0,-0.0026,1.0
