date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,3703.0,3709.0,-0.0006,973.0,1.0,0.1265,0.0787,20.0,20.0,-410.0,973.0,973.0,973.0,-0.0006,0.0
2023-01-24,2395.0,2395.0,0.0,870.0,1.0,0.1657,0.1062,22.0,18.0,210.0,1843.0,1843.0,1843.0,-0.0003,0.0
2023-01-25,5711.0,5711.0,0.0,708.0,1.0,0.3052,0.1661,11.0,29.0,-146.0,2551.0,2551.0,2551.0,-0.00019999999999999998,0.0
2023-01-26,2122.0,2122.0,0.0,1265.0,1.0,0.2302,0.164,17.0,18.0,17.0,3816.0,3816.0,3816.0,-0.00015,0.0
2023-01-29,2375.0,2365.0,0.0015,-571.0,0.0,0.1179,0.084,20.0,20.0,-170.0,3245.0,3245.0,3245.0,0.00018,0.0
2023-01-30,6490.0,6504.0,-0.0008,-1276.0,0.0,0.3081,0.2075,20.0,20.0,-247.0,996.0,1969.0,1969.0,1.6666666666666674e-05,0.0
2023-01-31,5109.0,5109.0,0.0,814.0,1.0,0.2377,0.168,23.0,17.0,88.0,940.0,2783.0,2783.0,1.4285714285714292e-05,0.0
2023-02-01,1470.0,1470.0,0.0,735.0,1.0,0.1309,0.1056,23.0,10.0,-26.0,967.0,3518.0,3518.0,1.2500000000000006e-05,0.0
2023-02-02,2088.0,2118.0,-0.0056,212.0,1.0,0.0826,0.0725,23.0,16.0,-11.0,-86.0,3730.0,3730.0,-0.0006111111111111111,1.0
2023-02-05,2175.0,2232.0,-0.0091,1264.0,1.0,0.0995,0.0823,24.0,15.0,133.0,1749.0,4994.0,4994.0,-0.00146,0.0
2023-02-06,968.0,968.0,0.0,268.0,1.0,0.0824,0.0725,19.0,13.0,-74.0,3293.0,5262.0,5262.0,-0.0013272727272727273,0.0
2023-02-07,2093.0,2093.0,0.0,21.0,1.0,0.1336,0.0851,19.0,21.0,-176.0,2500.0,5283.0,5283.0,-0.0012166666666666667,0.0
2023-02-08,2110.0,2110.0,0.0,750.0,1.0,0.1241,0.0841,21.0,16.0,73.0,2515.0,6033.0,6033.0,-0.001123076923076923,0.0
2023-02-09,811.0,811.0,0.0,-124.0,0.0,0.1413,0.102,15.0,14.0,225.0,2179.0,5909.0,5909.0,-0.001042857142857143,0.0
2023-02-12,3111.0,3138.0,-0.0027,-345.0,0.0,0.1134,0.0607,22.0,17.0,-102.0,570.0,5564.0,5564.0,-0.0011533333333333333,0.0
2023-02-14,2333.0,2375.0,-0.0061,-262.0,0.0,0.0863,0.046,20.0,20.0,20.0,40.0,5302.0,5302.0,-0.0014625,0.0
2023-02-15,1259.0,1259.0,0.0,399.0,1.0,0.0765,0.0581,19.0,14.0,0.0,418.0,5701.0,5701.0,-0.001376470588235294,0.0
2023-02-16,2322.0,2332.0,-0.0013,362.0,1.0,0.1409,0.0859,24.0,15.0,-441.0,30.0,6063.0,6063.0,-0.0013722222222222222,0.0
2023-02-20,2046.0,2090.0,-0.0069,-187.0,0.0,0.07,0.0406,24.0,14.0,-165.0,-33.0,5876.0,5876.0,-0.0016631578947368423,1.0
2023-02-22,4811.0,5265.0,-0.0283,1030.0,1.0,0.0582,0.0295,23.0,17.0,182.0,1342.0,6906.0,6906.0,-0.002995,0.0
2023-02-23,11863.0,12219.0,-0.007,3971.0,1.0,0.1161,0.0499,20.0,20.0,-560.0,5575.0,9904.0,10877.0,-0.003315,0.0
2023-02-26,5201.0,5378.0,-0.0065,-1086.0,0.0,0.1466,0.0641,20.0,20.0,-543.0,4090.0,7948.0,9791.0,-0.0036399999999999996,0.0
2023-02-27,3410.0,3571.0,-0.0118,-1471.0,0.0,0.0937,0.0448,20.0,20.0,52.0,2257.0,5769.0,8320.0,-0.004229999999999999,0.0
2023-02-28,1462.0,1462.0,0.0,622.0,1.0,0.0926,0.061,25.0,12.0,5.0,3066.0,5126.0,8942.0,-0.004229999999999999,0.0
2023-03-01,2189.0,2289.0,-0.0151,102.0,1.0,0.085,0.0581,23.0,16.0,385.0,2138.0,5799.0,9044.0,-0.00506,0.0
2023-03-02,1757.0,1757.0,0.0,23.0,1.0,0.0988,0.0726,24.0,12.0,42.0,-1810.0,7098.0,9067.0,-0.00502,1.0
2023-03-05,3153.0,3213.0,-0.0064,1636.0,1.0,0.0974,0.0643,25.0,13.0,603.0,912.0,7920.0,10703.0,-0.00534,0.0
2023-03-07,3550.0,3570.0,-0.0019,-442.0,0.0,0.1907,0.137,20.0,20.0,-60.0,1941.0,6743.0,10261.0,-0.005435000000000001,0.0
