date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-31,10.0,10.0,0.0,10.0,1.0,1.0,0.5,1.0,1.0,10.0,10.0,10.0,10.0,0.0,0.0
2023-02-15,195.0,195.0,0.0,-50.0,0.0,0.3439,0.2209,4.0,6.0,25.0,-40.0,-40.0,-40.0,0.0,1.0
2023-02-16,120.0,120.0,0.0,0.0,0.0,0.4306,0.25,3.0,5.0,0.0,-40.0,-40.0,-40.0,0.0,1.0
2023-02-20,65.0,65.0,0.0,15.0,1.0,0.574,0.25,2.0,3.0,-25.0,-25.0,-25.0,-25.0,0.0,1.0
2023-02-22,95.0,95.0,0.0,-20.0,0.0,0.3019,0.1667,4.0,3.0,0.0,-45.0,-45.0,-45.0,0.0,1.0
2023-02-23,40.0,40.0,0.0,0.0,0.0,1.0,0.5,1.0,2.0,0.0,-55.0,-45.0,-45.0,0.0,1.0
2023-02-26,25.0,25.0,0.0,-10.0,0.0,0.52,0.3,2.0,1.0,0.0,-15.0,-55.0,-55.0,0.0,1.0
2023-02-27,50.0,50.0,0.0,0.0,0.0,1.0,0.5,1.0,2.0,0.0,-15.0,-55.0,-55.0,0.0,1.0
2023-02-28,40.0,40.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,-30.0,-55.0,-55.0,0.0,1.0
2023-03-01,110.0,110.0,0.0,50.0,1.0,0.4008,0.2727,3.0,3.0,0.0,40.0,-5.0,-5.0,0.0,0.0
2023-03-02,25.0,25.0,0.0,25.0,1.0,1.0,0.5,1.0,1.0,0.0,65.0,20.0,20.0,0.0,0.0
2023-03-05,25.0,25.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,75.0,20.0,20.0,0.0,0.0
2023-03-09,50.0,50.0,0.0,0.0,0.0,0.5,0.1667,2.0,2.0,0.0,75.0,20.0,20.0,0.0,0.0
2023-03-12,235.0,235.0,0.0,200.0,1.0,0.7465,0.4255,2.0,4.0,0.0,275.0,220.0,220.0,0.0,0.0
2023-03-13,125.0,125.0,0.0,25.0,1.0,1.0,0.5,1.0,2.0,-100.0,250.0,245.0,245.0,0.0,0.0
2023-03-14,125.0,125.0,0.0,100.0,1.0,1.0,0.5,1.0,2.0,-25.0,325.0,345.0,345.0,0.0,0.0
2023-03-16,40.0,40.0,0.0,15.0,1.0,1.0,0.5,1.0,2.0,0.0,340.0,360.0,360.0,0.0,0.0
2023-03-19,25.0,25.0,0.0,25.0,1.0,1.0,0.5,1.0,1.0,0.0,365.0,385.0,385.0,0.0,0.0
2023-03-20,25.0,25.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,165.0,385.0,385.0,0.0,0.0
2023-03-22,100.0,100.0,0.0,-25.0,0.0,0.5,0.25,2.0,3.0,-50.0,115.0,360.0,360.0,0.0,0.0
2023-03-23,25.0,25.0,0.0,-25.0,0.0,1.0,0.5,1.0,1.0,-25.0,-10.0,325.0,335.0,0.0,1.0
2023-03-26,85.0,85.0,0.0,-15.0,0.0,0.7924,0.4412,2.0,3.0,0.0,-40.0,360.0,320.0,0.0,1.0
2023-03-27,85.0,85.0,0.0,-10.0,0.0,0.5848,0.3529,2.0,3.0,0.0,-75.0,350.0,310.0,0.0,1.0
2023-03-28,60.0,60.0,0.0,-60.0,0.0,1.0,0.5,1.0,2.0,0.0,-135.0,275.0,250.0,0.0,1.0
