date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-02-22,0.4683,0.484,-0.0157,0.1579,1.0,0.0826,0.0834,20.0,20.0,0.0235,0.1579,0.1579,0.1579,-0.0157,0.0
2023-02-23,0.3709,0.3819,-0.011,0.0318,1.0,0.1008,0.0641,20.0,20.0,0.0084,0.1897,0.1897,0.1897,-0.013349999999999999,0.0
2023-02-26,0.4679,0.4928,-0.0248,0.07,1.0,0.0697,0.0644,20.0,20.0,0.0261,0.25970000000000004,0.25970000000000004,0.25970000000000004,-0.017166666666666667,0.0
2023-02-27,0.5272,0.5273,-0.0001,0.169,1.0,0.1026,0.0996,20.0,20.0,0.0355,0.4287,0.4287,0.4287,-0.0129,0.0
2023-02-28,0.4741,0.4859,-0.0117,0.0856,1.0,0.089,0.0883,20.0,20.0,0.021,0.5143,0.5143,0.5143,-0.01266,0.0
2023-03-01,0.547,0.5746,-0.0276,0.1304,1.0,0.0839,0.1045,23.0,17.0,0.1045,0.48679999999999995,0.6447,0.6447,-0.015149999999999999,0.0
2023-03-02,0.5132,0.5502,-0.037,0.2061,1.0,0.0938,0.0932,22.0,18.0,0.0882,0.6611,0.8508,0.8508,-0.01827142857142857,0.0
2023-03-05,0.3776,0.4057,-0.0281,0.0082,1.0,0.0893,0.0804,20.0,20.0,0.0804,0.5993,0.859,0.859,-0.0195,0.0
2023-03-07,0.5047,0.5528,-0.0481,-0.0113,0.0,0.0668,0.072,22.0,18.0,0.072,0.419,0.8477,0.8477,-0.02267777777777778,0.0
2023-03-09,0.6559,0.6699,-0.014,0.183,1.0,0.128,0.1974,20.0,20.0,0.0347,0.5164,1.0307,1.0307,-0.02181,0.0
2023-03-12,0.5787,0.6074,-0.0288,0.0587,1.0,0.1362,0.1763,21.0,19.0,0.1763,0.4447,1.0894,1.0894,-0.022445454545454543,0.0
2023-03-13,0.5598,0.6036,-0.0438,0.0841,1.0,0.0814,0.106,21.0,19.0,0.0301,0.3227,1.1735,1.1735,-0.024224999999999997,0.0
2023-03-14,0.6279,0.7162,-0.0883,-0.2866,0.0,0.058,0.0812,30.0,10.0,0.0464,0.02789999999999998,0.8869,0.8869,-0.029153846153846155,0.0
2023-03-15,0.6007,0.6788,-0.0781,-0.1193,0.0,0.0598,0.0654,23.0,17.0,0.0,-0.08010000000000003,0.7676,0.7676,-0.03265,1.0
2023-03-16,0.577,0.5424,0.0345,-0.0504,0.0,0.2198,0.2491,20.0,20.0,0.0427,-0.3135,0.7172,0.7172,-0.02817333333333333,1.0
2023-03-19,0.5047,0.506,-0.0013,-0.2227,0.0,0.0806,0.0786,20.0,20.0,-0.0032,-0.5949,0.49449999999999994,0.49449999999999994,-0.02649375,1.0
2023-03-20,0.5285,0.5412,-0.0127,-0.1386,0.0,0.0944,0.0844,21.0,19.0,-0.1489,-0.8176,0.35589999999999994,0.35589999999999994,-0.02568235294117647,1.0
2023-03-22,0.6002,0.626,-0.0258,-0.1077,0.0,0.1472,0.1929,22.0,18.0,0.0923,-0.6387,0.24819999999999992,0.24819999999999992,-0.025688888888888886,1.0
2023-03-23,0.6741,0.7301,-0.0559,0.1223,1.0,0.0881,0.1224,23.0,17.0,-0.0321,-0.39710000000000006,0.37049999999999994,0.37049999999999994,-0.027278947368421052,1.0
2023-03-26,0.6054,0.6529,-0.0474,-0.005,0.0,0.0706,0.0736,20.0,20.0,0.0216,-0.3517,0.36549999999999994,0.36549999999999994,-0.028284999999999998,1.0
2023-03-27,0.5978,0.6644,-0.0666,-0.2648,0.0,0.0992,0.1527,25.0,15.0,0.0115,-0.3938,-0.057200000000000056,0.10069999999999996,-0.030829999999999996,1.0
2023-03-28,0.6415,0.6388,0.0027,-0.0747,0.0,0.1852,0.2467,20.0,20.0,0.0297,-0.32989999999999997,-0.16370000000000007,0.025999999999999954,-0.030144999999999998,1.0
2023-03-29,0.5813,0.6106,-0.0293,-0.242,0.0,0.104,0.1152,22.0,18.0,0.0122,-0.46419999999999995,-0.47570000000000007,-0.21600000000000003,-0.030369999999999998,1.0
2023-03-30,0.5698,0.5766,-0.0068,-0.1017,0.0,0.1653,0.1927,20.0,20.0,0.0049,-0.6882,-0.7464000000000001,-0.31770000000000004,-0.030705,1.0
2023-04-02,0.5296,0.5629,-0.0333,-0.0117,0.0,0.0951,0.1151,23.0,17.0,-0.0545,-0.6949,-0.8437,-0.3294,-0.031784999999999994,1.0
2023-04-03,0.5149,0.5484,-0.0335,-0.008,0.0,0.0739,0.0798,24.0,16.0,0.0406,-0.4381,-0.9821,-0.33740000000000003,-0.032080000000000004,1.0
2023-04-04,0.5837,0.6005,-0.0168,-0.0828,0.0,0.1256,0.1618,20.0,20.0,-0.022,-0.4462,-1.2710000000000001,-0.4202,-0.031069999999999997,1.0
2023-04-05,0.5105,0.4899,0.0206,-0.0147,0.0,0.1055,0.1132,20.0,20.0,-0.0415,-0.21889999999999998,-1.2939000000000003,-0.4349,-0.028635,1.0
2023-04-06,0.6196,0.6241,-0.0046,0.1446,1.0,0.1707,0.1873,20.0,20.0,0.0215,0.02740000000000002,-1.1380000000000001,-0.2903,-0.02646,0.0
2023-04-09,0.7414,0.7332,0.0081,-0.0597,0.0,0.424,0.4644,20.0,20.0,0.0071,-0.02059999999999998,-1.3807,-0.35,-0.025355,1.0
