date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-08-13,0.3105,0.3036,0.007,-0.0593,0.0,0.0982,0.0502,20.0,20.0,-0.066,-0.0593,-0.0593,-0.0593,0.007,1.0
2023-08-14,0.3583,0.3847,-0.0264,-0.0111,0.0,0.0629,0.0341,20.0,20.0,-0.0519,-0.0704,-0.0704,-0.0704,-0.0097,1.0
2023-08-15,0.4923,0.4617,0.0306,-0.1695,0.0,0.1107,0.0969,20.0,20.0,-0.1375,-0.2399,-0.2399,-0.2399,0.003733333333333333,1.0
2023-08-16,0.4143,0.415,-0.0007,-0.1439,0.0,0.1315,0.0958,20.0,20.0,-0.0101,-0.38380000000000003,-0.38380000000000003,-0.38380000000000003,0.0026249999999999997,1.0
2023-08-17,0.5289,0.5243,0.0046,-0.168,0.0,0.1259,0.1427,20.0,20.0,-0.1347,-0.5518000000000001,-0.5518000000000001,-0.5518000000000001,0.0030199999999999997,1.0
2023-08-20,0.45,0.4386,0.0114,-0.2352,0.0,0.0935,0.0916,20.0,20.0,-0.1173,-0.7277,-0.787,-0.787,0.004416666666666667,1.0
2023-08-21,0.4433,0.4611,-0.0178,-0.0793,0.0,0.0945,0.0718,20.0,20.0,-0.066,-0.7959,-0.8663000000000001,-0.8663000000000001,0.0012428571428571428,1.0
2023-08-22,0.5511,0.5415,0.0096,-0.3571,0.0,0.2315,0.2511,20.0,20.0,-0.0315,-0.9835,-1.2234,-1.2234,0.0022874999999999996,1.0
2023-08-23,0.4686,0.4562,0.0124,-0.2026,0.0,0.0881,0.0855,20.0,20.0,-0.0513,-1.0422,-1.426,-1.426,0.003411111111111111,1.0
2023-08-24,0.5607,0.5558,0.0049,-0.2554,0.0,0.161,0.1714,20.0,20.0,0.0175,-1.1296,-1.6814,-1.6814,0.00356,1.0
2023-08-27,0.6141,0.72,-0.1059,-0.0269,0.0,0.066,0.076,24.0,16.0,-0.0094,-0.9213,-1.7083,-1.7083,-0.006390909090909091,1.0
2023-08-28,0.6049,0.6148,-0.0099,-0.0955,0.0,0.0835,0.1064,20.0,20.0,-0.0849,-0.9375,-1.8038,-1.8038,-0.006683333333333334,1.0
2023-08-29,0.652,0.6401,0.0119,-0.129,0.0,0.1123,0.1305,20.0,20.0,-0.0498,-0.7094,-1.9328,-1.9328,-0.005253846153846154,1.0
2023-08-30,0.5712,0.5711,0.0002,-0.0353,0.0,0.0701,0.0678,20.0,20.0,-0.0528,-0.5421,-1.9681,-1.9681,-0.004864285714285715,1.0
2023-09-03,0.4126,0.3882,0.0244,-0.0004,0.0,0.129,0.1271,20.0,20.0,-0.0533,-0.2871,-1.9685,-1.9685,-0.0029133333333333333,1.0
2023-09-04,0.5658,0.5052,0.0606,-0.0634,0.0,0.154,0.1717,16.0,24.0,-0.0745,-0.3236,-2.0319,-2.0319,0.00105625,1.0
2023-09-05,0.7243,0.6839,0.0405,-0.3215,0.0,0.4796,0.4848,14.0,26.0,-0.0117,-0.5496,-2.3534,-2.3534,0.003376470588235294,1.0
2023-09-07,0.5864,0.6086,-0.0222,-0.046,0.0,0.1154,0.1692,20.0,20.0,-0.0089,-0.46659999999999996,-2.3994,-2.3994,0.0019555555555555554,1.0
2023-09-10,0.6929,0.6832,0.0097,0.09,1.0,0.1214,0.1295,20.0,20.0,-0.0516,-0.3413,-2.3094,-2.3094,0.0023631578947368418,1.0
2023-09-11,0.4461,0.4116,0.0345,-0.043,0.0,0.1091,0.1019,20.0,20.0,-0.0337,-0.38389999999999996,-2.3524000000000003,-2.3524000000000003,0.00397,1.0
2023-09-12,0.4985,0.4728,0.0257,-0.0666,0.0,0.0862,0.0807,20.0,20.0,-0.0051,-0.3871,-2.3597,-2.419,0.004905,1.0
2023-09-13,0.6373,0.6263,0.011,-0.2493,0.0,0.0848,0.1029,20.0,20.0,-0.0902,-0.3149,-2.5979,-2.6683,0.006775000000000001,1.0
2023-09-17,0.6196,0.687,-0.0674,0.0803,1.0,0.0785,0.0801,20.0,20.0,-0.0979,-0.18860000000000005,-2.3481,-2.588,0.0018749999999999995,1.0
2023-09-18,0.6094,0.5846,0.0247,-0.0651,0.0,0.3901,0.3732,20.0,20.0,-0.0183,-0.3437,-2.2693000000000003,-2.6531000000000002,0.003145,1.0
2023-09-19,0.6074,0.5633,0.0441,-0.2169,0.0,0.183,0.2221,20.0,20.0,-0.065,-0.5176000000000001,-2.3182,-2.87,0.0051199999999999996,1.0
2023-09-21,0.5628,0.5478,0.015,-0.1393,0.0,0.0886,0.1119,20.0,20.0,-0.0539,-0.5903,-2.2223,-3.0093,0.005299999999999999,1.0
2023-09-24,0.5891,0.5538,0.0354,-0.0242,0.0,0.1057,0.1395,20.0,20.0,-0.0191,-0.3652,-2.1672000000000002,-3.0335,0.00796,1.0
2023-09-25,0.5345,0.4828,0.0517,-0.1128,0.0,0.2042,0.1982,19.0,21.0,-0.0442,-0.5583,-1.9229,-3.1463,0.010065000000000001,1.0
2023-09-26,0.683,0.6392,0.0438,-0.2127,0.0,0.1397,0.2139,20.0,20.0,-0.0498,-0.7059,-1.9330000000000003,-3.359,0.011635000000000001,1.0
2023-09-27,0.6758,0.628,0.0478,-0.007,0.0,0.246,0.3171,20.0,20.0,0.0715,-0.49600000000000005,-1.6846,-3.366,0.01378,1.0
2023-10-01,0.686,0.7162,-0.0303,-0.133,0.0,0.0895,0.1161,20.0,20.0,-0.1019,-0.4897,-1.7907000000000002,-3.499,0.01756,1.0
2023-10-02,0.5943,0.5816,0.0127,-0.2271,0.0,0.086,0.1117,20.0,20.0,-0.1067,-0.6926,-1.9223000000000001,-3.7261,0.018690000000000002,1.0
