date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.853,0.853,0.0,-0.3801,0.0,0.0823,0.1147,25.0,10.0,0.1147,-0.3801,-0.3801,-0.3801,0.0,1.0
2023-01-24,0.905,0.905,0.0,0.019,1.0,0.1468,0.2625,18.0,14.0,0.1425,-0.3611,-0.3611,-0.3611,0.0,1.0
2023-01-25,0.894,0.894,0.0,-0.3341,0.0,0.186,0.258,16.0,12.0,0.2309,-0.6952,-0.6952,-0.6952,0.0,1.0
2023-01-26,0.7335,0.7335,0.0,-0.5716,0.0,0.2523,0.2864,10.0,11.0,-0.0959,-1.2668,-1.2668,-1.2668,0.0,1.0
2023-01-29,0.9135,0.9135,0.0,0.1885,1.0,0.1982,0.25,8.0,13.0,-0.0135,-1.0783,-1.0783,-1.0783,0.0,1.0
2023-01-30,0.7753,0.7753,0.0,-0.176,0.0,0.1079,0.1598,18.0,14.0,0.0491,-0.8741999999999999,-1.2543,-1.2543,0.0,1.0
2023-01-31,0.8772,0.8772,0.0,-0.1837,0.0,0.21,0.3174,14.0,13.0,-0.0039,-1.0769,-1.438,-1.438,0.0,1.0
2023-02-01,0.9682,0.9682,0.0,0.0172,1.0,0.165,0.3092,12.0,18.0,-0.0636,-0.7255999999999999,-1.4207999999999998,-1.4207999999999998,0.0,1.0
2023-02-02,0.8506,0.8506,0.0,-0.496,0.0,0.2799,0.4025,14.0,11.0,-0.2799,-0.6499999999999999,-1.9167999999999998,-1.9167999999999998,0.0,1.0
2023-02-05,0.7833,0.7833,0.0,-0.3142,0.0,0.1245,0.1842,18.0,9.0,-0.1246,-1.1526999999999998,-2.231,-2.231,0.0,1.0
2023-02-06,0.6307,0.6307,0.0,0.0418,1.0,0.1035,0.1088,14.0,10.0,0.0486,-0.9349000000000001,-2.1892,-2.1892,0.0,1.0
2023-02-07,0.7428,0.7428,0.0,-0.259,0.0,0.0993,0.1549,20.0,7.0,0.1549,-1.0102,-2.4482,-2.4482,0.0,1.0
2023-02-08,0.8773,0.8773,0.0,-0.1967,0.0,0.1039,0.1741,20.0,9.0,0.0091,-1.2241,-2.6449,-2.6449,0.0,1.0
2023-02-09,0.7923,0.7923,0.0,-0.3174,0.0,0.2238,0.2971,12.0,9.0,0.1395,-1.0455,-2.9623,-2.9623,0.0,1.0
2023-02-12,0.894,0.894,0.0,-0.3386,0.0,0.2415,0.3984,15.0,13.0,0.0359,-1.0699,-3.3009,-3.3009,0.0,1.0
2023-02-14,0.8995,0.8995,0.0,0.1776,1.0,0.1769,0.3116,18.0,11.0,0.0106,-0.9341000000000002,-3.1233,-3.1233,0.0,1.0
2023-02-15,0.8022,0.8022,0.0,0.0562,1.0,0.1239,0.2008,20.0,11.0,0.0201,-0.6189,-3.0671,-3.0671,0.0,1.0
2023-02-16,0.6659,0.6659,0.0,0.1991,1.0,0.1856,0.228,12.0,12.0,0.034,-0.22310000000000002,-2.868,-2.868,0.0,1.0
2023-02-20,0.872,0.872,0.0,0.3724,1.0,0.1779,0.3106,19.0,13.0,-0.0273,0.4667,-2.4956,-2.4956,0.0,0.0
2023-02-22,0.8137,0.8137,0.0,0.2356,1.0,0.123,0.2213,21.0,18.0,0.023,1.0409,-2.26,-2.26,0.0,0.0
2023-02-23,0.6918,0.7325,-0.0408,0.0036,1.0,0.0788,0.111,21.0,17.0,-0.2018,0.8669,-1.8762999999999999,-2.2563999999999997,-0.00204,0.0
