date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,319.0,319.0,0.0,-60.0,0.0,0.1763,0.1254,7.0,5.0,20.0,-60.0,-60.0,-60.0,0.0,1.0
2023-01-24,120.0,120.0,0.0,10.0,1.0,1.0,0.3158,1.0,3.0,-10.0,-50.0,-50.0,-50.0,0.0,1.0
2023-01-25,110.0,110.0,0.0,-70.0,0.0,0.3554,0.2273,3.0,6.0,-10.0,-120.0,-120.0,-120.0,0.0,1.0
2023-01-26,161.0,161.0,0.0,-111.0,0.0,0.2014,0.1381,7.0,3.0,0.0,-231.0,-231.0,-231.0,0.0,1.0
2023-01-29,273.0,273.0,0.0,152.0,1.0,0.3675,0.2314,5.0,8.0,0.0,-79.0,-79.0,-79.0,0.0,1.0
2023-01-30,470.0,470.0,0.0,-100.0,0.0,0.1951,0.121,9.0,5.0,100.0,-119.0,-179.0,-179.0,0.0,1.0
2023-01-31,519.0,519.0,0.0,-57.0,0.0,0.1367,0.09,10.0,6.0,7.0,-186.0,-236.0,-236.0,0.0,1.0
2023-02-01,216.0,216.0,0.0,108.0,1.0,0.2886,0.1974,5.0,6.0,0.0,-8.0,-128.0,-128.0,0.0,1.0
2023-02-02,680.0,680.0,0.0,-117.0,0.0,0.2024,0.1555,11.0,6.0,0.0,-14.0,-245.0,-245.0,0.0,1.0
2023-02-05,415.0,415.0,0.0,-335.0,0.0,0.2154,0.1801,9.0,7.0,0.0,-501.0,-580.0,-580.0,0.0,1.0
2023-02-06,852.0,852.0,0.0,266.0,1.0,0.2611,0.1894,13.0,8.0,20.0,-135.0,-314.0,-314.0,0.0,1.0
