date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,7643.0,7493.0,0.0078,-1568.0,0.0,0.1749,0.099,13.0,27.0,-983.0,-1568.0,-1568.0,-1568.0,0.0078,1.0
2023-01-24,8109.0,8069.0,0.0021,2840.0,1.0,0.1683,0.1196,14.0,26.0,-298.0,1272.0,1272.0,1272.0,0.0049499999999999995,0.0
2023-01-25,223793.0,222295.0,0.003,11334.0,1.0,0.5293,0.3203,19.0,21.0,160938.0,12606.0,12606.0,12606.0,0.0043,0.0
2023-01-26,36843.0,37108.0,-0.0021,1415.0,1.0,0.1113,0.0768,20.0,20.0,9682.0,14021.0,14021.0,14021.0,0.0027,0.0
2023-01-29,25263.0,25433.0,-0.0022,7346.0,1.0,0.0843,0.0476,20.0,20.0,-270.0,21367.0,21367.0,21367.0,0.00172,0.0
2023-01-30,40468.0,40528.0,-0.0005,-3411.0,0.0,0.2926,0.1672,20.0,20.0,-387.0,19524.0,17956.0,17956.0,0.0013499999999999999,0.0
2023-01-31,15192.0,15122.0,0.0012,4116.0,1.0,0.1478,0.0655,20.0,20.0,-1459.0,20800.0,22072.0,22072.0,0.0013285714285714285,0.0
2023-02-01,25199.0,25129.0,0.0009,-8048.0,0.0,0.1049,0.0544,19.0,20.0,-7076.0,1418.0,14024.0,14024.0,0.0012749999999999999,0.0
2023-02-02,20266.0,20356.0,-0.0016,2073.0,1.0,0.1477,0.112,20.0,20.0,-8059.0,2076.0,16097.0,16097.0,0.0009555555555555555,0.0
2023-02-05,9155.0,9155.0,0.0,835.0,1.0,0.0978,0.0568,20.0,20.0,-30.0,-4435.0,16932.0,16932.0,0.00086,1.0
2023-02-06,5055.0,5035.0,0.0015,2228.0,1.0,0.2057,0.1576,18.0,21.0,-250.0,1204.0,19160.0,19160.0,0.0009181818181818181,0.0
2023-02-07,68269.0,67774.0,0.0026,-1019.0,0.0,0.491,0.2519,20.0,20.0,47417.0,-3931.0,18141.0,18141.0,0.0010583333333333332,1.0
