date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.822,0.822,0.0,0.1465,1.0,0.1752,0.2225,12.0,8.0,0.2225,0.1465,0.1465,0.1465,0.0,0.0
2023-01-24,0.5098,0.5098,0.0,-0.0441,0.0,0.5703,0.3725,3.0,6.0,0.0,0.10239999999999999,0.10239999999999999,0.10239999999999999,0.0,0.0
2023-01-25,0.9493,0.9493,0.0,0.0939,1.0,0.508,0.6645,8.0,6.0,0.0282,0.19629999999999997,0.19629999999999997,0.19629999999999997,0.0,0.0
2023-01-26,0.9588,0.9588,0.0,0.6831,1.0,0.7502,0.823,3.0,8.0,0.823,0.8794,0.8794,0.8794,0.0,0.0
2023-01-29,0.8338,0.8338,0.0,0.2319,1.0,0.1219,0.2301,20.0,12.0,0.2301,1.1113,1.1113,1.1113,0.0,0.0
2023-01-30,0.9417,0.9417,0.0,0.4657,1.0,0.1396,0.2289,14.0,10.0,0.0146,1.4304999999999999,1.577,1.577,0.0,0.0
2023-01-31,0.9096,0.9096,0.0,-0.6012,0.0,0.2645,0.4047,9.0,11.0,-0.0275,0.8734000000000001,0.9758,0.9758,0.0,0.0
2023-02-01,0.9158,0.9158,0.0,-0.0632,0.0,0.4052,0.5579,7.0,9.0,0.0421,0.7162999999999999,0.9126,0.9126,0.0,0.0
2023-02-02,1.0,1.0,0.0,0.3763,1.0,0.2719,0.4734,10.0,6.0,-0.2225,0.4095,1.2889,1.2889,0.0,0.0
2023-02-05,0.8605,0.8605,0.0,0.6803,1.0,0.2015,0.2925,8.0,5.0,-0.0068,0.8579,1.9692,1.9692,0.0,0.0
2023-02-06,1.0,1.0,0.0,-0.5,0.0,0.5,0.5,2.0,2.0,0.5,-0.1078,1.4692,1.4692,0.0,1.0
2023-02-07,0.9449,0.9449,0.0,-0.3254,0.0,0.5017,0.6415,5.0,18.0,-0.1627,0.16799999999999993,1.1438000000000001,1.1438000000000001,0.0,0.0
2023-02-08,0.9247,0.9247,0.0,-0.0818,0.0,0.4293,0.5882,12.0,7.0,0.0206,0.14939999999999992,1.062,1.062,0.0,0.0
2023-02-09,0.9832,0.9832,0.0,-0.1919,0.0,0.5157,0.6734,4.0,6.0,0.0,-0.41880000000000006,0.8701000000000001,0.8701000000000001,0.0,1.0
2023-02-12,0.7059,0.7059,0.0,-0.4118,0.0,0.375,0.2941,3.0,2.0,0.0,-1.5109,0.45830000000000004,0.45830000000000004,0.0,1.0
2023-02-14,1.0,1.0,0.0,0.0529,1.0,0.3025,0.5159,9.0,10.0,0.0,-0.958,0.5112000000000001,0.5112000000000001,0.0,1.0
2023-02-15,0.7624,0.7624,0.0,0.1089,1.0,0.2552,0.2475,5.0,5.0,0.0,-0.5237,0.6201000000000001,0.6201000000000001,0.0,1.0
