date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.7451,0.7451,0.0,-0.1937,0.0,0.2821,0.3573,13.0,25.0,0.0193,-0.1937,-0.1937,-0.1937,0.0,1.0
2023-01-24,0.6415,0.6415,0.0,0.1217,1.0,0.2269,0.2555,11.0,29.0,-0.1815,-0.07200000000000001,-0.07200000000000001,-0.07200000000000001,0.0,1.0
2023-01-25,0.763,0.7543,0.0087,0.0522,1.0,0.2664,0.3339,14.0,25.0,0.191,-0.019800000000000005,-0.019800000000000005,-0.019800000000000005,0.0029,1.0
2023-01-26,0.7838,0.7838,0.0,-0.1833,0.0,0.117,0.1867,18.0,8.0,0.1055,-0.2031,-0.2031,-0.2031,0.002175,1.0
2023-01-29,0.8622,0.8622,0.0,0.089,1.0,0.1161,0.1805,21.0,10.0,0.0138,-0.11410000000000001,-0.11410000000000001,-0.11410000000000001,0.0017399999999999998,1.0
2023-01-30,0.8053,0.8053,0.0,0.0671,1.0,0.1446,0.2049,16.0,22.0,0.2049,0.1467,-0.047,-0.047,0.00145,0.0
2023-01-31,0.83,0.83,0.0,-0.4199,0.0,0.1937,0.2841,11.0,22.0,-0.0442,-0.39490000000000003,-0.4669,-0.4669,0.0012428571428571428,1.0
2023-02-01,0.8135,0.8135,0.0,0.0441,1.0,0.1922,0.2785,14.0,13.0,-0.2556,-0.403,-0.42279999999999995,-0.42279999999999995,0.0010875,1.0
2023-02-02,0.7154,0.7158,-0.0004,0.0791,1.0,0.1913,0.2485,21.0,19.0,0.0147,-0.14059999999999997,-0.3437,-0.3437,0.0009222222222222223,1.0
2023-02-05,0.793,0.793,0.0,-0.1647,0.0,0.1577,0.1941,15.0,12.0,0.0358,-0.3943,-0.5084,-0.5084,0.00083,1.0
2023-02-06,0.9046,0.9046,0.0,-0.7008,0.0,0.2243,0.3694,13.0,8.0,-0.3934,-1.1622,-1.2092,-1.2092,0.0007545454545454546,1.0
2023-02-07,0.7584,0.7584,0.0,0.2551,1.0,0.1939,0.2626,14.0,19.0,0.034,-0.4872000000000001,-0.9541,-0.9541,0.0006916666666666667,1.0
2023-02-08,0.7921,0.7921,0.0,0.0491,1.0,0.3817,0.4784,15.0,15.0,-0.0421,-0.4822,-0.9049999999999999,-0.9049999999999999,0.0006384615384615385,1.0
2023-02-09,0.9675,0.9675,0.0,-0.2864,0.0,0.1199,0.2169,17.0,9.0,-0.5964,-0.8477,-1.1914,-1.1914,0.0005928571428571429,1.0
2023-02-12,0.7511,0.7511,0.0,-0.3955,0.0,0.1145,0.1574,24.0,12.0,-0.061,-1.0785,-1.5869,-1.5869,0.0005533333333333333,1.0
2023-02-14,0.6817,0.6817,0.0,-0.3711,0.0,0.1382,0.1681,12.0,11.0,-0.0216,-0.7488000000000001,-1.958,-1.958,0.00051875,1.0
2023-02-15,0.7114,0.7114,0.0,-0.4332,0.0,0.1641,0.1796,17.0,11.0,-0.3301,-1.4371,-2.3912,-2.3912,0.00048823529411764707,1.0
2023-02-16,0.8422,0.8422,0.0,0.0541,1.0,0.2496,0.3715,13.0,12.0,0.0624,-1.4321000000000002,-2.3371,-2.3371,0.00046111111111111114,1.0
2023-02-20,0.9228,0.9228,0.0,0.0196,1.0,0.4453,0.5797,10.0,15.0,0.5797,-1.1261,-2.3175,-2.3175,0.0004368421052631579,1.0
2023-02-22,0.7705,0.7705,0.0,-0.1419,0.0,0.2263,0.2792,9.0,13.0,0.0594,-0.8725,-2.4594,-2.4594,0.000415,1.0
2023-02-23,0.8539,0.8539,0.0,0.3613,1.0,0.3197,0.4506,11.0,11.0,-0.1275,-0.1401,-1.9043999999999996,-2.0981,0.000415,1.0
2023-02-26,0.7783,0.7783,0.0,-0.4222,0.0,0.1749,0.194,11.0,14.0,-0.2026,-0.12910000000000005,-2.4483,-2.5202999999999998,0.000415,1.0
2023-02-27,0.7751,0.7751,0.0,-0.4277,0.0,0.1163,0.1495,17.0,11.0,0.1472,-0.6109000000000001,-2.9282000000000004,-2.948,-2e-05,1.0
2023-02-28,0.8842,0.8842,0.0,-0.2994,0.0,0.1935,0.2825,9.0,10.0,0.1412,-0.9299,-3.0443000000000002,-3.2474,-2e-05,1.0
2023-03-01,0.9219,0.9219,0.0,-0.651,0.0,0.2244,0.2604,5.0,5.0,0.0,-1.439,-3.7843,-3.8984,-2e-05,1.0
2023-03-02,1.0,1.0,0.0,-0.1575,0.0,0.4231,0.5538,3.0,4.0,0.0,-1.9578,-4.0089,-4.0559,-2e-05,1.0
2023-03-05,0.95,0.95,0.0,-0.2354,0.0,0.1858,0.3073,10.0,8.0,0.1682,-1.7710000000000001,-3.8244,-4.2913,-2e-05,1.0
2023-03-07,0.7497,0.7497,0.0,-0.2554,0.0,0.1563,0.2135,13.0,9.0,0.2135,-1.5987,-4.1239,-4.5466999999999995,-2e-05,1.0
