date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2025-02-09,0.9184,0.9184,0.0,0.3265,1.0,0.9151,0.8776,2.0,23.0,-0.0612,0.3265,0.3265,0.3265,0.0,0.0
2025-02-10,0.9216,0.9216,0.0,-0.451,0.0,0.8397,0.8431,4.0,29.0,-0.1765,-0.1245,-0.1245,-0.1245,0.0,1.0
2025-02-11,0.9459,0.9459,0.0,-0.4595,0.0,0.84,0.8649,3.0,19.0,-0.2162,-0.5840000000000001,-0.5840000000000001,-0.5840000000000001,0.0,1.0
2025-02-12,0.9825,0.9825,0.0,0.3158,1.0,0.9311,0.9474,2.0,28.0,-0.1579,-0.2682,-0.2682,-0.2682,0.0,1.0
2025-02-13,0.9434,0.9434,0.0,0.3774,1.0,0.9608,0.9245,2.0,28.0,-0.1698,0.10920000000000002,0.10920000000000002,0.10920000000000002,0.0,0.0
2025-02-16,0.9765,0.8412,0.1353,-0.5353,0.0,0.9644,0.9588,3.0,37.0,-0.1941,-0.7525999999999999,-0.4261,-0.4261,0.02255,1.0
2025-02-17,0.9771,0.8931,0.084,-0.5115,0.0,0.9542,0.9542,2.0,35.0,-0.1756,-0.8130999999999999,-0.9376,-0.9376,0.03132857142857143,1.0
2025-02-18,0.8744,0.7758,0.0987,0.0493,1.0,0.3504,0.3722,4.0,35.0,-0.1973,-0.3042999999999999,-0.8882999999999999,-0.8882999999999999,0.03975,1.0
2025-02-20,0.9699,0.8094,0.1605,-0.4114,0.0,0.4374,0.5987,4.0,35.0,-0.1923,-1.0314999999999999,-1.2996999999999999,-1.2996999999999999,0.05316666666666667,1.0
2025-02-23,0.898,0.7657,0.1323,0.4372,1.0,0.6834,0.7309,3.0,37.0,-0.1222,-0.9717,-0.8624999999999998,-0.8624999999999998,0.06108,1.0
2025-02-24,0.8864,0.7601,0.1263,0.4419,1.0,1.0,0.8864,1.0,39.0,0.8864,0.00550000000000006,-0.42059999999999986,-0.42059999999999986,0.06700909090909091,0.0
2025-02-25,0.916,0.7111,0.2049,0.2715,1.0,0.6629,0.7223,4.0,36.0,-0.1404,0.7885,-0.14909999999999984,-0.14909999999999984,0.0785,0.0
2025-02-27,0.8302,0.6126,0.2176,0.4758,1.0,1.0,0.8302,1.0,38.0,0.8302,1.215,0.32670000000000016,0.32670000000000016,0.0892,0.0
