date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,8592.0,8592.0,0.0,-2023.0,0.0,0.1383,0.1082,17.0,18.0,-10.0,-2023.0,-2023.0,-2023.0,0.0,1.0
2023-01-24,4567.0,4567.0,0.0,476.0,1.0,0.1571,0.0922,14.0,14.0,-922.0,-1547.0,-1547.0,-1547.0,0.0,1.0
2023-01-25,8207.0,8207.0,0.0,3208.0,1.0,0.1704,0.0996,13.0,21.0,-286.0,1661.0,1661.0,1661.0,0.0,0.0
2023-01-26,6002.0,6002.0,0.0,-3357.0,0.0,0.1841,0.1276,13.0,22.0,554.0,-1696.0,-1696.0,-1696.0,0.0,1.0
2023-01-29,4386.0,4386.0,0.0,533.0,1.0,0.3671,0.2097,6.0,17.0,1723.0,-1163.0,-1163.0,-1163.0,0.0,1.0
2023-01-30,6122.0,6122.0,0.0,-669.0,0.0,0.2745,0.1434,9.0,20.0,1974.0,191.0,-1832.0,-1832.0,0.0,0.0
2023-01-31,3425.0,3425.0,0.0,573.0,1.0,0.1282,0.0779,14.0,14.0,-290.0,288.0,-1259.0,-1259.0,0.0,0.0
2023-02-01,3374.0,3374.0,0.0,1707.0,1.0,0.1489,0.1449,16.0,10.0,65.0,-1213.0,448.0,448.0,0.0,1.0
2023-02-02,2865.0,2865.0,0.0,1060.0,1.0,0.2151,0.0998,8.0,15.0,-46.0,3204.0,1508.0,1508.0,0.0,0.0
2023-02-05,4436.0,4436.0,0.0,1155.0,1.0,0.173,0.1314,10.0,14.0,-496.0,3826.0,2663.0,2663.0,0.0,0.0
2023-02-06,4461.0,4461.0,0.0,1960.0,1.0,0.2252,0.1377,7.0,14.0,1066.0,6455.0,4623.0,4623.0,0.0,0.0
2023-02-07,7374.0,7374.0,0.0,-151.0,0.0,0.2608,0.1523,10.0,26.0,-37.0,5731.0,4472.0,4472.0,0.0,0.0
2023-02-08,9729.0,9729.0,0.0,-4742.0,0.0,0.2071,0.1276,11.0,26.0,-361.0,-718.0,-270.0,-270.0,0.0,1.0
2023-02-09,7905.0,7905.0,0.0,1739.0,1.0,0.2627,0.1747,10.0,18.0,1977.0,-39.0,1469.0,1469.0,0.0,1.0
2023-02-12,11249.0,11249.0,0.0,-1718.0,0.0,0.2974,0.2458,13.0,23.0,-901.0,-2912.0,-249.0,-249.0,0.0,1.0
2023-02-14,6988.0,6988.0,0.0,-4368.0,0.0,0.4313,0.3008,11.0,14.0,-3013.0,-9240.0,-4617.0,-4617.0,0.0,1.0
2023-02-15,4477.0,4477.0,0.0,-1919.0,0.0,0.2805,0.1755,9.0,13.0,-2000.0,-11008.0,-6536.0,-6536.0,0.0,1.0
2023-02-16,6175.0,6175.0,0.0,141.0,1.0,0.1839,0.1083,12.0,13.0,-39.0,-6125.0,-6395.0,-6395.0,0.0,1.0
2023-02-20,3951.0,3951.0,0.0,1267.0,1.0,0.1676,0.1345,15.0,13.0,0.0,-6597.0,-5128.0,-5128.0,0.0,1.0
2023-02-22,4153.0,4153.0,0.0,1131.0,1.0,0.334,0.2194,10.0,19.0,-30.0,-3748.0,-3997.0,-3997.0,0.0,1.0
2023-02-23,5241.0,5241.0,0.0,312.0,1.0,0.3221,0.2303,10.0,13.0,-500.0,932.0,-1662.0,-3685.0,0.0,0.0
2023-02-26,6818.0,6818.0,0.0,4182.0,1.0,0.1019,0.065,22.0,11.0,863.0,7033.0,2044.0,497.0,0.0,0.0
2023-02-27,6588.0,6588.0,0.0,-1475.0,0.0,0.1366,0.099,24.0,12.0,506.0,5417.0,-2639.0,-978.0,0.0,0.0
2023-02-28,3284.0,3284.0,0.0,1185.0,1.0,0.3804,0.2775,10.0,8.0,1900.0,5335.0,1903.0,207.0,0.0,0.0
2023-03-01,1433.0,1433.0,0.0,692.0,1.0,0.2373,0.1488,9.0,6.0,210.0,4896.0,2062.0,899.0,0.0,0.0
2023-03-02,1893.0,1893.0,0.0,-410.0,0.0,0.1731,0.1045,12.0,9.0,500.0,4174.0,2321.0,489.0,0.0,0.0
2023-03-05,3684.0,3684.0,0.0,-364.0,0.0,0.1871,0.1375,10.0,13.0,-1565.0,-372.0,1384.0,125.0,0.0,1.0
2023-03-07,1155.0,1155.0,0.0,-400.0,0.0,0.1572,0.0697,8.0,10.0,65.0,703.0,-723.0,-275.0,0.0,0.0
2023-03-09,4154.0,4154.0,0.0,-474.0,0.0,0.5432,0.3078,7.0,18.0,-425.0,-956.0,-2257.0,-749.0,0.0,1.0
2023-03-12,2835.0,2835.0,0.0,-1046.0,0.0,0.1526,0.1185,13.0,10.0,-1100.0,-2694.0,-4458.0,-1795.0,0.0,1.0
2023-03-13,2059.0,2059.0,0.0,-53.0,0.0,0.2328,0.1848,11.0,14.0,-514.0,-2337.0,-6471.0,-1848.0,0.0,1.0
2023-03-14,12305.0,12305.0,0.0,5041.0,1.0,0.2125,0.1613,21.0,8.0,-309.0,3068.0,-1279.0,3193.0,0.0,0.0
2023-03-15,4454.0,4454.0,0.0,-411.0,0.0,0.2672,0.1941,9.0,13.0,161.0,3057.0,3052.0,2782.0,0.0,0.0
2023-03-16,4586.0,4586.0,0.0,-833.0,0.0,0.1249,0.0819,12.0,8.0,0.0,2698.0,480.0,1949.0,0.0,0.0
2023-03-19,1594.0,1594.0,0.0,-376.0,0.0,0.3449,0.2237,7.0,10.0,-42.0,3368.0,1822.0,1573.0,0.0,0.0
2023-03-20,2574.0,2574.0,0.0,-868.0,0.0,0.1507,0.0984,9.0,12.0,-1101.0,2553.0,5322.0,705.0,0.0,0.0
2023-03-22,4401.0,4401.0,0.0,-1469.0,0.0,0.2201,0.1793,14.0,8.0,-361.0,-3957.0,5772.0,-764.0,0.0,1.0
2023-03-23,1880.0,1880.0,0.0,-1129.0,0.0,0.2401,0.077,8.0,8.0,-147.0,-4675.0,4502.0,-1893.0,0.0,1.0
2023-03-26,4461.0,4461.0,0.0,-989.0,0.0,0.113,0.0764,18.0,8.0,-122.0,-4831.0,2246.0,-2882.0,0.0,1.0
2023-03-27,4429.0,4429.0,0.0,213.0,1.0,0.1264,0.1262,16.0,12.0,1201.0,-4242.0,1328.0,-2669.0,0.0,1.0
2023-03-28,1080.0,1080.0,0.0,-469.0,0.0,0.1954,0.137,9.0,9.0,0.0,-3843.0,547.0,-3138.0,0.0,1.0
2023-03-29,870.0,870.0,0.0,-319.0,0.0,0.2074,0.0954,5.0,7.0,-150.0,-2693.0,-3954.0,-3457.0,0.0,1.0
2023-03-30,2811.0,2811.0,0.0,-1929.0,0.0,0.1368,0.1307,14.0,6.0,0.0,-3493.0,-4408.0,-5386.0,0.0,1.0
2023-04-02,3242.0,3242.0,0.0,30.0,1.0,0.4073,0.261,9.0,9.0,-190.0,-2474.0,-5563.0,-5356.0,0.0,1.0
2023-04-03,2382.0,2382.0,0.0,-235.0,0.0,0.1406,0.0916,15.0,8.0,-100.0,-2922.0,-6490.0,-5591.0,0.0,1.0
