date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2025-02-20,39010.0,38510.0,0.0051,-9760.0,0.0,0.2034,0.1506,14.0,26.0,-10210.0,-9760.0,-9760.0,-9760.0,0.0051,1.0
2025-02-23,26130.0,25130.0,0.0123,-2170.0,0.0,0.1362,0.0708,15.0,25.0,-3300.0,-11930.0,-11930.0,-11930.0,0.0087,1.0
2025-02-24,20091.0,20091.0,0.0,1300.0,1.0,0.1332,0.105,13.0,26.0,-1600.0,-10630.0,-10630.0,-10630.0,0.0058,1.0
2025-02-25,30550.0,30550.0,0.0,-17950.0,0.0,0.4004,0.2367,9.0,23.0,600.0,-28580.0,-28580.0,-28580.0,0.00435,1.0
2025-02-27,23890.0,23590.0,0.0052,-10840.0,0.0,0.37,0.2394,11.0,29.0,-2580.0,-39420.0,-39420.0,-39420.0,0.004520000000000001,1.0
2025-03-02,45200.0,45100.0,0.0008,-7320.0,0.0,0.4607,0.2389,10.0,30.0,29350.0,-36980.0,-46740.0,-46740.0,0.0039000000000000003,1.0
2025-03-03,55761.0,54661.0,0.0094,39911.0,1.0,0.9507,0.4654,5.0,35.0,54361.0,5101.0,-6829.0,-6829.0,0.004685714285714286,0.0
2025-03-04,44094.0,43694.0,0.0041,23534.0,1.0,0.9688,0.4438,2.0,37.0,43394.0,27335.0,16705.0,16705.0,0.0046125,0.0
2025-03-05,27050.0,27050.0,0.0,8700.0,1.0,0.9853,0.4574,2.0,30.0,26850.0,53985.0,25405.0,25405.0,0.0041,0.0
2025-03-06,859200.0,859200.0,0.0,500700.0,1.0,0.9881,0.4966,3.0,34.0,854070.0,565525.0,526105.0,526105.0,0.00369,0.0
2025-03-09,11290.0,11290.0,0.0,-5300.0,0.0,0.1788,0.0825,10.0,21.0,-1000.0,567545.0,520805.0,520805.0,0.0033545454545454547,0.0
2025-03-10,9000.0,9000.0,0.0,-800.0,0.0,0.2512,0.1722,8.0,21.0,-1500.0,526834.0,520005.0,520005.0,0.003075,0.0
2025-03-11,7650.0,7650.0,0.0,-450.0,0.0,0.1899,0.1081,9.0,21.0,-1400.0,502850.0,519555.0,519555.0,0.002838461538461539,0.0
2025-03-12,24800.0,24800.0,0.0,10200.0,1.0,0.1932,0.1107,11.0,24.0,1100.0,504350.0,529755.0,529755.0,0.002635714285714286,0.0
2025-03-16,6520.0,6520.0,0.0,-820.0,0.0,0.1766,0.1134,13.0,20.0,400.0,2830.0,528935.0,528935.0,0.00246,0.0
2025-03-17,5100.0,5100.0,0.0,-200.0,0.0,0.321,0.2016,5.0,20.0,900.0,7930.0,528735.0,528735.0,0.00230625,0.0
2025-03-18,9730.0,9730.0,0.0,-1871.0,0.0,0.1891,0.1236,8.0,19.0,-2600.0,6859.0,526864.0,526864.0,0.0021705882352941177,0.0
2025-03-19,15890.0,15890.0,0.0,-2600.0,0.0,0.2799,0.1934,8.0,16.0,-690.0,4709.0,524264.0,524264.0,0.00205,0.0
2025-03-20,7399.0,7399.0,0.0,-1650.0,0.0,0.3763,0.2339,4.0,13.0,-1750.0,-7141.0,522614.0,522614.0,0.001942105263157895,1.0
2025-03-23,6250.0,6250.0,0.0,-3200.0,0.0,0.2975,0.2061,8.0,18.0,-100.0,-9521.0,519414.0,519414.0,0.001845,1.0
2025-03-24,14400.0,14400.0,0.0,-10600.0,0.0,0.541,0.3478,9.0,17.0,-300.0,-19921.0,518574.0,508814.0,0.00159,1.0
2025-03-25,3850.0,3850.0,0.0,-1850.0,0.0,0.5993,0.358,4.0,12.0,-300.0,-19900.0,518894.0,506964.0,0.0009750000000000002,1.0
2025-03-26,3400.0,3400.0,0.0,-400.0,0.0,0.5156,0.2791,7.0,15.0,300.0,-17700.0,517194.0,506564.0,0.0009750000000000002,1.0
2025-03-27,5400.0,5400.0,0.0,1550.0,1.0,0.1728,0.1079,10.0,15.0,1370.0,-14500.0,536694.0,508114.0,0.0009750000000000002,1.0
2025-03-30,7170.0,7170.0,0.0,-1400.0,0.0,0.3648,0.254,10.0,14.0,-200.0,-12700.0,546134.0,506714.0,0.000715,1.0
2025-04-01,2850.0,2850.0,0.0,-450.0,0.0,0.185,0.0986,8.0,17.0,-400.0,-2550.0,553004.0,506264.0,0.000675,1.0
2025-04-02,5260.0,5260.0,0.0,-1500.0,0.0,0.3832,0.2568,7.0,18.0,-1300.0,-2200.0,511593.0,504764.0,0.00020500000000000002,1.0
