date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,24817.0,26081.0,-0.0133,-10959.0,0.0,0.1391,0.0815,20.0,20.0,-1876.0,-10959.0,-10959.0,-10959.0,-0.0133,1.0
2023-01-24,28301.0,29719.0,-0.0151,-2251.0,0.0,0.0839,0.0537,21.0,18.0,-1844.0,-13210.0,-13210.0,-13210.0,-0.0142,1.0
2023-01-25,33922.0,32830.0,0.0093,-1209.0,0.0,0.1489,0.0711,20.0,20.0,782.0,-14419.0,-14419.0,-14419.0,-0.006366666666666666,1.0
2023-01-26,14024.0,13647.0,0.0075,-6554.0,0.0,0.1506,0.0824,17.0,23.0,-766.0,-20973.0,-20973.0,-20973.0,-0.0029000000000000002,1.0
2023-01-29,18917.0,19897.0,-0.0144,-11082.0,0.0,0.0923,0.0544,27.0,13.0,569.0,-32055.0,-32055.0,-32055.0,-0.005200000000000001,1.0
2023-01-30,22061.0,23011.0,-0.0123,5286.0,1.0,0.1105,0.0622,20.0,20.0,-1655.0,-15810.0,-26769.0,-26769.0,-0.006383333333333334,1.0
2023-01-31,23509.0,24732.0,-0.0137,9920.0,1.0,0.1117,0.0692,27.0,13.0,-382.0,-3639.0,-16849.0,-16849.0,-0.007428571428571429,1.0
2023-02-01,32006.0,32546.0,-0.0067,20950.0,1.0,0.1178,0.1096,26.0,12.0,8791.0,18520.0,4101.0,4101.0,-0.0073375,0.0
2023-02-02,25465.0,26548.0,-0.0127,9233.0,1.0,0.0791,0.0474,25.0,15.0,1656.0,34307.0,13334.0,13334.0,-0.007933333333333334,0.0
2023-02-05,15090.0,15190.0,-0.002,-1944.0,0.0,0.0892,0.0605,23.0,17.0,315.0,43445.0,11390.0,11390.0,-0.007340000000000001,0.0
2023-02-06,36445.0,37559.0,-0.0111,16063.0,1.0,0.1756,0.1303,28.0,12.0,13034.0,54222.0,27453.0,27453.0,-0.007681818181818182,0.0
2023-02-07,25351.0,26042.0,-0.008,8806.0,1.0,0.1216,0.0718,20.0,20.0,292.0,53108.0,36259.0,36259.0,-0.0077083333333333335,0.0
2023-02-08,20769.0,21278.0,-0.0086,4102.0,1.0,0.0922,0.0686,20.0,20.0,-1999.0,36260.0,40361.0,40361.0,-0.007776923076923076,0.0
