date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2024-01-14,9670.0,9670.0,0.0,-1180.0,0.0,0.21,0.1393,9.0,17.0,-3910.0,-1180.0,-1180.0,-1180.0,0.0,1.0
2024-01-16,10650.0,10650.0,0.0,-750.0,0.0,0.3157,0.2004,7.0,18.0,-100.0,-1930.0,-1930.0,-1930.0,0.0,1.0
2024-01-17,7350.0,7350.0,0.0,200.0,1.0,0.2886,0.173,6.0,19.0,-750.0,-1730.0,-1730.0,-1730.0,0.0,1.0
2024-01-18,5760.0,5760.0,0.0,-690.0,0.0,0.3938,0.2446,7.0,17.0,-1300.0,-2420.0,-2420.0,-2420.0,0.0,1.0
2024-01-21,9110.0,9110.0,0.0,-5510.0,0.0,0.5671,0.3002,4.0,19.0,-550.0,-7930.0,-7930.0,-7930.0,0.0,1.0
2024-01-22,3400.0,3400.0,0.0,1800.0,1.0,0.5,0.3286,4.0,15.0,-700.0,-4950.0,-6130.0,-6130.0,0.0,1.0
2024-01-23,5200.0,5200.0,0.0,450.0,1.0,0.3667,0.1609,4.0,15.0,-600.0,-3750.0,-5680.0,-5680.0,0.0,1.0
2024-01-24,4500.0,4500.0,0.0,2200.0,1.0,0.277,0.1385,6.0,14.0,1300.0,-1750.0,-3480.0,-3480.0,0.0,1.0
2024-01-25,3500.0,3500.0,0.0,-100.0,0.0,0.342,0.1585,3.0,15.0,1300.0,-1160.0,-3580.0,-3580.0,0.0,1.0
2024-01-28,4600.0,4600.0,0.0,1300.0,1.0,0.2108,0.125,7.0,15.0,1400.0,5650.0,-2280.0,-2280.0,0.0,0.0
2024-01-29,3700.0,3700.0,0.0,-600.0,0.0,0.2096,0.141,6.0,12.0,-1500.0,3250.0,-2880.0,-2880.0,0.0,0.0
2024-01-30,10530.0,10530.0,0.0,500.0,1.0,0.3096,0.1949,7.0,12.0,-1300.0,3300.0,-2380.0,-2380.0,0.0,0.0
2024-01-31,3950.0,3950.0,0.0,1350.0,1.0,0.4123,0.2778,4.0,13.0,-300.0,2450.0,-1030.0,-1030.0,0.0,0.0
2024-02-01,500.0,500.0,0.0,0.0,0.0,0.44,0.25,3.0,5.0,300.0,2550.0,-1030.0,-1030.0,0.0,0.0
2024-02-04,3400.0,3400.0,0.0,-1500.0,0.0,0.8875,0.4211,3.0,11.0,-200.0,-250.0,-2530.0,-2530.0,0.0,1.0
2024-02-05,3200.0,3200.0,0.0,0.0,0.0,0.4727,0.3281,6.0,9.0,-900.0,350.0,-2530.0,-2530.0,0.0,0.0
2024-02-06,1100.0,1100.0,0.0,-200.0,0.0,0.3223,0.1786,4.0,9.0,-300.0,-350.0,-2730.0,-2730.0,0.0,1.0
2024-02-07,2250.0,2250.0,0.0,-800.0,0.0,0.3304,0.1818,4.0,9.0,0.0,-2500.0,-3530.0,-3530.0,0.0,1.0
2024-02-08,2300.0,2300.0,0.0,-1900.0,0.0,0.6333,0.36,4.0,8.0,-300.0,-4400.0,-5430.0,-5430.0,0.0,1.0
2024-02-11,1500.0,1500.0,0.0,-200.0,0.0,0.44,0.1765,3.0,9.0,300.0,-3100.0,-5630.0,-5630.0,0.0,1.0
2024-02-12,3100.0,3100.0,0.0,300.0,1.0,0.4464,0.2571,4.0,10.0,-200.0,-2800.0,-4150.0,-5330.0,0.0,1.0
2024-02-13,1300.0,1300.0,0.0,-300.0,0.0,0.432,0.2857,4.0,9.0,-100.0,-2900.0,-3700.0,-5630.0,0.0,1.0
