date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.8319,0.8268,0.0051,0.2953,1.0,0.4861,0.5683,15.0,25.0,0.5683,0.2953,0.2953,0.2953,0.0051,0.0
2023-01-24,0.8655,0.8655,0.0,0.2775,1.0,0.2671,0.4052,13.0,17.0,-0.0962,0.5728,0.5728,0.5728,0.00255,0.0
2023-01-25,0.9358,0.9358,0.0,0.5469,1.0,0.4026,0.5792,21.0,16.0,0.007,1.1197000000000001,1.1197000000000001,1.1197000000000001,0.0017000000000000001,0.0
2023-01-26,0.6766,0.6766,0.0,0.0598,1.0,0.1884,0.2434,17.0,11.0,0.0539,1.1795000000000002,1.1795000000000002,1.1795000000000002,0.001275,0.0
2023-01-29,0.9184,0.9184,0.0,0.6123,1.0,0.344,0.5221,20.0,13.0,0.012,1.7918,1.7918,1.7918,0.00102,0.0
2023-01-30,0.7326,0.7326,0.0,-0.3119,0.0,0.1434,0.2239,17.0,17.0,0.0856,1.1846,1.4799,1.4799,0.0008500000000000001,0.0
2023-01-31,0.7825,0.7825,0.0,0.0874,1.0,0.2283,0.3294,19.0,15.0,-0.0409,0.9945,1.5673000000000001,1.5673000000000001,0.0007285714285714286,0.0
2023-02-01,0.7061,0.7061,0.0,0.1314,1.0,0.0782,0.1216,26.0,13.0,0.0385,0.579,1.6987,1.6987,0.0006375,0.0
2023-02-02,0.6565,0.6694,-0.0128,-0.1644,0.0,0.1044,0.1496,25.0,15.0,-0.0185,0.35479999999999995,1.5343,1.5343,-0.0008555555555555556,0.0
2023-02-05,0.9123,0.9123,0.0,-0.2439,0.0,0.0919,0.1842,24.0,11.0,-0.0024,-0.5014000000000001,1.2904,1.2904,-0.0007700000000000001,1.0
2023-02-06,0.8757,0.8757,0.0,0.2888,1.0,0.0741,0.1257,23.0,12.0,0.0139,0.0993,1.5792000000000002,1.5792000000000002,-0.0007,0.0
2023-02-07,0.6935,0.6935,0.0,-0.0081,0.0,0.2279,0.2302,18.0,17.0,0.034,0.0037999999999999944,1.5711,1.5711,-0.0006416666666666667,0.0
2023-02-08,0.8225,0.8225,0.0,0.4218,1.0,0.1415,0.2037,20.0,17.0,0.0255,0.2942,1.9929000000000001,1.9929000000000001,-0.0005923076923076923,0.0
2023-02-09,0.827,0.827,0.0,0.162,1.0,0.1857,0.2302,19.0,12.0,0.019,0.6206,2.1549,2.1549,-0.00055,0.0
2023-02-12,0.4067,0.4067,0.0,-0.0226,0.0,0.1172,0.078,19.0,12.0,-0.0111,0.8419,2.1323,2.1323,-0.0005133333333333333,0.0
2023-02-14,0.7876,0.7876,0.0,0.0879,1.0,0.1124,0.1715,24.0,11.0,0.0543,0.641,2.2202,2.2202,-0.00048125,0.0
2023-02-15,0.7399,0.7399,0.0,0.0275,1.0,0.1134,0.1517,22.0,13.0,0.0239,0.6766000000000001,2.2477,2.2477,-0.00045294117647058825,0.0
2023-02-16,0.7954,0.7954,0.0,0.2102,1.0,0.1893,0.208,17.0,22.0,0.1006,0.465,2.4579,2.4579,-0.0004277777777777778,0.0
2023-02-20,0.6973,0.7195,-0.0222,0.1491,1.0,0.0867,0.1154,31.0,9.0,0.0093,0.45210000000000006,2.607,2.607,-0.0015736842105263159,0.0
2023-02-22,0.8197,0.7981,0.0215,0.4556,1.0,0.4352,0.5207,16.0,24.0,-0.0148,0.9303,3.0626,3.0626,-0.00042000000000000007,0.0
2023-02-23,0.5946,0.5946,0.0,0.0374,1.0,0.0912,0.0933,21.0,14.0,-0.0788,0.8798,2.8047,3.1,-0.000675,0.0
2023-02-26,0.6775,0.6775,0.0,0.0953,1.0,0.114,0.1615,22.0,14.0,-0.0016,0.9476000000000001,2.6225,3.1953,-0.000675,0.0
2023-02-27,0.66,0.66,0.0,-0.3669,0.0,0.1595,0.1541,20.0,13.0,-0.0421,0.3705,1.7086999999999997,2.8284000000000002,-0.000675,0.0
2023-02-28,0.7914,0.7914,0.0,-0.0763,0.0,0.0813,0.1079,25.0,14.0,-0.109,0.14509999999999998,1.5725999999999998,2.7521,-0.000675,0.0
2023-03-01,0.9025,0.9025,0.0,-0.1127,0.0,0.1654,0.31,24.0,13.0,-0.0271,-0.4232,0.8476,2.6394,-0.000675,1.0
2023-03-02,0.7661,0.7661,0.0,0.1853,1.0,0.1256,0.2001,19.0,13.0,0.2001,-0.2753,1.3448,2.8247,-0.000675,1.0
2023-03-05,0.7459,0.7459,0.0,0.0,0.0,0.1661,0.2656,26.0,12.0,-0.0122,-0.3706,1.2574,2.8247,-0.000675,1.0
2023-03-07,0.9302,0.9302,0.0,-0.1837,0.0,0.1306,0.2006,19.0,12.0,0.031,-0.18739999999999998,0.9423000000000001,2.641,-0.000675,1.0
2023-03-09,0.8047,0.8047,0.0,-0.0553,0.0,0.1423,0.2518,21.0,18.0,-0.0688,-0.1664,1.0514,2.5857,-3.500000000000005e-05,1.0
2023-03-12,0.618,0.697,-0.0791,0.0123,1.0,0.0637,0.071,23.0,17.0,-0.0946,-0.041399999999999985,1.3075999999999999,2.598,-0.0039900000000000005,1.0
2023-03-13,0.645,0.7072,-0.0622,0.1772,1.0,0.0662,0.0887,26.0,14.0,0.0519,-0.04949999999999999,1.196,2.7752,-0.0071,1.0
2023-03-14,0.7907,0.8319,-0.0412,-0.1268,0.0,0.1878,0.3208,28.0,12.0,0.3208,-0.17629999999999998,1.0773,2.6484,-0.00916,1.0
2023-03-15,0.8237,0.8726,-0.0489,-0.3079,0.0,0.1117,0.2029,24.0,16.0,0.1119,-0.3005,0.3476,2.3405,-0.011605,1.0
2023-03-16,0.7322,0.7232,0.009,-0.1119,0.0,0.1097,0.1511,20.0,20.0,-0.0485,-0.3571,0.07369999999999996,2.2286,-0.011155000000000002,1.0
2023-03-19,0.7347,0.7386,-0.0039,-0.1101,0.0,0.1167,0.162,20.0,20.0,0.0034,-0.47950000000000004,-0.013800000000000048,2.1185,-0.01135,1.0
2023-03-20,0.7488,0.7434,0.0054,0.1321,1.0,0.1965,0.2999,20.0,20.0,-0.0396,-0.5246000000000001,0.03039999999999994,2.2506,-0.011080000000000001,1.0
2023-03-22,0.7748,0.7982,-0.0234,0.0886,1.0,0.1242,0.1729,26.0,14.0,0.1651,-0.30920000000000003,0.09149999999999994,2.3392,-0.01225,1.0
2023-03-23,0.7466,0.7969,-0.0503,-0.2553,0.0,0.0863,0.1528,26.0,14.0,-0.5264,-0.2566,-0.3740000000000001,2.0839,-0.014765,1.0
2023-03-26,0.8096,0.8249,-0.0154,-0.1252,0.0,0.0806,0.1229,23.0,17.0,0.1117,-0.26990000000000003,-0.6483000000000001,1.9586999999999999,-0.014425000000000002,1.0
2023-03-27,0.7873,0.8213,-0.034,-0.139,0.0,0.1305,0.2338,23.0,17.0,0.064,-0.2988,-1.2429000000000001,1.8196999999999999,-0.0172,1.0
2023-03-28,0.6891,0.7132,-0.0241,-0.2066,0.0,0.12,0.1776,22.0,18.0,-0.0556,-0.6375,-1.4869,1.6131,-0.018405,1.0
2023-03-29,0.7515,0.7522,-0.0007,-0.2003,0.0,0.142,0.182,21.0,19.0,-0.0339,-0.9264,-1.7825000000000002,1.4127999999999998,-0.01844,1.0
2023-03-30,0.7043,0.7218,-0.0174,-0.2891,0.0,0.1085,0.1689,24.0,16.0,0.0871,-0.9602,-1.7047,1.1237,-0.01931,1.0
2023-04-02,0.7572,0.7863,-0.0291,-0.0984,0.0,0.0764,0.1134,24.0,16.0,-0.1163,-0.9334,-1.7268000000000001,1.0252999999999999,-0.020765,1.0
2023-04-03,0.6302,0.6552,-0.025,-0.1451,0.0,0.1137,0.1326,25.0,15.0,0.1133,-0.9395,-1.7592,0.8801999999999999,-0.022015,1.0
2023-04-04,0.6974,0.7774,-0.08,0.4038,1.0,0.0898,0.1482,34.0,6.0,0.0164,-0.32909999999999995,-1.5407000000000002,1.2839999999999998,-0.026015,1.0
2023-04-05,0.7886,0.8254,-0.0368,-0.264,0.0,0.106,0.1863,24.0,16.0,-0.0572,-0.3928,-1.8047000000000002,1.02,-0.027855,1.0
2023-04-06,0.7465,0.7508,-0.0043,-0.1491,0.0,0.0983,0.1149,20.0,20.0,-0.2032,-0.25279999999999997,-1.7701000000000002,0.8708999999999999,-0.02807,1.0
2023-04-09,0.7446,0.747,-0.0024,0.0603,1.0,0.1295,0.1922,20.0,20.0,-0.0414,-0.09409999999999999,-1.6545,0.9311999999999999,-0.028190000000000003,1.0
2023-04-10,0.6042,0.6035,0.0007,-0.2125,0.0,0.1273,0.1643,20.0,20.0,0.0198,-0.16149999999999998,-1.8793,0.7186999999999999,-0.0242,1.0
2023-04-11,0.6477,0.648,-0.0003,0.1141,1.0,0.1224,0.1464,20.0,20.0,0.0218,-0.45119999999999993,-1.9424000000000003,0.8327999999999999,-0.021105,1.0
2023-04-12,0.6954,0.6995,-0.0041,0.0829,1.0,0.1039,0.1276,20.0,20.0,0.0496,-0.10429999999999996,-1.7327000000000001,0.9156999999999998,-0.019249999999999996,1.0
2023-04-13,0.6572,0.653,0.0042,-0.1897,0.0,0.2446,0.304,20.0,20.0,-0.0498,-0.14489999999999997,-1.6145000000000003,0.7259999999999999,-0.016595,1.0
2023-04-16,0.7149,0.7133,0.0016,-0.2234,0.0,0.1005,0.1307,20.0,20.0,0.0459,-0.4285999999999999,-1.726,0.5025999999999999,-0.016965,1.0
2023-04-17,0.7657,0.7678,-0.0021,-0.139,0.0,0.141,0.2153,20.0,20.0,0.008,-0.35509999999999997,-1.7549000000000001,0.36359999999999987,-0.016874999999999998,1.0
2023-04-18,0.7752,0.7752,0.0,-0.063,0.0,0.1629,0.1882,19.0,17.0,0.1882,-0.5321999999999999,-1.9500000000000002,0.30059999999999987,-0.017145,1.0
2023-04-19,0.7612,0.7688,-0.0076,0.2181,1.0,0.2025,0.2983,25.0,15.0,0.0527,-0.3969999999999999,-1.8205000000000002,0.5186999999999998,-0.016355,1.0
2023-04-20,0.7859,0.7861,-0.0002,-0.0264,0.0,0.1093,0.1313,20.0,20.0,0.1304,-0.23369999999999994,-1.5916000000000001,0.49229999999999985,-0.013850000000000001,1.0
2023-04-23,0.7816,0.7901,-0.0085,-0.3789,0.0,0.0959,0.1715,22.0,18.0,-0.0449,-0.3892,-1.8453000000000002,0.11339999999999983,-0.013504999999999998,1.0
2023-04-24,0.7607,0.7657,-0.005,-0.0354,0.0,0.1599,0.205,21.0,19.0,-0.106,-0.28559999999999997,-1.7417,0.07799999999999983,-0.012055,1.0
2023-04-25,0.855,0.8545,0.0005,-0.1531,0.0,0.1636,0.2715,20.0,20.0,0.0385,-0.3757,-1.6882,-0.3704000000000002,-0.010825,1.0
2023-04-26,0.8923,0.8928,-0.0005,0.2192,1.0,0.1625,0.2879,20.0,19.0,-0.0494,-0.3746,-1.2687,-0.42870000000000014,-0.010815000000000002,1.0
2023-04-27,0.8212,0.8021,0.0191,0.2536,1.0,0.3965,0.4894,16.0,24.0,0.4894,-0.09459999999999996,-0.726,-0.7220000000000002,-0.008990000000000001,1.0
2023-04-30,0.7569,0.7327,0.0242,-0.1269,0.0,0.4469,0.4954,17.0,23.0,0.028,0.15740000000000004,-0.7545,-0.9087000000000003,-0.006325,0.0
2023-05-02,0.8066,0.8112,-0.0046,-0.1365,0.0,0.0688,0.0934,27.0,13.0,0.0399,0.05630000000000002,-0.7459,-1.6575000000000002,-0.005305,0.0
2023-05-03,0.7487,0.7487,0.0,-0.0055,0.0,0.1509,0.2002,21.0,15.0,0.0069,0.20390000000000003,-1.1552000000000002,-1.3511000000000002,-0.0013050000000000002,0.0
2023-05-04,0.6787,0.6699,0.0089,-0.1198,0.0,0.4196,0.4289,18.0,22.0,0.0203,-0.1351,-1.0110000000000001,-1.5583000000000002,0.00098,1.0
2023-05-07,0.6649,0.6649,0.0,-0.1778,0.0,0.1559,0.2005,19.0,16.0,-0.016,-0.5665,-1.0397,-1.8675000000000002,0.0011949999999999999,1.0
