date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.4357,0.4518,-0.0161,0.0938,1.0,0.0797,0.0741,20.0,20.0,0.0543,0.0938,0.0938,0.0938,-0.0161,0.0
2023-01-24,0.5312,0.5142,0.017,-0.2045,0.0,0.1747,0.1508,20.0,20.0,-0.0136,-0.11069999999999999,-0.11069999999999999,-0.11069999999999999,0.00045000000000000075,1.0
2023-01-25,0.5173,0.5015,0.0158,0.2014,1.0,0.2659,0.2325,20.0,20.0,0.2325,0.0907,0.0907,0.0907,0.005566666666666668,0.0
2023-01-26,0.4816,0.4673,0.0143,0.0971,1.0,0.0931,0.1028,20.0,20.0,-0.047,0.18780000000000002,0.18780000000000002,0.18780000000000002,0.007750000000000001,0.0
2023-01-29,0.4793,0.4805,-0.0011,-0.0053,0.0,0.3975,0.2976,20.0,20.0,-0.1242,0.1825,0.1825,0.1825,0.005980000000000001,0.0
2023-01-30,0.5092,0.5569,-0.0477,-0.1441,0.0,0.067,0.07,20.0,20.0,-0.0759,-0.055400000000000005,0.03839999999999999,0.03839999999999999,-0.002966666666666666,1.0
2023-01-31,0.4409,0.4363,0.0046,-0.0647,0.0,0.1,0.0933,20.0,20.0,-0.0735,0.08439999999999999,-0.026300000000000004,-0.026300000000000004,-0.0018857142857142853,0.0
2023-02-01,0.5656,0.5553,0.0103,-0.0685,0.0,0.0852,0.0758,20.0,20.0,0.0021,-0.1855,-0.09480000000000001,-0.09480000000000001,-0.00036249999999999954,1.0
2023-02-02,0.5601,0.5738,-0.0137,0.0831,1.0,0.0704,0.0626,20.0,20.0,0.04,-0.19950000000000004,-0.011700000000000016,-0.011700000000000016,-0.0018444444444444441,1.0
2023-02-05,0.6291,0.6311,-0.002,-0.1158,0.0,0.0876,0.0912,20.0,20.0,0.06,-0.31,-0.1275,-0.1275,-0.0018599999999999999,1.0
2023-02-06,0.4937,0.4969,-0.0033,0.2783,1.0,0.0804,0.0655,20.0,20.0,0.02,0.1124,0.1508,0.1508,-0.0019909090909090905,0.0
2023-02-07,0.5389,0.5697,-0.0308,-0.1179,0.0,0.0653,0.0723,20.0,20.0,0.0232,0.059199999999999975,0.032899999999999985,0.032899999999999985,-0.004391666666666666,0.0
2023-02-08,0.4756,0.4598,0.0158,0.0987,1.0,0.14,0.125,20.0,20.0,-0.0239,0.2264,0.1316,0.1316,-0.002838461538461538,0.0
2023-02-09,0.4859,0.5012,-0.0153,-0.2178,0.0,0.082,0.0902,20.0,20.0,0.0408,-0.07449999999999998,-0.0862,-0.0862,-0.0037285714285714283,1.0
2023-02-12,0.4827,0.4799,0.0028,0.0335,1.0,0.0959,0.1059,20.0,20.0,-0.0418,0.07480000000000002,-0.0527,-0.0527,-0.003293333333333333,0.0
