date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,6909.0,7510.0,-0.016,-46.0,0.0,0.0699,0.022,21.0,19.0,-20.0,-46.0,-46.0,-46.0,-0.016,1.0
2023-01-24,9970.0,10392.0,-0.0136,3481.0,1.0,0.0895,0.0616,20.0,20.0,1045.0,3435.0,3435.0,3435.0,-0.0148,0.0
2023-01-25,6854.0,7160.0,-0.0103,915.0,1.0,0.0772,0.0349,20.0,19.0,723.0,4350.0,4350.0,4350.0,-0.0133,0.0
2023-01-26,5176.0,5616.0,-0.0217,1855.0,1.0,0.0622,0.0267,25.0,15.0,318.0,6205.0,6205.0,6205.0,-0.0154,0.0
2023-01-29,7349.0,8583.0,-0.0425,2732.0,1.0,0.0661,0.0391,28.0,12.0,729.0,8937.0,8937.0,8937.0,-0.020819999999999998,0.0
2023-01-30,5393.0,6015.0,-0.0231,1720.0,1.0,0.0597,0.0222,22.0,18.0,234.0,10703.0,10657.0,10657.0,-0.0212,0.0
2023-01-31,9579.0,10896.0,-0.0376,4016.0,1.0,0.0655,0.034,23.0,17.0,980.0,11238.0,14673.0,14673.0,-0.023542857142857143,0.0
2023-02-01,8943.0,9257.0,-0.0111,3265.0,1.0,0.1192,0.0728,21.0,19.0,497.0,13588.0,17938.0,17938.0,-0.0219875,0.0
2023-02-02,8759.0,8621.0,0.0045,600.0,1.0,0.1113,0.0734,20.0,20.0,98.0,12333.0,18538.0,18538.0,-0.019044444444444444,0.0
2023-02-05,7900.0,7843.0,0.0019,-316.0,0.0,0.1158,0.0639,20.0,20.0,287.0,9285.0,18222.0,18222.0,-0.01695,0.0
2023-02-06,8244.0,8073.0,0.0051,3695.0,1.0,0.1373,0.0772,20.0,20.0,492.0,11260.0,21917.0,21917.0,-0.014945454545454545,0.0
2023-02-07,9921.0,9745.0,0.004,2353.0,1.0,0.0787,0.0405,20.0,20.0,1093.0,9597.0,24270.0,24270.0,-0.013366666666666667,0.0
2023-02-08,7129.0,7390.0,-0.0083,3527.0,1.0,0.0871,0.0407,20.0,20.0,1282.0,9859.0,27797.0,27797.0,-0.012976923076923079,0.0
2023-02-09,4464.0,4605.0,-0.0069,1649.0,1.0,0.0949,0.0386,20.0,20.0,548.0,10908.0,29446.0,29446.0,-0.012542857142857144,0.0
2023-02-12,20329.0,22523.0,-0.0238,6351.0,1.0,0.0575,0.0223,23.0,17.0,1118.0,17575.0,35797.0,35797.0,-0.013293333333333332,0.0
2023-02-14,13474.0,14226.0,-0.0135,6414.0,1.0,0.1262,0.0696,20.0,20.0,1211.0,20294.0,42211.0,42211.0,-0.01330625,0.0
2023-02-15,6245.0,7110.0,-0.034,-1988.0,0.0,0.065,0.0301,25.0,15.0,-973.0,15953.0,40223.0,40223.0,-0.014523529411764706,0.0
2023-02-16,7675.0,8121.0,-0.0119,-176.0,0.0,0.0712,0.0278,20.0,19.0,762.0,12250.0,40047.0,40047.0,-0.01437777777777778,0.0
2023-02-20,28104.0,29377.0,-0.0085,616.0,1.0,0.1034,0.0444,20.0,20.0,2486.0,11217.0,40663.0,40663.0,-0.014068421052631577,0.0
2023-02-22,21786.0,23309.0,-0.0149,9456.0,1.0,0.1129,0.0512,21.0,19.0,-90.0,14322.0,50119.0,50119.0,-0.014110000000000001,0.0
2023-02-23,11544.0,12254.0,-0.0134,362.0,1.0,0.0717,0.0334,20.0,20.0,-68.0,8270.0,50527.0,50481.0,-0.013980000000000001,0.0
2023-02-26,15115.0,16844.0,-0.0218,-2220.0,0.0,0.0861,0.0415,21.0,19.0,-706.0,8038.0,44826.0,48261.0,-0.01439,0.0
2023-02-27,10506.0,11859.0,-0.0274,326.0,1.0,0.0612,0.0203,22.0,17.0,977.0,8540.0,44237.0,48587.0,-0.015245,0.0
2023-02-28,7386.0,8278.0,-0.0316,4440.0,1.0,0.0688,0.0346,21.0,18.0,538.0,12364.0,46822.0,53027.0,-0.01574,0.0
2023-03-01,7602.0,7759.0,-0.0057,3836.0,1.0,0.1769,0.1053,20.0,20.0,607.0,6744.0,47926.0,56863.0,-0.0139,0.0
2023-03-02,14766.0,17733.0,-0.0461,3979.0,1.0,0.0593,0.0275,22.0,18.0,720.0,10361.0,50185.0,60842.0,-0.015050000000000003,0.0
2023-03-05,15175.0,17990.0,-0.0406,-3843.0,0.0,0.0515,0.0199,28.0,12.0,-1490.0,8738.0,42326.0,56999.0,-0.0152,0.0
2023-03-07,23494.0,26962.0,-0.0426,4454.0,1.0,0.0762,0.0549,29.0,11.0,-5484.0,12866.0,43515.0,61453.0,-0.016775,0.0
2023-03-09,13199.0,15003.0,-0.0358,2338.0,1.0,0.068,0.035,28.0,12.0,430.0,10764.0,45253.0,63791.0,-0.01879,0.0
2023-03-12,10884.0,11748.0,-0.0179,1597.0,1.0,0.0747,0.0317,22.0,18.0,614.0,8525.0,47166.0,65388.0,-0.01978,0.0
2023-03-13,11437.0,11820.0,-0.0099,3042.0,1.0,0.1357,0.0764,21.0,19.0,-713.0,7588.0,46513.0,68430.0,-0.02053,0.0
2023-03-14,6153.0,6656.0,-0.0217,1176.0,1.0,0.0755,0.0398,22.0,18.0,-937.0,12607.0,45336.0,69606.0,-0.021815,0.0
2023-03-15,11065.0,11704.0,-0.0178,2665.0,1.0,0.1142,0.0864,20.0,19.0,-361.0,10818.0,44474.0,72271.0,-0.022289999999999997,0.0
2023-03-16,8929.0,9216.0,-0.0082,2075.0,1.0,0.1248,0.0683,20.0,20.0,207.0,10555.0,44900.0,74346.0,-0.022355000000000003,0.0
2023-03-19,11056.0,12065.0,-0.019,1339.0,1.0,0.0634,0.0216,20.0,20.0,781.0,10297.0,39888.0,75685.0,-0.022115,0.0
2023-03-20,8289.0,8972.0,-0.0228,-31.0,0.0,0.0936,0.0504,20.0,19.0,-297.0,7224.0,33443.0,75654.0,-0.02258,0.0
2023-03-22,10592.0,11319.0,-0.0176,2134.0,1.0,0.0777,0.0357,20.0,20.0,0.0,8182.0,37565.0,77788.0,-0.021759999999999998,0.0
2023-03-23,11991.0,12182.0,-0.0045,891.0,1.0,0.102,0.0581,20.0,20.0,-2050.0,6408.0,38632.0,78679.0,-0.02139,0.0
2023-03-26,16510.0,18595.0,-0.0245,-2682.0,0.0,0.0726,0.0336,23.0,17.0,-633.0,1651.0,35334.0,75997.0,-0.02219,0.0
2023-03-27,13087.0,13906.0,-0.014,-320.0,0.0,0.1098,0.0535,22.0,18.0,245.0,-8.0,25558.0,75677.0,-0.022145,1.0
2023-03-28,11146.0,11969.0,-0.0154,1048.0,1.0,0.0702,0.0261,20.0,20.0,-556.0,1071.0,26244.0,76725.0,-0.022244999999999997,0.0
2023-03-29,6008.0,5839.0,0.0079,-532.0,0.0,0.0752,0.0396,20.0,20.0,-426.0,-1595.0,27932.0,76193.0,-0.02076,1.0
2023-03-30,7799.0,8353.0,-0.0186,-410.0,0.0,0.0782,0.0324,22.0,18.0,729.0,-2896.0,27196.0,75783.0,-0.020319999999999998,1.0
2023-04-02,5359.0,5803.0,-0.0185,1558.0,1.0,0.0752,0.0343,21.0,18.0,-42.0,1344.0,24314.0,77341.0,-0.019665,0.0
2023-04-03,5669.0,5920.0,-0.0122,1609.0,1.0,0.0712,0.0339,20.0,20.0,619.0,3273.0,22087.0,78950.0,-0.01999,0.0
2023-04-04,5871.0,6335.0,-0.0186,2893.0,1.0,0.074,0.027,20.0,18.0,675.0,5118.0,21001.0,81843.0,-0.018615,0.0
2023-04-05,3994.0,4157.0,-0.0113,719.0,1.0,0.1105,0.0721,21.0,19.0,193.0,6369.0,25563.0,82562.0,-0.017150000000000002,0.0
2023-04-06,6733.0,7255.0,-0.0222,-864.0,0.0,0.0641,0.0314,21.0,18.0,-708.0,5915.0,20245.0,81698.0,-0.01613,0.0
2023-04-09,8449.0,9892.0,-0.0422,-1837.0,0.0,0.0564,0.0232,27.0,13.0,-426.0,2520.0,16070.0,79861.0,-0.01645,0.0
2023-04-10,7144.0,7475.0,-0.0141,-1217.0,0.0,0.0664,0.0341,20.0,20.0,723.0,-306.0,13256.0,78644.0,-0.01626,1.0
2023-04-11,9609.0,9645.0,-0.0012,899.0,1.0,0.2175,0.1349,20.0,20.0,319.0,-2300.0,11113.0,79543.0,-0.015825,1.0
2023-04-12,16267.0,15287.0,0.0178,10351.0,1.0,0.2317,0.1327,19.0,21.0,1321.0,7332.0,20288.0,89894.0,-0.013850000000000001,0.0
2023-04-13,13351.0,14640.0,-0.0244,8290.0,1.0,0.0795,0.0476,26.0,14.0,1121.0,16486.0,25913.0,98184.0,-0.014180000000000002,0.0
2023-04-16,7793.0,8468.0,-0.0254,3515.0,1.0,0.1239,0.0891,21.0,19.0,305.0,21838.0,27353.0,101699.0,-0.015039999999999998,0.0
2023-04-17,7598.0,8272.0,-0.0266,3194.0,1.0,0.0725,0.0468,24.0,16.0,1188.0,26249.0,29208.0,104893.0,-0.01542,0.0
2023-04-18,4618.0,5196.0,-0.0245,2187.0,1.0,0.0609,0.0252,25.0,15.0,596.0,27537.0,31426.0,107080.0,-0.015505,0.0
2023-04-19,4639.0,4819.0,-0.0111,-370.0,0.0,0.0923,0.0576,21.0,19.0,332.0,16816.0,28922.0,106710.0,-0.015180000000000003,0.0
2023-04-20,4173.0,4454.0,-0.0197,2343.0,1.0,0.0865,0.0597,21.0,18.0,97.0,10869.0,30374.0,109053.0,-0.015940000000000003,0.0
2023-04-23,4821.0,5566.0,-0.0435,996.0,1.0,0.0576,0.0282,25.0,13.0,-1035.0,8350.0,34052.0,110049.0,-0.01689,0.0
