date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,30758.0,30756.0,0.0,-12942.0,0.0,0.1477,0.1125,20.0,20.0,1655.0,-12942.0,-12942.0,-12942.0,0.0,1.0
2023-01-24,18902.0,18902.0,0.0,5332.0,1.0,0.224,0.1551,14.0,23.0,1360.0,-7610.0,-7610.0,-7610.0,0.0,1.0
2023-01-25,55250.0,54017.0,0.0083,32532.0,1.0,0.3081,0.1915,20.0,20.0,-10354.0,24922.0,24922.0,24922.0,0.002766666666666667,0.0
2023-01-26,33349.0,33269.0,0.0008,2517.0,1.0,0.1064,0.0602,20.0,20.0,-1359.0,27439.0,27439.0,27439.0,0.002275,0.0
2023-01-29,35165.0,35290.0,-0.0013,-6402.0,0.0,0.0818,0.0572,20.0,20.0,-5465.0,21037.0,21037.0,21037.0,0.00156,0.0
2023-01-30,21773.0,22122.0,-0.0057,-12649.0,0.0,0.0991,0.0741,20.0,19.0,-1932.0,21330.0,8388.0,8388.0,0.0003499999999999999,0.0
2023-01-31,17639.0,17879.0,-0.0049,-3721.0,0.0,0.1005,0.0616,20.0,19.0,2998.0,12277.0,4667.0,4667.0,-0.0004000000000000001,0.0
2023-02-01,13572.0,13553.0,0.0006,-5537.0,0.0,0.1783,0.1148,17.0,23.0,-4993.0,-25792.0,-870.0,-870.0,-0.00027500000000000007,1.0
2023-02-02,24375.0,24375.0,0.0,-6153.0,0.0,0.2338,0.1778,18.0,19.0,-9940.0,-34462.0,-7023.0,-7023.0,-0.0002444444444444445,1.0
2023-02-05,17393.0,17393.0,0.0,-6684.0,0.0,0.1634,0.1177,14.0,24.0,-976.0,-34744.0,-13707.0,-13707.0,-0.00022000000000000006,1.0
2023-02-06,9311.0,9311.0,0.0,-4666.0,0.0,0.2702,0.1784,11.0,23.0,-500.0,-26761.0,-18373.0,-18373.0,-0.00020000000000000006,1.0
