date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.994,0.994,0.0,-0.1157,0.0,0.39,0.5964,11.0,4.0,0.5964,-0.1157,-0.1157,-0.1157,0.0,1.0
2023-01-24,0.981,0.981,0.0,0.4036,1.0,0.9745,0.9684,3.0,14.0,-0.0016,0.28790000000000004,0.28790000000000004,0.28790000000000004,0.0,0.0
2023-01-25,0.9851,0.9851,0.0,0.5188,1.0,0.8027,0.8788,3.0,9.0,-0.3037,0.8067,0.8067,0.8067,0.0,0.0
2023-01-26,1.0,1.0,0.0,0.3911,1.0,0.9221,0.9594,2.0,6.0,0.0,1.1978,1.1978,1.1978,0.0,0.0
2023-01-29,0.998,0.998,0.0,0.4185,1.0,0.9941,0.9951,2.0,6.0,0.0,1.6162999999999998,1.6162999999999998,1.6162999999999998,0.0,0.0
2023-01-30,1.0,1.0,0.0,0.8,1.0,1.0,1.0,1.0,2.0,0.0,2.532,2.4163,2.4163,0.0,0.0
2023-01-31,0.9528,0.9528,0.0,-0.48,0.0,0.3964,0.513,3.0,7.0,0.0,1.6484,1.9363000000000001,1.9363000000000001,0.0,0.0
2023-02-01,1.0,1.0,0.0,0.8902,1.0,0.7623,0.8659,3.0,2.0,0.0,2.0198,2.8265000000000002,2.8265000000000002,0.0,0.0
2023-02-02,0.9799,0.9799,0.0,0.777,1.0,0.6259,0.7618,6.0,4.0,0.7618,2.4057,3.6035,3.6035,0.0,0.0
2023-02-05,0.9311,0.9311,0.0,-0.7187,0.0,0.3785,0.485,5.0,2.0,0.0,1.2685,2.8848000000000003,2.8848000000000003,0.0,0.0
2023-02-06,1.0,1.0,0.0,0.1429,1.0,0.4286,0.5714,3.0,3.0,0.0,0.6113999999999999,3.0277,3.0277,0.0,0.0
2023-02-07,1.0,1.0,0.0,-0.0682,0.0,0.4189,0.5945,5.0,6.0,0.0,1.0231999999999999,2.9595000000000002,2.9595000000000002,0.0,0.0
2023-02-08,0.9901,0.9901,0.0,0.1877,1.0,0.4838,0.5247,3.0,4.0,0.0,0.32069999999999993,3.1472,3.1472,0.0,0.0
2023-02-09,1.0,1.0,0.0,-0.0826,0.0,0.2419,0.2822,5.0,4.0,0.0,-0.5389000000000002,3.0646,3.0646,0.0,1.0
2023-02-14,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.1797999999999999,3.0646,3.0646,0.0,0.0
2023-02-15,0.7885,0.7885,0.0,0.1474,1.0,0.2404,0.3205,7.0,4.0,-0.016,0.1842999999999999,3.212,3.212,0.0,0.0
2023-02-16,0.9765,0.9765,0.0,0.5938,1.0,0.4251,0.5879,6.0,2.0,0.5879,0.8462999999999998,3.8058,3.8058,0.0,0.0
2023-02-20,1.0,1.0,0.0,0.6,1.0,0.68,0.8,2.0,3.0,0.0,1.2586,4.4058,4.4058,0.0,0.0
2023-02-22,0.2751,0.2751,0.0,-0.2314,0.0,0.4274,0.131,4.0,3.0,0.0,1.1098,4.1744,4.1744,0.0,0.0
2023-02-23,1.0,1.0,0.0,0.0848,1.0,0.7,0.8304,5.0,3.0,0.0,1.1945999999999999,4.2592,4.2592,0.0,0.0
2023-02-27,0.9109,0.9109,0.0,-0.4991,0.0,0.3589,0.3957,3.0,4.0,0.0,0.5481,3.8758000000000004,3.7601,0.0,0.0
2023-02-28,1.0,1.0,0.0,0.6667,1.0,0.3333,0.3333,3.0,3.0,0.0,0.6209999999999999,4.1389,4.4268,0.0,0.0
2023-03-01,0.9889,0.9889,0.0,0.6274,1.0,0.3058,0.4605,6.0,1.0,0.4605,0.6483999999999999,4.2475,5.0542,0.0,0.0
2023-03-02,1.0,1.0,0.0,-0.2033,0.0,0.8552,0.9214,2.0,4.0,0.0,0.6764999999999999,3.6531000000000002,4.8509,0.0,0.0
2023-03-05,0.064,0.064,0.0,0.0384,1.0,0.44,0.0384,3.0,2.0,0.0,0.6300999999999998,3.273,4.8893,0.0,0.0
2023-03-07,1.0,1.0,0.0,0.5482,1.0,0.4139,0.5482,3.0,2.0,0.0,1.6773999999999998,3.0212,5.4375,0.0,0.0
2023-03-09,0.6676,0.6676,0.0,-0.5349,0.0,0.3221,0.2953,6.0,6.0,-0.2953,0.4757999999999999,2.9663,4.9026,0.0,0.0
2023-03-12,0.6667,0.6667,0.0,0.3333,1.0,0.5,0.3333,2.0,1.0,0.0,0.18169999999999992,2.4093999999999998,5.2359,0.0,0.0
2023-03-13,1.0,1.0,0.0,0.2,1.0,0.36,0.4,3.0,3.0,0.0,0.585,1.8323999999999998,5.4359,0.0,0.0
2023-03-14,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.5466,2.5511,5.4359,0.0,0.0
2023-03-15,0.9481,0.9481,0.0,-0.9481,0.0,0.5275,0.6364,4.0,3.0,0.0,-0.9497000000000002,1.4600999999999997,4.4878,0.0,1.0
2023-03-16,1.0,1.0,0.0,-1.0,0.0,0.8025,0.8889,2.0,1.0,0.0,-1.4148,0.5282999999999997,3.4878,0.0,1.0
2023-03-19,1.0,1.0,0.0,-0.0685,0.0,0.2386,0.3336,6.0,2.0,0.0,-1.8166000000000002,0.27209999999999973,3.4193,0.0,1.0
2023-03-20,1.0,1.0,0.0,-0.4338,0.0,0.4833,0.613,4.0,7.0,-0.3226,-2.4504,-0.07910000000000028,2.9855,0.0,1.0
2023-03-22,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,-2.4504,-0.07910000000000028,2.9855,0.0,1.0
2023-03-26,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.5023000000000002,0.7734999999999997,3.9855,0.0,1.0
2023-03-27,1.0,1.0,0.0,-0.5901,0.0,1.0,1.0,1.0,6.0,0.0,-0.09240000000000015,-0.4104000000000002,3.3954,0.0,1.0
2023-03-28,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,-0.023900000000000143,-1.0104000000000002,3.3954,0.0,1.0
