date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2026-03-12,1.0,1.0,0.0,-0.7333,0.0,0.5022,0.6667,3.0,10.0,-0.2,-0.7333,-0.7333,-0.7333,0.0,1.0
2026-03-15,0.9286,0.9286,0.0,-0.5714,0.0,0.3609,0.5,5.0,9.0,-0.2143,-1.3047,-1.3047,-1.3047,0.0,1.0
2026-03-16,0.9333,0.9333,0.0,-0.6,0.0,0.5612,0.6667,3.0,9.0,-0.2,-1.9047,-1.9047,-1.9047,0.0,1.0
2026-03-17,1.0,1.0,0.0,-0.5556,0.0,0.358,0.5556,5.0,7.0,-0.3333,-2.4603,-2.4603,-2.4603,0.0,1.0
2026-03-19,0.9474,0.9474,0.0,-0.3684,0.0,0.5432,0.6842,5.0,11.0,-0.1053,-2.8287,-2.8287,-2.8287,0.0,1.0
2026-03-22,0.9333,0.9333,0.0,-0.5333,0.0,0.6888,0.7667,4.0,17.0,-0.2,-2.6287000000000003,-3.362,-3.362,0.0,1.0
2026-03-23,0.88,0.88,0.0,-0.6,0.0,0.9132,0.84,2.0,15.0,-0.2,-2.6572999999999998,-3.9619999999999997,-3.9619999999999997,0.0,1.0
2026-03-24,0.95,0.95,0.0,-0.7,0.0,0.5623,0.7,5.0,11.0,-0.35,-2.7573,-4.662,-4.662,0.0,1.0
2026-03-25,0.963,0.963,0.0,-0.4815,0.0,0.6095,0.7407,5.0,18.0,-0.1852,-2.6832,-5.1434999999999995,-5.1434999999999995,0.0,1.0
2026-03-26,0.9038,0.9038,0.0,-0.524,0.0,0.4986,0.625,6.0,14.0,-0.1875,-2.8388,-5.6674999999999995,-5.6674999999999995,0.0,1.0
2026-03-29,1.0,1.0,0.0,-0.6098,0.0,0.6954,0.8293,6.0,21.0,-0.1707,-2.9153000000000002,-6.277299999999999,-6.277299999999999,0.0,1.0
2026-03-30,0.9362,0.9362,0.0,-0.5319,0.0,0.7211,0.7872,4.0,25.0,-0.1489,-2.8472,-6.8092,-6.8092,0.0,1.0
2026-03-31,0.973,0.973,0.0,-0.5405,0.0,0.8935,0.9189,3.0,22.0,-0.1892,-2.6877,-7.3496999999999995,-7.3496999999999995,0.0,1.0
2026-04-01,1.0,1.0,0.0,-0.5778,0.0,0.8736,0.9333,3.0,22.0,-0.1111,-2.784,-7.9275,-7.9275,0.0,1.0
2026-04-02,1.0,1.0,0.0,-0.6441,0.0,0.8391,0.9153,6.0,25.0,-0.2034,-2.9040999999999997,-8.5716,-8.5716,0.0,1.0
2026-04-05,0.9792,0.9583,0.0208,-0.5521,0.0,0.9584,0.9583,2.0,36.0,-0.1458,-2.8464,-9.1237,-9.1237,0.0013,1.0
2026-04-06,0.9847,0.916,0.0687,-0.5573,0.0,0.7207,0.8244,4.0,36.0,-0.2137,-2.8718000000000004,-9.681,-9.681,0.005264705882352941,1.0
2026-04-07,1.0,1.0,0.0,-0.6147,0.0,0.9461,0.9725,3.0,37.0,-0.1468,-2.9459999999999997,-10.2957,-10.2957,0.004972222222222222,1.0
2026-04-08,0.9918,0.8852,0.1066,-0.5656,0.0,0.7053,0.8197,5.0,35.0,-0.1967,-2.9338,-10.8613,-10.8613,0.010321052631578948,1.0
2026-04-09,0.9707,0.8661,0.1046,-0.6067,0.0,0.9829,0.9623,3.0,36.0,-0.2008,-2.8964000000000003,-11.468,-11.468,0.015034999999999998,1.0
2026-04-10,0.9907,0.8785,0.1121,-0.5748,0.0,0.4891,0.5467,4.0,36.0,-0.1682,-2.9191,-11.3095,-12.0428,0.02064,1.0
2026-04-13,0.9928,0.8101,0.1827,-0.5721,0.0,0.5633,0.6731,2.0,37.0,-0.1442,-2.9339,-11.3102,-12.6149,0.029775000000000003,1.0
2026-04-15,0.992,0.7173,0.2747,-0.504,0.0,0.9735,0.9787,2.0,38.0,-0.1467,-2.8232000000000004,-11.2142,-13.1189,0.04351,1.0
2026-04-16,0.9866,0.7767,0.2099,-0.5611,0.0,1.0,0.9866,1.0,38.0,-0.1355,-2.8186999999999998,-11.2197,-13.68,0.054005000000000004,1.0
2026-04-17,0.9975,0.761,0.2365,-0.6199,0.0,0.9344,0.9637,4.0,36.0,-0.1394,-2.8319,-11.4712,-14.2999,0.06583,1.0
2026-04-20,0.3585,0.3652,-0.0067,-0.1309,0.0,0.0723,0.0481,20.0,20.0,-0.0624,-2.3880000000000003,-11.0688,-14.4308,0.065495,1.0
2026-04-21,0.3799,0.3555,0.0245,0.1623,1.0,0.1313,0.1099,20.0,20.0,-0.0326,-1.6536,-10.3065,-14.2685,0.06672,1.0
2026-04-22,0.3645,0.3981,-0.0336,-0.2049,0.0,0.0692,0.0531,20.0,20.0,-0.1386,-1.3544999999999998,-9.8114,-14.4734,0.06504,1.0
2026-04-23,0.4874,0.4774,0.0099,-0.3091,0.0,0.0872,0.0788,20.0,20.0,-0.2009,-1.1025,-9.639000000000001,-14.7825,0.065535,1.0
2026-04-24,0.5141,0.5549,-0.0409,-0.1997,0.0,0.0837,0.104,20.0,20.0,-0.1597,-0.6822999999999999,-9.3147,-14.9822,0.06349,1.0
2026-04-27,0.52,0.5491,-0.0291,-0.2165,0.0,0.0942,0.0989,20.0,20.0,-0.0831,-0.7678999999999999,-8.9214,-15.1987,0.06203499999999999,1.0
2026-04-28,0.384,0.4223,-0.0384,-0.1513,0.0,0.0742,0.0594,20.0,20.0,-0.1285,-1.0815,-8.540799999999999,-15.35,0.060114999999999995,1.0
2026-04-29,0.4285,0.443,-0.0145,-0.1569,0.0,0.1095,0.098,20.0,20.0,-0.1268,-1.0335,-8.1572,-15.5069,0.05939,1.0
2026-04-30,0.4355,0.4601,-0.0246,-0.1002,0.0,0.0738,0.0694,20.0,20.0,-0.0229,-0.8246,-7.6796,-15.607099999999999,0.05816,1.0
2026-05-04,0.4349,0.4364,-0.0016,-0.1754,0.0,0.0891,0.0903,20.0,20.0,-0.0805,-0.8003,-7.2109,-15.7825,0.05808,1.0
2026-05-05,0.5212,0.5082,0.0131,-0.0412,0.0,0.1767,0.1999,20.0,20.0,-0.0558,-0.625,-6.7,-15.8237,0.05769500000000001,1.0
2026-05-06,0.4469,0.4654,-0.0185,-0.0869,0.0,0.0667,0.0497,20.0,20.0,-0.0226,-0.5606000000000001,-6.2296,-15.9106,0.053335,1.0
2026-05-07,0.5196,0.4621,0.0575,-0.0476,0.0,0.1098,0.0961,20.0,20.0,0.018,-0.45130000000000003,-5.6625,-15.9582,0.05621,1.0
2026-05-08,0.5061,0.6029,-0.0968,0.2866,1.0,0.0752,0.0734,20.0,20.0,0.0461,-0.0645,-4.8103,-15.6716,0.046040000000000005,1.0
