date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.7888,0.8401,-0.0514,0.5534,1.0,0.0868,0.1208,23.0,17.0,0.1208,0.5534,0.5534,0.5534,-0.0514,0.0
2023-01-24,0.6747,0.7138,-0.0391,0.3284,1.0,0.0744,0.0961,21.0,19.0,0.0501,0.8818,0.8818,0.8818,-0.04525,0.0
2023-01-25,0.8179,0.8425,-0.0246,0.4518,1.0,0.1034,0.2046,20.0,20.0,0.0671,1.3336000000000001,1.3336000000000001,1.3336000000000001,-0.03836666666666667,0.0
2023-01-26,0.7101,0.7032,0.0069,0.3685,1.0,0.1639,0.191,19.0,21.0,-0.1053,1.7021,1.7021,1.7021,-0.02705,0.0
2023-01-29,0.7359,0.7223,0.0135,-0.0382,0.0,0.173,0.2392,14.0,25.0,-0.0898,1.6639,1.6639,1.6639,-0.018940000000000002,0.0
2023-01-30,0.7173,0.7354,-0.0181,0.0396,1.0,0.1254,0.2148,20.0,20.0,-0.1357,1.1501000000000001,1.7035,1.7035,-0.0188,0.0
2023-01-31,0.5724,0.5606,0.0118,-0.0459,0.0,0.0907,0.0876,19.0,21.0,0.081,0.7757999999999999,1.6576,1.6576,-0.01442857142857143,0.0
2023-02-01,0.7622,0.7607,0.0015,0.1829,1.0,0.1996,0.199,16.0,22.0,0.0053,0.5069,1.8405,1.8405,-0.0124375,0.0
2023-02-02,0.7326,0.7281,0.0045,0.1404,1.0,0.1516,0.2355,19.0,20.0,-0.0235,0.27880000000000005,1.9809,1.9809,-0.010555555555555556,0.0
2023-02-05,0.7395,0.7343,0.0052,0.2988,1.0,0.1973,0.2613,19.0,21.0,-0.0607,0.6158,2.2797,2.2797,-0.00898,0.0
2023-02-06,0.8287,0.8216,0.0071,-0.1986,0.0,0.1632,0.2063,17.0,22.0,-0.0024,0.37760000000000005,2.0811,2.0811,-0.007518181818181819,0.0
2023-02-07,0.6805,0.6521,0.0284,-0.0644,0.0,0.1542,0.2026,18.0,21.0,0.2026,0.3591,2.0167,2.0167,-0.004525,0.0
2023-02-08,0.7001,0.7165,-0.0164,-0.1487,0.0,0.093,0.128,20.0,20.0,0.0882,0.02749999999999997,1.868,1.868,-0.005438461538461539,0.0
2023-02-09,0.7974,0.7881,0.0093,-0.0196,0.0,0.1057,0.155,15.0,24.0,-0.0371,-0.13250000000000003,1.8484,1.8484,-0.004385714285714286,1.0
2023-02-12,0.8241,0.8218,0.0023,-0.618,0.0,0.2424,0.3708,16.0,23.0,-0.0317,-1.0493000000000001,1.2304,1.2304,-0.00394,1.0
2023-02-14,0.6812,0.6732,0.008,-0.1921,0.0,0.2698,0.3248,13.0,26.0,-0.0949,-1.0428000000000002,1.0383,1.0383,-0.0031937500000000004,1.0
2023-02-15,0.8406,0.8349,0.0058,0.5451,1.0,0.1337,0.23,16.0,23.0,0.1217,-0.4333,1.5834000000000001,1.5834000000000001,-0.0026647058823529414,1.0
2023-02-16,0.6472,0.6408,0.0063,-0.1712,0.0,0.2891,0.3292,17.0,23.0,-0.1652,-0.4558,1.4122000000000001,1.4122000000000001,-0.002166666666666667,1.0
