date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,61707.0,69494.0,-0.026,-7756.0,0.0,0.0647,0.0243,20.0,20.0,-31259.0,-7756.0,-7756.0,-7756.0,-0.026,1.0
2023-01-24,47549.0,49589.0,-0.0074,-11098.0,0.0,0.0906,0.0404,20.0,20.0,-1011.0,-18854.0,-18854.0,-18854.0,-0.0167,1.0
2023-01-25,58296.0,57959.0,0.0015,-8628.0,0.0,0.0855,0.0459,20.0,20.0,3571.0,-27482.0,-27482.0,-27482.0,-0.010633333333333333,1.0
2023-01-26,56137.0,54849.0,0.0058,-10926.0,0.0,0.0737,0.0338,20.0,20.0,-1390.0,-38408.0,-38408.0,-38408.0,-0.0065249999999999996,1.0
2023-01-29,55982.0,60099.0,-0.017,-2648.0,0.0,0.0707,0.0348,20.0,20.0,0.0,-41056.0,-41056.0,-41056.0,-0.00862,1.0
2023-01-30,68382.0,70706.0,-0.0072,4977.0,1.0,0.1019,0.0517,20.0,20.0,967.0,-28323.0,-36079.0,-36079.0,-0.008383333333333333,1.0
2023-01-31,65318.0,64980.0,0.0012,-14353.0,0.0,0.0988,0.0457,20.0,20.0,-5311.0,-31578.0,-50432.0,-50432.0,-0.007014285714285714,1.0
2023-02-01,31403.0,32791.0,-0.0086,-3941.0,0.0,0.083,0.0349,20.0,20.0,5659.0,-26891.0,-54373.0,-54373.0,-0.0072125,1.0
2023-02-02,39081.0,41991.0,-0.0146,-1235.0,0.0,0.0576,0.0152,20.0,20.0,-1521.0,-17200.0,-55608.0,-55608.0,-0.008033333333333333,1.0
2023-02-05,57590.0,55078.0,0.0099,-8397.0,0.0,0.1727,0.0812,20.0,20.0,-1947.0,-22949.0,-64005.0,-64005.0,-0.00624,1.0
2023-02-06,49525.0,48525.0,0.0064,-8499.0,0.0,0.1342,0.0769,20.0,20.0,7006.0,-36425.0,-72504.0,-72504.0,-0.005090909090909091,1.0
2023-02-07,81065.0,82221.0,-0.0026,16880.0,1.0,0.0925,0.0341,20.0,20.0,0.0,-5192.0,-55624.0,-55624.0,-0.004883333333333333,1.0
