date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.574,0.5969,-0.0229,-0.0655,0.0,0.0668,0.0679,21.0,19.0,0.0274,-0.0655,-0.0655,-0.0655,-0.0229,1.0
2023-01-24,0.5725,0.5821,-0.0096,-0.1446,0.0,0.1129,0.1476,23.0,17.0,0.0211,-0.2101,-0.2101,-0.2101,-0.01625,1.0
2023-01-25,0.5719,0.5771,-0.0052,-0.208,0.0,0.1061,0.1205,21.0,19.0,-0.0637,-0.4181,-0.4181,-0.4181,-0.012566666666666665,1.0
2023-01-26,0.8059,0.8059,0.0,-0.2683,0.0,0.2122,0.2845,21.0,18.0,-0.0332,-0.6864,-0.6864,-0.6864,-0.009425,1.0
2023-01-29,0.5533,0.5804,-0.0272,-0.1496,0.0,0.0832,0.0927,22.0,17.0,0.0092,-0.8360000000000001,-0.8360000000000001,-0.8360000000000001,-0.01298,1.0
2023-01-30,0.8367,0.854,-0.0173,0.0667,1.0,0.1027,0.1732,22.0,17.0,-0.0079,-0.7038,-0.7693,-0.7693,-0.013699999999999999,1.0
2023-01-31,0.6142,0.6254,-0.0111,-0.0391,0.0,0.1047,0.144,22.0,18.0,-0.0174,-0.5982999999999999,-0.8084,-0.8084,-0.013328571428571427,1.0
2023-02-01,0.6662,0.6662,0.0,0.1664,1.0,0.1596,0.1771,23.0,14.0,0.0028,-0.22390000000000002,-0.642,-0.642,-0.0116625,1.0
2023-02-02,0.7705,0.8366,-0.0661,-0.1666,0.0,0.0983,0.1652,24.0,14.0,-0.0054,-0.12220000000000003,-0.8086,-0.8086,-0.017711111111111108,1.0
2023-02-05,0.6675,0.6868,-0.0193,-0.1068,0.0,0.0834,0.1326,24.0,16.0,-0.0103,-0.07940000000000003,-0.9154,-0.9154,-0.01787,1.0
2023-02-06,0.7454,0.7454,0.0,-0.1275,0.0,0.0842,0.1133,26.0,13.0,-0.0012,-0.2736,-1.0429,-1.0429,-0.016245454545454546,1.0
2023-02-07,0.6636,0.6378,0.0258,0.085,1.0,0.0919,0.1053,19.0,20.0,0.0099,-0.14950000000000002,-0.9579000000000001,-0.9579000000000001,-0.012741666666666667,1.0
2023-02-08,0.6113,0.6212,-0.0099,-0.07,0.0,0.091,0.1131,20.0,20.0,0.0,-0.3859,-1.0279,-1.0279,-0.012523076923076923,1.0
2023-02-09,0.7555,0.7555,0.0,0.0189,1.0,0.1319,0.2291,19.0,19.0,-0.0027,-0.20040000000000002,-1.0090000000000001,-1.0090000000000001,-0.011628571428571429,1.0
2023-02-12,0.7426,0.7496,-0.007,0.1414,1.0,0.093,0.1207,24.0,15.0,0.0113,0.04780000000000001,-0.8676,-0.8676,-0.01132,0.0
2023-02-14,0.6406,0.641,-0.0004,0.144,1.0,0.1235,0.1322,20.0,19.0,0.0011,0.31930000000000003,-0.7236,-0.7236,-0.0106375,0.0
2023-02-15,0.8139,0.8186,-0.0048,-0.4776,0.0,0.093,0.1264,23.0,17.0,-0.0286,-0.24330000000000002,-1.2012,-1.2012,-0.010294117647058823,1.0
2023-02-16,0.8107,0.8107,0.0,0.0518,1.0,0.1385,0.2057,21.0,18.0,0.0183,-0.12150000000000001,-1.1494,-1.1494,-0.009722222222222222,1.0
2023-02-20,0.7871,0.7871,0.0,-0.0546,0.0,0.1242,0.2087,20.0,17.0,-0.0049,-0.195,-1.204,-1.204,-0.009210526315789473,1.0
2023-02-22,0.714,0.714,0.0,0.185,1.0,0.1716,0.2449,15.0,18.0,-0.0369,-0.15140000000000003,-1.0190000000000001,-1.0190000000000001,-0.008749999999999999,1.0
2023-02-23,0.8337,0.8337,0.0,0.0646,1.0,0.0896,0.1269,25.0,13.0,0.0507,-0.2308,-0.8889,-0.9544,-0.007604999999999999,1.0
2023-02-26,0.8077,0.8144,-0.0067,-0.2246,0.0,0.1556,0.2554,21.0,19.0,-0.025,0.022200000000000053,-0.9689,-1.179,-0.00746,0.0
