date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2025-09-01,50.0,50.0,0.0,-30.0,0.0,0.3,0.1667,4.0,4.0,-20.0,-30.0,-30.0,-30.0,0.0,1.0
2025-09-02,60.0,60.0,0.0,-30.0,0.0,0.3889,0.25,3.0,4.0,-20.0,-60.0,-60.0,-60.0,0.0,1.0
2025-09-03,80.0,80.0,0.0,-50.0,0.0,0.5938,0.2727,3.0,6.0,-20.0,-110.0,-110.0,-110.0,0.0,1.0
2025-09-04,160.0,160.0,0.0,30.0,1.0,0.5859,0.375,4.0,11.0,-20.0,-80.0,-80.0,-80.0,0.0,1.0
2025-09-07,220.0,220.0,0.0,-120.0,0.0,0.7562,0.413,3.0,17.0,-20.0,-200.0,-200.0,-200.0,0.0,1.0
2025-09-08,240.0,240.0,0.0,-150.0,0.0,0.7049,0.4,4.0,17.0,-50.0,-320.0,-350.0,-350.0,0.0,1.0
2025-09-18,290.0,290.0,0.0,-140.0,0.0,0.56,0.3621,4.0,18.0,-30.0,-430.0,-490.0,-490.0,0.0,1.0
2025-09-21,2270.0,1930.0,0.0769,-1390.0,0.0,0.3157,0.181,4.0,36.0,-290.0,-1770.0,-1880.0,-1880.0,0.0096125,1.0
2025-09-23,2620.0,2160.0,0.0927,570.0,1.0,0.4799,0.3327,3.0,37.0,-360.0,-1230.0,-1310.0,-1310.0,0.018844444444444445,1.0
2025-09-24,3840.0,3140.0,0.0956,-1860.0,0.0,0.9896,0.5219,2.0,38.0,-560.0,-2970.0,-3170.0,-3170.0,0.02652,1.0
2025-09-25,2070.0,1770.0,0.0476,560.0,1.0,0.3401,0.146,5.0,34.0,0.0,-2260.0,-2610.0,-2610.0,0.028436363636363638,1.0
2025-09-28,24270.0,27785.0,-0.0287,-10425.0,0.0,0.0609,0.0209,20.0,20.0,-8849.0,-12545.0,-13035.0,-13035.0,0.023675,1.0
2025-10-07,15948.0,14908.0,0.0148,-3528.0,0.0,0.1288,0.0626,20.0,20.0,-2981.0,-14683.0,-16563.0,-16563.0,0.022992307692307694,1.0
2025-10-08,13925.0,12410.0,0.0318,-3665.0,0.0,0.1155,0.0629,20.0,20.0,-2165.0,-18918.0,-20228.0,-20228.0,0.02362142857142857,1.0
2025-10-09,8733.0,8578.0,0.0054,673.0,1.0,0.0744,0.0391,20.0,20.0,-965.0,-16385.0,-19555.0,-19555.0,0.02240666666666667,1.0
