date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.6315,0.6315,0.0,0.0415,1.0,0.2058,0.1745,9.0,25.0,0.0782,0.0415,0.0415,0.0415,0.0,0.0
2023-01-24,0.7103,0.7103,0.0,0.0533,1.0,0.3017,0.3555,8.0,21.0,-0.0148,0.0948,0.0948,0.0948,0.0,0.0
2023-01-25,0.9703,0.9703,0.0,0.4219,1.0,0.159,0.2799,21.0,5.0,0.0578,0.5166999999999999,0.5166999999999999,0.5166999999999999,0.0,0.0
2023-01-26,0.9162,0.9162,0.0,0.46,1.0,0.4768,0.5228,4.0,16.0,-0.0195,0.9767,0.9767,0.9767,0.0,0.0
2023-01-29,0.7807,0.7807,0.0,0.1313,1.0,0.2184,0.2972,18.0,22.0,-0.0075,1.108,1.108,1.108,0.0,0.0
2023-01-30,0.8068,0.8068,0.0,0.0076,1.0,0.1962,0.2658,14.0,18.0,0.2658,1.0740999999999998,1.1156,1.1156,0.0,0.0
2023-01-31,0.5526,0.5526,0.0,0.2053,1.0,0.1973,0.1738,9.0,16.0,0.0576,1.2261,1.3209,1.3209,0.0,0.0
2023-02-01,0.9232,0.9232,0.0,0.3746,1.0,0.3536,0.489,6.0,9.0,-0.0749,1.1788,1.6955,1.6955,0.0,0.0
2023-02-02,0.9851,0.9851,0.0,0.7033,1.0,0.3483,0.5471,9.0,9.0,0.0196,1.4221,2.3988,2.3988,0.0,0.0
2023-02-05,0.9468,0.9468,0.0,0.5248,1.0,0.2996,0.4148,7.0,6.0,0.0,1.8156,2.9236,2.9236,0.0,0.0
2023-02-06,0.8916,0.8916,0.0,0.2873,1.0,0.3023,0.4038,6.0,9.0,0.0,2.0953,3.2109,3.2109,0.0,0.0
