date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-06-22,0.8843,0.8843,0.0,0.2704,1.0,0.9684,0.8701,3.0,33.0,-0.1216,0.2704,0.2704,0.2704,0.0,0.0
2023-06-25,0.9313,0.8924,0.0388,0.1187,1.0,0.2398,0.3463,6.0,34.0,-0.0558,0.3891,0.3891,0.3891,0.0194,0.0
2023-06-26,0.9473,0.9129,0.0344,-0.2495,0.0,0.5099,0.6327,6.0,33.0,-0.0305,0.13959999999999997,0.13959999999999997,0.13959999999999997,0.0244,0.0
2023-06-27,0.8841,0.8727,0.0114,0.4702,1.0,0.581,0.6508,4.0,36.0,-0.0155,0.6098,0.6098,0.6098,0.021150000000000002,0.0
2023-06-28,0.526,0.6205,-0.0945,-0.2023,0.0,0.054,0.0609,35.0,5.0,0.012,0.4075,0.4075,0.4075,-0.0019799999999999983,0.0
2023-07-02,0.4473,0.5163,-0.069,-0.0849,0.0,0.0576,0.0469,28.0,12.0,-0.0158,0.05219999999999997,0.32259999999999994,0.32259999999999994,-0.01315,0.0
2023-07-03,0.3641,0.4024,-0.0383,-0.1349,0.0,0.1038,0.0941,23.0,17.0,0.035,-0.20140000000000002,0.18769999999999995,0.18769999999999995,-0.016742857142857143,1.0
2023-07-04,0.5634,0.6492,-0.0858,-0.1841,0.0,0.0591,0.0639,26.0,14.0,0.0428,-0.13600000000000004,0.0035999999999999366,0.0035999999999999366,-0.025375,1.0
2023-07-05,0.5656,0.6478,-0.0823,-0.1363,0.0,0.0748,0.0988,26.0,14.0,0.0416,-0.7425,-0.13270000000000007,-0.13270000000000007,-0.0317,1.0
2023-07-06,0.5772,0.6352,-0.058,0.1269,1.0,0.0714,0.0816,27.0,13.0,-0.0014,-0.4133,-0.005800000000000055,-0.005800000000000055,-0.03433,1.0
2023-07-09,0.6688,0.7888,-0.12,0.281,1.0,0.0531,0.0887,35.0,5.0,0.0193,-0.04739999999999994,0.2752,0.2752,-0.04211818181818182,1.0
2023-07-10,0.709,0.7855,-0.0765,0.4833,1.0,0.1584,0.253,33.0,7.0,-0.0042,0.5708000000000001,0.7585,0.7585,-0.04498333333333333,0.0
2023-07-11,0.6163,0.6895,-0.0732,0.4333,1.0,0.0912,0.1403,30.0,10.0,0.0114,1.1882000000000001,1.1918,1.1918,-0.04715384615384615,0.0
2023-07-12,0.632,0.6983,-0.0663,0.0431,1.0,0.0631,0.0653,20.0,20.0,0.0161,1.3676,1.2349,1.2349,-0.04852142857142857,0.0
2023-07-13,0.5643,0.5771,-0.0129,0.0098,1.0,0.1006,0.1035,20.0,20.0,-0.0095,1.2505,1.2447,1.2447,-0.04614666666666667,0.0
2023-07-16,0.5026,0.5222,-0.0196,0.175,1.0,0.0892,0.0865,21.0,19.0,0.037,1.1445,1.4197,1.4197,-0.0444875,0.0
2023-07-17,0.5969,0.6188,-0.022,0.1702,1.0,0.2753,0.3033,20.0,20.0,0.0097,0.8313999999999999,1.5899,1.5899,-0.04316470588235294,0.0
2023-07-18,0.5974,0.6243,-0.0269,0.0582,1.0,0.1461,0.1902,20.0,20.0,0.0316,0.4563,1.6481,1.6481,-0.04226111111111111,0.0
2023-07-19,0.5776,0.5885,-0.0109,-0.0434,0.0,0.1441,0.1854,20.0,20.0,-0.0436,0.3698,1.6047,1.6047,-0.04061052631578947,0.0
2023-07-20,0.5887,0.6089,-0.0202,-0.0929,0.0,0.2565,0.288,20.0,20.0,0.0,0.2671,1.5118,1.5118,-0.03959,0.0
2023-07-23,0.5904,0.5728,0.0176,-0.0722,0.0,0.1878,0.2289,20.0,20.0,0.0037,0.019899999999999987,1.1692,1.4396,-0.03871,0.0
2023-07-24,0.4713,0.4835,-0.0123,-0.0517,0.0,0.2582,0.2306,20.0,20.0,-0.0053,-0.20199999999999999,0.9988,1.3879,-0.041264999999999996,1.0
2023-07-25,0.4209,0.4401,-0.0191,-0.1659,0.0,0.0784,0.0732,20.0,20.0,-0.0393,-0.4261,1.0824,1.222,-0.04394,1.0
2023-07-26,0.5411,0.6321,-0.0909,-0.2375,0.0,0.0639,0.0636,25.0,15.0,0.0636,-0.6202,0.37470000000000003,0.9845,-0.049055,1.0
2023-07-27,0.5271,0.582,-0.0549,0.0832,1.0,0.0832,0.1025,21.0,19.0,0.0223,-0.4441,0.6602,1.0677,-0.047075,1.0
2023-07-30,0.5091,0.5505,-0.0413,-0.0379,0.0,0.0669,0.0682,22.0,18.0,0.0,-0.4098,0.7072,1.0298,-0.04569,1.0
2023-07-31,0.5388,0.5673,-0.0285,0.2084,1.0,0.0833,0.0935,20.0,20.0,0.0377,-0.1497,1.0505,1.2382,-0.045200000000000004,1.0
2023-08-01,0.5442,0.5774,-0.0331,0.1161,1.0,0.0747,0.0681,20.0,20.0,0.0,0.13229999999999997,1.3507,1.3543,-0.042565000000000006,0.0
2023-08-02,0.6169,0.6517,-0.0348,0.3092,1.0,0.1073,0.1196,20.0,20.0,-0.0017,0.6789999999999999,1.7962,1.6635,-0.04019,0.0
2023-08-03,0.4566,0.4559,0.0007,-0.0356,0.0,0.1009,0.1111,20.0,20.0,-0.0403,0.5601999999999999,1.6337,1.6279,-0.037254999999999996,0.0
2023-08-06,0.5136,0.5577,-0.0441,-0.2263,0.0,0.0807,0.0987,20.0,20.0,-0.0031,0.3717999999999999,1.1264,1.4016,-0.033460000000000004,0.0
2023-08-07,0.593,0.5793,0.0136,-0.0998,0.0,0.1143,0.1537,20.0,20.0,0.0054,0.06359999999999996,0.5433,1.3018,-0.028955,0.0
2023-08-08,0.4355,0.4447,-0.0091,-0.1885,0.0,0.0728,0.0669,20.0,20.0,-0.0155,-0.24100000000000005,-0.07850000000000004,1.1133,-0.025750000000000002,1.0
2023-08-09,0.56,0.5361,0.0239,0.2599,1.0,0.1416,0.1577,20.0,20.0,0.1577,-0.2903,0.13829999999999998,1.3732,-0.02124,1.0
2023-08-10,0.5912,0.6168,-0.0256,-0.2061,0.0,0.135,0.183,20.0,20.0,-0.0222,-0.4608,-0.07760000000000003,1.1671,-0.021875,1.0
2023-08-13,0.5838,0.6096,-0.0258,-0.1368,0.0,0.105,0.1329,20.0,20.0,-0.1439,-0.3713,-0.3894000000000001,1.0303,-0.022185,1.0
2023-08-14,0.6815,0.6679,0.0136,0.086,1.0,0.1321,0.2009,20.0,20.0,0.0298,-0.18550000000000003,-0.4736000000000001,1.1162999999999998,-0.020405,1.0
2023-08-15,0.2496,0.2579,-0.0083,0.0444,1.0,0.1317,0.0788,20.0,20.0,0.0118,0.04739999999999998,-0.48740000000000006,1.1607,-0.019475,0.0
2023-08-16,0.6,0.6416,-0.0416,0.084,1.0,0.0841,0.1158,20.0,20.0,0.0287,-0.12850000000000006,-0.36,1.2447,-0.021009999999999997,1.0
2023-08-17,0.6142,0.6262,-0.0119,-0.1445,0.0,0.1183,0.1318,20.0,20.0,0.0048,-0.06690000000000002,-0.41159999999999997,1.1002,-0.020595,1.0
2023-08-20,0.5236,0.6122,-0.0886,-0.128,0.0,0.0711,0.0873,21.0,19.0,0.0156,-0.05810000000000001,-0.46740000000000004,0.9722,-0.025905,1.0
2023-08-21,0.6238,0.6854,-0.0616,0.1851,1.0,0.0667,0.0781,22.0,17.0,-0.0608,0.04099999999999998,-0.2306,1.1573,-0.02837,0.0
2023-08-22,0.5388,0.5184,0.0205,0.0868,1.0,0.1069,0.1164,20.0,20.0,0.0349,0.08339999999999997,0.022099999999999995,1.2441,-0.026390000000000004,0.0
