date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,45387.0,43368.0,0.0152,4414.0,1.0,0.3444,0.1907,15.0,25.0,25347.0,4414.0,4414.0,4414.0,0.0152,0.0
2023-01-24,47705.0,46744.0,0.007,8727.0,1.0,0.1454,0.0775,14.0,26.0,10579.0,13141.0,13141.0,13141.0,0.0111,0.0
2023-01-25,28365.0,28365.0,0.0,13517.0,1.0,0.3448,0.2018,10.0,29.0,4206.0,26658.0,26658.0,26658.0,0.0074,0.0
2023-01-26,24593.0,24337.0,0.002,6279.0,1.0,0.5203,0.1392,10.0,29.0,17517.0,32937.0,32937.0,32937.0,0.00605,0.0
2023-01-29,130993.0,144570.0,-0.0329,-49854.0,0.0,0.0593,0.0312,23.0,17.0,-108838.0,-16917.0,-16917.0,-16917.0,-0.0017399999999999998,1.0
2023-01-30,41735.0,44363.0,-0.0212,-8547.0,0.0,0.0791,0.0513,26.0,14.0,-4465.0,-29878.0,-25464.0,-25464.0,-0.0049833333333333335,1.0
2023-01-31,19013.0,19200.0,-0.0036,467.0,1.0,0.1052,0.0592,20.0,20.0,1941.0,-38138.0,-24997.0,-24997.0,-0.004785714285714286,1.0
2023-02-01,16200.0,16200.0,0.0,5658.0,1.0,0.1219,0.0838,22.0,14.0,-864.0,-45997.0,-19339.0,-19339.0,-0.0041875,1.0
2023-02-02,19745.0,20093.0,-0.0073,5540.0,1.0,0.1342,0.1088,23.0,17.0,-143.0,-46736.0,-13799.0,-13799.0,-0.004533333333333334,1.0
2023-02-05,11776.0,11776.0,0.0,6447.0,1.0,0.3925,0.2628,19.0,16.0,-837.0,9565.0,-7352.0,-7352.0,-0.00408,0.0
2023-02-06,3480.0,3480.0,0.0,545.0,1.0,0.1372,0.0725,16.0,12.0,535.0,18657.0,-6807.0,-6807.0,-0.0037090909090909093,0.0
2023-02-07,22071.0,22071.0,0.0,-2389.0,0.0,0.2004,0.1075,17.0,21.0,6660.0,15801.0,-9196.0,-9196.0,-0.0034000000000000002,0.0
2023-02-08,23170.0,22776.0,0.0064,6788.0,1.0,0.2674,0.1805,16.0,24.0,-2440.0,16931.0,-2408.0,-2408.0,-0.0026461538461538463,0.0
2023-02-09,19577.0,19577.0,0.0,-1781.0,0.0,0.1991,0.1272,10.0,26.0,-3828.0,9610.0,-4189.0,-4189.0,-0.002457142857142857,0.0
2023-02-12,11621.0,11621.0,0.0,-134.0,0.0,0.1302,0.0698,21.0,17.0,-1821.0,3029.0,-4323.0,-4323.0,-0.0022933333333333334,0.0
2023-02-14,7113.0,7113.0,0.0,3844.0,1.0,0.1605,0.1147,17.0,15.0,2045.0,6328.0,-479.0,-479.0,-0.00215,0.0
2023-02-15,10356.0,10356.0,0.0,-562.0,0.0,0.271,0.1737,19.0,15.0,1360.0,8155.0,-1041.0,-1041.0,-0.0020235294117647057,0.0
2023-02-16,6441.0,6441.0,0.0,2980.0,1.0,0.1433,0.12,20.0,15.0,-132.0,4347.0,1939.0,1939.0,-0.001911111111111111,0.0
2023-02-20,6245.0,6245.0,0.0,1296.0,1.0,0.2189,0.126,14.0,18.0,2127.0,7424.0,3235.0,3235.0,-0.0018105263157894736,0.0
2023-02-22,9481.0,9481.0,0.0,4816.0,1.0,0.5021,0.3067,10.0,21.0,-2470.0,12374.0,8051.0,8051.0,-0.00172,0.0
2023-02-23,6886.0,6886.0,0.0,-1178.0,0.0,0.2053,0.1299,17.0,18.0,1.0,7352.0,2459.0,6873.0,-0.00248,0.0
2023-02-26,8060.0,8060.0,0.0,1615.0,1.0,0.1802,0.1048,16.0,21.0,213.0,9529.0,-4653.0,8488.0,-0.00283,0.0
2023-02-27,6373.0,6373.0,0.0,-77.0,0.0,0.4003,0.2039,16.0,13.0,-2440.0,6472.0,-18247.0,8411.0,-0.00283,0.0
2023-02-28,5945.0,5945.0,0.0,2455.0,1.0,0.1546,0.1053,17.0,12.0,1695.0,7631.0,-22071.0,10866.0,-0.00293,0.0
2023-03-01,6297.0,6297.0,0.0,2501.0,1.0,0.1956,0.1526,14.0,9.0,196.0,5316.0,30284.0,13367.0,-0.0012850000000000001,0.0
2023-03-02,12370.0,12370.0,0.0,9124.0,1.0,0.5984,0.3443,4.0,15.0,-14.0,15618.0,47955.0,22491.0,-0.000225,0.0
