date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,17925.0,18417.0,-0.0088,743.0,1.0,0.1178,0.0899,20.0,20.0,-721.0,743.0,743.0,743.0,-0.0088,0.0
2023-01-24,35721.0,34758.0,0.0084,3673.0,1.0,0.1893,0.1149,19.0,21.0,3157.0,4416.0,4416.0,4416.0,-0.00020000000000000052,0.0
2023-01-25,15104.0,14332.0,0.0138,-4561.0,0.0,0.134,0.0733,17.0,23.0,-603.0,-145.0,-145.0,-145.0,0.0044666666666666665,1.0
2023-01-26,11612.0,11612.0,0.0,-3391.0,0.0,0.1192,0.0698,18.0,22.0,-987.0,-3536.0,-3536.0,-3536.0,0.0033499999999999997,1.0
2023-01-29,18221.0,18666.0,-0.0079,-1954.0,0.0,0.0879,0.0673,21.0,18.0,-200.0,-5490.0,-5490.0,-5490.0,0.0010999999999999996,1.0
2023-01-30,17336.0,17692.0,-0.005,131.0,1.0,0.1097,0.0551,20.0,20.0,-108.0,-6102.0,-5359.0,-5359.0,8.333333333333298e-05,1.0
2023-01-31,11957.0,12296.0,-0.0066,-3266.0,0.0,0.0995,0.048,21.0,19.0,2466.0,-13041.0,-8625.0,-8625.0,-0.0008714285714285717,1.0
2023-02-01,17346.0,17248.0,0.002,2977.0,1.0,0.2023,0.1139,20.0,20.0,5630.0,-5503.0,-5648.0,-5648.0,-0.0005125000000000003,1.0
2023-02-02,13203.0,13203.0,0.0,4157.0,1.0,0.0983,0.0415,21.0,17.0,1210.0,2045.0,-1491.0,-1491.0,-0.0004555555555555558,0.0
2023-02-05,8919.0,9101.0,-0.0052,1866.0,1.0,0.0851,0.0415,23.0,17.0,769.0,5865.0,375.0,375.0,-0.0009300000000000003,0.0
2023-02-06,10914.0,10914.0,0.0,-3466.0,0.0,0.4351,0.2333,11.0,23.0,-557.0,2268.0,-3091.0,-3091.0,-0.0008454545454545457,0.0
2023-02-07,20664.0,20804.0,-0.0019,4056.0,1.0,0.1007,0.0573,20.0,20.0,-4531.0,9590.0,965.0,965.0,-0.0009333333333333334,0.0
2023-02-08,17759.0,18452.0,-0.013,-513.0,0.0,0.0744,0.044,20.0,20.0,-7615.0,6100.0,452.0,452.0,-0.0018615384615384616,0.0
2023-02-09,13471.0,13501.0,-0.0007,-126.0,0.0,0.0644,0.0318,21.0,18.0,9.0,1817.0,326.0,326.0,-0.0017785714285714286,0.0
2023-02-12,18674.0,18529.0,0.0027,4596.0,1.0,0.1396,0.0985,20.0,20.0,-768.0,4547.0,4922.0,4922.0,-0.00148,0.0
2023-02-14,11672.0,11672.0,0.0,1935.0,1.0,0.242,0.1382,18.0,22.0,5172.0,9948.0,6857.0,6857.0,-0.0013875,0.0
2023-02-15,14314.0,14298.0,0.0004,4476.0,1.0,0.1925,0.0992,19.0,21.0,3616.0,10368.0,11333.0,11333.0,-0.0012823529411764706,0.0
2023-02-16,12366.0,12476.0,-0.003,3827.0,1.0,0.1496,0.0973,20.0,19.0,3580.0,14708.0,15160.0,15160.0,-0.001377777777777778,0.0
