date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2026-04-08,1990.0,1940.0,0.0109,-322.0,0.0,0.2475,0.1497,6.0,33.0,-268.0,-322.0,-322.0,-322.0,0.0109,1.0
2026-04-09,1835.0,1735.0,0.0233,-80.0,0.0,0.1903,0.1512,13.0,26.0,-380.0,-402.0,-402.0,-402.0,0.0171,1.0
2026-04-10,675.0,675.0,0.0,66.0,1.0,0.1435,0.1198,13.0,14.0,-75.0,-336.0,-336.0,-336.0,0.0114,1.0
2026-04-13,821.0,821.0,0.0,-125.0,0.0,0.289,0.1471,5.0,17.0,-121.0,-461.0,-461.0,-461.0,0.00855,1.0
2026-04-15,745.0,745.0,0.0,-395.0,0.0,0.4799,0.2688,6.0,17.0,-160.0,-856.0,-856.0,-856.0,0.006840000000000001,1.0
2026-04-16,1936.0,1936.0,0.0,1161.0,1.0,0.5313,0.3023,8.0,19.0,-60.0,627.0,305.0,305.0,0.0057,0.0
2026-04-17,650.0,650.0,0.0,-450.0,0.0,0.2041,0.129,9.0,13.0,-250.0,257.0,-145.0,-145.0,0.004885714285714286,0.0
2026-04-20,225.0,225.0,0.0,-75.0,0.0,0.2346,0.1364,5.0,8.0,-50.0,116.0,-220.0,-220.0,0.004275,0.0
2026-04-21,262.0,262.0,0.0,-7.0,0.0,0.1776,0.0882,8.0,6.0,5.0,234.0,-227.0,-227.0,0.0038,0.0
2026-04-22,275.0,275.0,0.0,-175.0,0.0,0.3554,0.2143,5.0,6.0,-125.0,454.0,-402.0,-402.0,0.0034200000000000003,0.0
2026-04-23,275.0,275.0,0.0,75.0,1.0,0.2562,0.1818,5.0,10.0,-25.0,-632.0,-327.0,-327.0,0.003109090909090909,1.0
2026-04-24,2400.0,2400.0,0.0,-1450.0,0.0,0.7192,0.4175,6.0,13.0,-125.0,-1632.0,-1777.0,-1777.0,0.00285,1.0
2026-04-27,960.0,960.0,0.0,-380.0,0.0,0.5131,0.2812,7.0,24.0,-115.0,-1937.0,-2157.0,-2157.0,0.002630769230769231,1.0
2026-04-28,1110.0,1110.0,0.0,-510.0,0.0,0.9821,0.4783,2.0,15.0,-210.0,-2440.0,-2667.0,-2667.0,0.002442857142857143,1.0
