date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.6971,0.6958,0.0012,0.0701,1.0,0.1356,0.1436,18.0,21.0,0.1293,0.0701,0.0701,0.0701,0.0012,0.0
2023-01-24,0.6209,0.6191,0.0018,0.0741,1.0,0.1312,0.1425,20.0,20.0,0.1226,0.1442,0.1442,0.1442,0.0015,0.0
2023-01-25,0.4997,0.4769,0.0228,-0.1939,0.0,0.3236,0.2669,14.0,26.0,-0.0316,-0.049699999999999994,-0.049699999999999994,-0.049699999999999994,0.0086,1.0
2023-01-26,0.7302,0.7319,-0.0017,-0.1646,0.0,0.3317,0.4084,20.0,20.0,0.4084,-0.2143,-0.2143,-0.2143,0.006025,1.0
2023-01-29,0.7184,0.7144,0.0039,-0.0462,0.0,0.3376,0.4027,20.0,20.0,0.4027,-0.2605,-0.2605,-0.2605,0.0056,1.0
2023-01-30,0.4917,0.5224,-0.0308,-0.1176,0.0,0.0718,0.0733,20.0,20.0,-0.1969,-0.4482,-0.3781,-0.3781,-0.0004666666666666667,1.0
2023-01-31,0.601,0.6206,-0.0196,-0.0695,0.0,0.123,0.1497,20.0,20.0,0.1497,-0.5918,-0.4476,-0.4476,-0.0032,1.0
2023-02-01,0.595,0.5915,0.0035,-0.2807,0.0,0.095,0.1144,20.0,20.0,0.0505,-0.6786000000000001,-0.7283,-0.7283,-0.0023625,1.0
2023-02-02,0.6387,0.715,-0.0763,-0.4668,0.0,0.0724,0.0977,25.0,14.0,-0.3753,-0.9807999999999999,-1.1951,-1.1951,-0.010577777777777778,1.0
2023-02-05,0.707,0.7203,-0.0133,-0.5483,0.0,0.1091,0.1684,20.0,20.0,-0.1054,-1.4828999999999999,-1.7434,-1.7434,-0.010850000000000002,1.0
2023-02-06,0.8076,0.8234,-0.0158,-0.3253,0.0,0.1169,0.2047,26.0,12.0,0.118,-1.6906,-2.0687,-2.0687,-0.011300000000000001,1.0
2023-02-07,0.7193,0.7471,-0.0278,-0.1219,0.0,0.0942,0.1495,20.0,20.0,-0.0819,-1.7429999999999999,-2.1906,-2.1906,-0.012675,1.0
2023-02-08,0.6357,0.6587,-0.023,-0.0338,0.0,0.0976,0.1162,26.0,14.0,-0.2201,-1.4961,-2.2244,-2.2244,-0.01346923076923077,1.0
