date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-06-20,27861.0,27951.0,-0.0007,568.0,1.0,0.0875,0.0336,20.0,20.0,-3442.0,568.0,568.0,568.0,-0.0007,0.0
2023-06-21,14981.0,15241.0,-0.0036,-3205.0,0.0,0.0878,0.0321,20.0,20.0,-2520.0,-2637.0,-2637.0,-2637.0,-0.00215,1.0
2023-06-22,15152.0,15012.0,0.0023,-83.0,0.0,0.1653,0.0783,20.0,20.0,-1628.0,-2720.0,-2720.0,-2720.0,-0.0006666666666666666,1.0
2023-06-25,17360.0,17185.0,0.0027,-1087.0,0.0,0.1088,0.0664,20.0,20.0,-3123.0,-3807.0,-3807.0,-3807.0,0.00017500000000000003,1.0
2023-06-26,15659.0,15709.0,-0.001,-2008.0,0.0,0.2025,0.1288,20.0,20.0,-2205.0,-5815.0,-5815.0,-5815.0,-5.999999999999998e-05,1.0
2023-06-27,9085.0,8665.0,0.0146,62.0,1.0,0.1414,0.0809,17.0,22.0,-1350.0,-6321.0,-5753.0,-5753.0,0.0023833333333333332,1.0
2023-06-28,8950.0,8850.0,0.0036,-2605.0,0.0,0.1011,0.064,20.0,20.0,-760.0,-5721.0,-8358.0,-8358.0,0.0025571428571428572,1.0
2023-07-02,7473.0,7413.0,0.0025,-868.0,0.0,0.1255,0.0614,20.0,20.0,-1130.0,-6506.0,-9226.0,-9226.0,0.00255,1.0
2023-07-03,4249.0,4049.0,0.0121,855.0,1.0,0.1352,0.0691,18.0,20.0,-460.0,-4564.0,-8371.0,-8371.0,0.0036111111111111114,1.0
2023-07-04,4619.0,4369.0,0.0183,-824.0,0.0,0.1808,0.084,14.0,24.0,30.0,-3380.0,-9195.0,-9195.0,0.0050799999999999994,1.0
2023-07-05,8120.0,8040.0,0.0035,-2563.0,0.0,0.1534,0.1193,20.0,20.0,692.0,-6005.0,-11758.0,-11758.0,0.004936363636363636,1.0
2023-07-06,5158.0,4868.0,0.0148,-444.0,0.0,0.1235,0.0586,20.0,20.0,-270.0,-3844.0,-12202.0,-12202.0,0.005758333333333333,1.0
2023-07-09,3928.0,3548.0,0.0281,-38.0,0.0,0.1443,0.0702,15.0,25.0,-70.0,-3014.0,-12240.0,-12240.0,0.007476923076923076,1.0
